Sport_Nationality Female(OOC) Male(OOC) Female(IC) Male(IC) Male(BLOOD_IN_COMPETITION) total_analytical_ADRVs total_non_analytical_ADRVs total_ADRVs
Athletics 29 31 81 93 1 235 45 280
AFGHANISTAN - 1 - - - 1 - 1
AUSTRALIA - - - 1 - 1 2 3
BAHAMAS - - - 1 - 1 - 1
BAHRAIN - - 1 - - 1 - 1
BELARUS 3 3 2 1 - 9 - 9
BELGIUM - - - 1 - 1 1 2
BRAZIL - - 1 6 - 7 - 7
BRUNEI_DARUSSALAM - - - 1 - 1 - 1
BULGARIA - - 1 - - 1 - 1
CANADA 2 - - - - 2 - 2
CHILE - - 1 - - 1 - 1
CHINA 1 3 3 - - 7 2 9
COLOMBIA - - 1 - - 1 - 1
CROATIA - - - 1 - 1 - 1
DOMINICAN_REPUBLIC - - - 1 - 1 - 1
EGYPT - 1 - - - 1 - 1
ETHIOPIA - - 1 - - 1 - 1
FRANCE - - 4 2 - 6 4 10
GUATEMALA - - - 1 - 1 - 1
INDIA - 1 8 19 - 28 2 30
IRAN - 1 1 1 - 3 - 3
IRELAND - - - 1 - 1 - 1
ITALY - - - 3 - 3 3 6
JAMAICA - - 3 3 - 6 - 6
KAZAKHSTAN - 1 1 1 - 3 - 3
KENYA - 1 4 4 - 9 - 9
KUWAIT - - - 3 - 3 - 3
LEBANON - - 1 1 - 2 - 2
LIBYA - 1 - - - 1 - 1
MALAYSIA - - - - - - 7 7
MEXICO - - 1 - - 1 - 1
MOROCCO - - - 2 - 2 1 3
MYANMAR - - 1 - - 1 - 1
NETHERLANDS 1 - - - - 1 - 1
NIGERIA - - 1 2 - 3 - 3
PAKISTAN - - - 1 - 1 - 1
POLAND - - 1 - - 1 - 1
PORTUGAL - - 1 1 - 2 3 5
ROMANIA 1 - - - - 1 2 3
RUSSIAN_FEDERATION 8 4 15 7 - 34 6 40
SAINT_KITTS_AND_NEVIS - - - - - - 1 1
SAUDI_ARABIA - - - 5 - 5 1 6
SENEGAL - - 1 - - 1 - 1
SOUTH_AFRICA - 1 1 2 - 4 1 5
SPAIN - - - 5 1 6 - 6
SWEDEN - 3 - - - 3 - 3
SWITZERLAND - - - - - - 1 1
TURKEY 10 7 21 13 - 51 2 53
TURKMENISTAN 1 - 1 - - 2 - 2
UKRAINE 1 1 3 1 - 6 3 9
UNITED_STATES_OF_AMERICA 1 2 1 2 - 6 2 8
URUGUAY - - - - - 1 1
