Sport_Nationality Female(OOC) Male(OOC) Female(IC) Male(IC) Male(BLOOD_IN_COMPETITION) total_analytical_ADRVs total_non_analytical_ADRVs total_ADRVs
 20 23 90 64 2 1 200 44 244
AUSTRALIA - - - - - - - 3 3
AZERBAIJAN - - - 1 - - 1 - 1
BELARUS - - - 2 - - 2 1 3
BELGIUM - - 2 1 - - 3 - 3
BOTSWANA - - - 1 - - 1 - 1
BRAZIL 1 1 5 4 - - 11 1 12
CHILE - - - - - - - 1 1
CHINA - 3 6 4 - - 13 - 13
COLOMBIA - 1 1 - - - 2 - 2
CROATIA - - 1 - - - 1 - 1
DENMARK 1 - - - - - 1 - 1
DOMINICAN_REPUBLIC - - - 1 - - 1 - 1
EGYPT - - 1 - - - 1 - 1
ETHIOPIA - - - 1 - - 1 - 1
FRANCE - 1 4 3 - 1 9 5 14
GABON - - - 1 - - 1 - 1
GEORGIA - - - - - - - 1 1
GREECE - - 2 1 - - 3 - 3
HUNGARY - - - - - - - 1 1
INDIA 3 2 17 5 - - 27 2 29
IRAN - - 1 1 - - 2 - 2
IRELAND 1 - - - - - 1 - 1
ISRAEL 1 - - - - - 1 - 1
ITALY - - 9 2 - - 11 4 15
KAZAKHSTAN - - 1 - - - 1 - 1
KENYA 1 1 4 6 - - 12 - 12
LESOTHO - - 3 3 - - 6 - 6
MALAYSIA - - - 1 - - 1 - 1
MEXICO - - 1 - - - 1 - 1
MOLDOVA - - 2 - - - 2 - 2
MOROCCO - - 3 2 1 - 6 2 8
NETHERLANDS - 1 1 - - - 2 - 2
NIGERIA - - - - - - - 1 1
POLAND - 1 - - - - 1 - 1
PORTUGAL - - - 1 - - 1 3 4
QATAR - - - - - - - 1 1
ROMANIA 1 1 2 2 - - 6 - 6
RUSSIAN_FEDERATION 2 8 9 10 - - 29 10 39
SAUDI_ARABIA - - 2 - - - 2 - 2
SERBIA - - 1 - - - 1 - 1
SLOVAKIA - - 1 - - - 1 - 1
SOUTH_AFRICA - - 3 2 - - 5 - 5
SWEDEN 6 1 3 - 1 - 11 - 11
TANZANIA - - - 1 - - 1 - 1
TURKEY 1 1 - - - - 2 3 5
UKRAINE - 1 1 1 - - 3 - 3
UNITED_ARAB_EMIRATES 1 - - - - - 1 - 1
UNITED_KINGDOM 1 - 1 - - - 2 - 2
UNITED_STATES - - 2 3 - - 5 4 9
URUGUAY - - - 1 - - 1 1 2
UZBEKISTAN - - 1 1 - - 2 - 2
VENEZUELA - - - 1 - - 1 - 1
ZIMBABWE - - - 1 - - 1 - 1
