Sport_Nationality Female(OOC) Male(OOC) Female(IC) Male(IC) Male(BLOOD_IN_COMPETITION) total_analytical_ADRVs total_non_analytical_ADRVs total_ADRVs
Athletics 25 19 60 47 1 2 4 158 47 205
ALGERIA - - - 1 - - - 1 - 1
AUSTRALIA - - 1 - - - - 1 - 1
AUSTRIA - - - - - - - - 1 1
BAHAMAS - - 1 - - - - 1 - 1
BELARUS 1 - - - - - - 1 - 1
BELGIUM - - - - - - - - 2 2
BRAZIL - 1 1 4 - - - 6 - 6
BULGARIA - - - - - 1 - 1 - 1
CANADA - - - - - - - - 1 1
CHILE 1 - 1 1 - - 2 5 - 5
CHINA - - 3 2 - - - 5 - 5
CHINESE_TAIPEI - 1 - - - - - 1 - 1
COLOMBIA - - - - - - - - 1 1
CROATIA 1 - - - - - - 1 - 1
ECUADOR - 1 - 1 - - - 2 - 2
ESTONIA - 1 - - - - - 1 - 1
ETHIOPIA 2 - 2 1 - - - 5 - 5
FRANCE - - 5 2 - - 1 8 1 9
GERMANY 1 - - 1 - - - 2 - 2
GREECE - - 1 - - - - 1 - 1
GUATEMALA - - - 1 - - - 1 - 1
HUNGARY - - 2 - - - - 2 - 2
INDIA 2 - 8 11 - - - 21 - 21
IRAN - - 3 1 - - - 4 - 4
ITALY 1 - 3 3 - - - 7 1 8
JAMAICA 2 - - - - - - 2 - 2
JAPAN - - 1 - - - - 1 - 1
KAZAKHSTAN - 2 - 1 - - - 3 - 3
KENYA - 1 2 4 - - - 7 - 7
LITHUANIA - 1 1 - - - - 2 - 2
MONGOLIA - - 1 - - - - 1 - 1
MOROCCO 4 - 3 1 - - - 8 6 14
NETHERLANDS - - 1 - - - - 1 - 1
POLAND - - 1 - - - - 1 - 1
PORTUGAL - - - - - - - - 1 1
PUERTO_RICO 1 - - - - - - 1 - 1
QATAR - - - - - - - - 1 1
ROMANIA 1 2 3 3 - - - 9 - 9
RUSSIAN_FEDERATION 3 5 - 1 - - - 9 21 30
RWANDA - - - - - - - - 1 1
SAUDI_ARABIA 1 - 6 - 1 - 1 9 - 9
SEYCHELLES 1 - - - - - - 1 - 1
SOUTH_AFRICA - - 1 3 - - - 4 - 4
SPAIN - - 4 - - - - 4 2 6
SWEDEN 2 - - - - - - 2 1 3
TAJIKISTAN 1 - - - - - - 1 - 1
TANZANIA - - 2 - - - - 2 - 2
TURKEY - - - 2 - - - 2 2 4
UKRAINE - 1 1 - - 1 - 3 1 4
UNITED_STATES - 3 2 2 - - - 7 4 11
VIET_NAM - - - 1 - - - 1 - 1
