ID	Name	Nation(s)	Sport(s)	Era	
124311	Emanuele Abate	ITA	ATH	2012	
135669	Antonio Alkana	RSA	ATH	2016	
86982	Charles Allen	CAN GUY	ATH	2000—2004	
136243	Devon Allen	USA	ATH	2016	
126013	João Almeida	POR	ATH	2012	
135001	Xaysa Anousone	LAO	ATH	2016	
136262	Ronnie Ash	USA	ATH	2016	
122833	Rouhollah Askari	IRI	ATH	2012	
126055	Balázs Baji	HUN	ATH	2012—2016	
125728	Erik Balnuweit	GER	ATH	2012	
133814	Wilhem Belocian	FRA	ATH	2016	
123245	Ronald Bennett	HON	ATH	2012	
115074	Yevgeny Borisov	RUS	ATH	2008	
88425	Shaun Bownes	RSA	ATH	2000—2004	
115080	Ryan Brathwaite	BAR	ATH	2008—2012	
121366	Shane Brathwaite	BAR	ATH	2012	
125730	Matthias Bühler	GER	ATH	2012—2016	
133015	Johnathan Cabral	CAN	ATH	2016	
134681	Deuce Carter	JAM	ATH	2016	
105826	Sergey Chepiga	RUS	ATH	2004	
127186	Lawrence Clarke	GBR	ATH	2012—2016	
115095	Samuel Coco-Viloin	FRA	ATH	2008	
133647	Yidiel Contreras	ESP	ATH	2016	
115083	Héctor Cotto	PUR	ATH	2008—2012	
105804	Jérôme Crews	GER	ATH	2004	
71122	Levente Csillag	HUN	ATH	1996—2004	
135460	Damian Czykier	POL	ATH	2016	
125931	Garfield Darien	FRA	ATH	2012	
125963	Wayne Davis	TTO	ATH	2012	
126445	Adrien Deghelt	BEL	ATH	2012	
124618	Moussa Dembele	SEN	ATH	2012	
105814	Serhiy Demidiuk	UKR	ATH	2004	
86986	Dudley Dorival	HAI	ATH	2000—2008	
105802	Ladji Doucouré	FRA	ATH	2004—2012	
115092	Kostas Douvalidis	GRE	ATH	2008—2016	
120685	Aleksey Dryomin	RUS	ATH	2012	
105824	Mike Fenner	GER	ATH	2004	
115082	Ronald Forbes	CAY	ATH	2008—2016	
123854	Lehann Fourie	RSA	ATH	2012	
105809	Juraj Grabušić	CRO	ATH/BOB	2004—2008	
120817	Ahmad Hazer	LBN	ATH	2012—2016	
83472	Yoel Hernández	CUB	ATH	2000—2004	
105832	Yuniel Hernández	CUB	ATH	2004	
135292	Antwon Hicks	NGR	ATH	2016	
105827	David Ilariani	GEO	ATH	2004—2012	
101933	Matheus Inocêncio	BRA	ATH/BOB	2002—2004	
105822	Edy Jakariya	INA	ATH	2004	
105834	Tarmo Jallai	EST	ATH	2004	
115073	Ji Wei	CHN	ATH	2008	
125740	Alexander John	GER	ATH	2012—2016	
105825	Stephen Jones	BAR	ATH	2004	
122070	Jeffrey Julmis	HAI	ATH	2012—2016	
133021	Sekou Kaba	CAN	ATH	2016	
126405	Ali Kamé	MAD	ATH	2012—2016	
66847	Prodromos Katsantonis	CYP	ATH	1996—2004	
115090	Dániel Kiss	HUN	ATH	2008—2012	
89003	Robert Kronberg	SWE	ATH	2000—2004	
115078	Lee Jeong-Jun	KOR	ATH	2008	
124639	Enrique Llanos	PUR	ATH	2012	
105805	Nenad Lončar	SCG	ATH	2004	
134582	Eddie Lovett	ISV	ATH	2016	
115087	Maksim Lynsha	BLR	ATH	2008—2012	
133810	Pascal Martinot-Lagarde	FRA	ATH	2016	
105807	Todd Matthews Jouda	SUD	ATH	2004	
88198	Ata Mubarak	KSA	ATH	2000—2004	
105813	Masato Naito	JPN	ATH	2004—2008	
105821	Rob Newton	GBR	ATH	2004	
115089	Artur Noga	POL	ATH	2008—2012	
115075	Oleg Normatov	UZB	ATH	2008	
115086	Selim Nurudeen	NGR	ATH	2008—2012	
133359	Yordan O'Farril	CUB	ATH	2010—2016	
88222	Staņislavs Olijars	LAT	ATH	2000—2008	
132763	João Vítor de Oliveira	BRA	ATH	2016	
105815	Park Tae-Gyeong	KOR	ATH	2004	
75435	Yevgeny Pechonkin	RUS	ATH	1996—2004	
105812	Igor Peremota	RUS	ATH	2004—2008	
105830	Richard Phillips	JAM	ATH	2004—2012	
105806	Chris Pinnock	JAM	ATH	2004	
126749	Jeff Porter	USA	ATH	2012—2016	
133347	Jhoanis Portilla	CUB	ATH	2016	
124084	Andy Pozzi	GBR	ATH	2012—2016	
105831	Jackson Quiñónez	ECU ESP	ATH	2004—2012	
88248	Joseph-Berlioz Randriamihaja	MAD	ATH	2000—2008	
115084	Abdul Rashid	PAK	ATH	2008	
120728	Andrew Riley	JAM	ATH	2012—2016	
135885	Milan Ristić	SRB	ATH	2016	
133255	Yeison Rivas	COL	ATH	2016	
105823	Duane Ross	USA	ATH	2004	
105816	Luís Manuel Sá	POR	ATH	2004	
115088	Stanislav Sajdok	CZE	ATH	2008	
115077	Shamar Sands	BAH	ATH	2008—2012	
115094	Allan Scott	GBR	ATH	2008	
105819	Gregory Sedoc	NED	ATH	2004—2012	
120575	Konstantin Shabanov	RUS	ATH	2012	
120305	Fawaz Al-Shammari	KUW	ATH	2012	
105820	Shi Dongpeng	CHN	ATH	2004—2012	
120698	Sergey Shubenkov	RUS	ATH	2012	
115091	Anselmo da Silva	BRA	ATH	2008	
132759	Éder Souza	BRA	ATH	2016	
83358	Márcio de Souza	BRA	ATH	2000—2004	
115081	Petr Svoboda	CZE	ATH	2008—2016	
123264	Greggmar Swift	BAR	ATH	2012	
88150	Satoru Tanigawa	JPN	ATH	2000—2004	
115096	Mohamed Al-Thawadi	QAT	ATH	2008	
115079	Mikel Thomas	TTO	ATH	2008—2016	
134113	Gregor Traber	GER	ATH	2016	
133405	Milan Trajkovic	CYP	ATH	2016	
105833	Sultan Tucker	LBR	ATH	2004	
105828	Andy Turner	GBR	ATH	2004—2012	
105817	Paulo Villar	COL	ATH	2004—2012	
105803	Felipe Vivancos	ESP	ATH	2004	
115093	Marcel van der Westen	NED	ATH	2008	
105829	Maurice Wignall	JAM	ATH	2004—2008	
122511	Xie Wenjun	CHN	ATH	2012—2016	
134725	Wataru Yazawa	JPN	ATH	2016	
105808	Damjan Zlatnar	SLO	ATH	2004—2008	
