
ID	Name	Nation(s)	Sport(s)	Era	
125954	Jamale Aarrass	FRA	ATH	2012	
114618	Abdalla Abdelgadir	SUD	ATH	2008	
86834	Berhanu Alemu	ETH	ATH	2000—2004	
114613	Belal Mansoor Ali	BRN	ATH	2008—2012	
114623	Thamer Kamal Ali	QAT	ATH	2008	
135638	Paulo Amotun	ROT	ATH	2016	
105620	Jimmy Anak Ahar	BRU	ATH	2004	
132776	Thiago André	BRA	ATH	2016	
136261	Robby Andrews	USA	ATH	2016	
88251	Youssef Baba	MAR	ATH	2000—2008	
114610	Andy Baddeley	GBR	ATH	2008—2012	
115333	Juan Luis Barrios	MEX	ATH	2008—2012	
120515	Mamadou Barry	GUI	ATH	2012	
114594	Daham Najim Bashir	QAT	ATH	2008	
136231	Ben Blankenship	USA	ATH	2016	
105615	Tarek Boukensa	ALG	ATH	2004—2008	
83216	Kamal Boulahfane	ALG	ATH	2000—2008	
114600	Nate Brannen	CAN	ATH	2008—2016	
126022	David Bustos	ESP	ATH	2012—2016	
105604	Roberto Caracciolo Mandje	GEQ	ATH	2004	
114597	Javier Carriqueo	ARG	ATH	2008—2012	
135353	Hamish Carson	NZL	ATH	2016	
125929	Florian Carvalho	FRA	ATH	2012—2016	
114609	Arturo Casado	ESP	ATH	2008	
121762	Nixon Chepseba	KEN	ATH	2012	
114620	Augustine Choge	KEN	ATH	2008	
106577	Alistair Cragg	IRL	ATH	2004—2012	
105609	Johan Cronje	RSA	ATH	2004	
114614	Demma Daba	ETH	ATH	2008	
105616	Manuel Damião	POR	ATH	2004	
114608	Juan van Deventer	RSA	ATH	2008	
105618	Dou Zhaobo	CHN	ATH	2004	
105612	Mike East	GBR	ATH	2004	
67202	Reyes Estévez	ESP	ATH	1996—2008	
114624	Mahamoud Farah	DJI	ATH	2008	
74944	Luís Feiteira	POR	ATH	1996—2012	
105598	Álvaro Fernández	ESP	ATH	2004	
114616	David Freeman	PUR	ATH	2008	
124903	Rabiou Guero Gao	NIG	ATH	2012	
120748	Nabil Al-Garbi	YEM	ATH	2012	
124785	Mohamad Al-Garni	QAT	ATH	2012	
124240	Mekonnen Gebremedhin	ETH	ATH	2012—2016	
123718	Ryan Gregson	AUS	ATH	2012—2016	
105617	Charlie Gruber	USA	ATH	2004	
132660	Pieter-Jan Hannes	BEL	ATH	2016	
89063	Ivan Heshko	UKR	ATH	2000—2008	
86809	Juan Carlos Higuero	ESP	ATH	2000—2008	
115318	Jakub Holuša	CZE	ATH	2008—2016	
135338	Filip Ingebrigtsen	NOR	ATH	2016	
121422	Henrik Ingebrigtsen	NOR	ATH	2012—2016	
123692	Dmitrijs Jurkevičs	LAT	ATH	2012	
135066	Fouad El-Kaam	MAR	ATH	2016	
135065	Brahim Kaazouzi	MAR	ATH	2016	
88258	Adil Kaouch	MAR	ATH	2000—2004	
114606	Mitch Kealey	AUS	ATH	2008	
132277	Salim Keddar	ALG	ATH	2016	
114617	Nicholas Kemboi	KEN	ATH	2008	
135918	Santino Kenyi	SSD	ATH	2016	
83219	Mohamed Khaldi	ALG	ATH	2000—2004	
121761	Silas Kiplagat	KEN	ATH	2012	
105613	Timothy Kiptanui	KEN	ATH	2004	
125940	Yoann Kowal	FRA	ATH	2012—2016	
109553	Aleksandr Krivchinkov	RUS	ATH	2004	
134886	Ronald Kwemoi	KEN	ATH	2016	
106621	Amine Laâlou	MAR	ATH	2004—2012	
114603	Tom Lancashire	GBR	ATH	2008	
105608	Gert-Jan Liefers	NED	ATH	2004	
114612	Lopez Lomong	USA	ATH	2008—2012	
134878	Elijah Manangoi	KEN	ATH	2016	
114625	Chauncy Master	MAW	ATH	2008	
132467	Luke Mathews	AUS	ATH	2016	
135355	Julian Matthews	NZL	ATH	2016	
69287	John Mayock	GBR	ATH	1996—2004	
133631	Adel Mechaal	ESP	ATH	2016	
114595	Deresse Mekonnen	ETH	ATH	2008	
114598	Taylor Milne	CAN	ATH	2008—2016	
120102	Mohamed Mohamed	SOM	ATH	2012	
133516	Abdi Waiss Mouhyadin	DJI	ATH	2016	
114619	Mohamed Moustaoui	MAR	ATH	2008—2012	
114607	Isaiah Msibi	SWZ	ATH	2008	
105601	Wolfram Müller	GER	ATH	2004	
120269	Ross Murray	GBR	ATH	2012	
136169	Ronald Musagala	UGA	ATH	2016	
106613	Samwel Mwera	TAN	ATH	2004—2008	
64327	João N'Tyamba	ANG	ATH	1988—2008	
114602	Goran Nava	SRB	ATH	2008	
120588	Yegor Nikolayev	RUS	ATH	2012	
87060	James Nolan	IRL	ATH	2000—2004	
124405	Emad Noor	KSA	ATH	2012	
114615	Tiidrek Nurme	EST	ATH	2008—2016	
133967	Chris O'Hare	GBR	ATH	2016	
120089	Ciaran Ó'Lionáird	IRL	ATH	2012	
114621	Christian Obrist	ITA	ATH	2008	
125431	İlham Özbilen	TUR	ATH	2012—2016	
133011	Charles Philibert-Thiboutot	CAN	ATH	2016	
