ID	Name	Nation(s)	Sport(s)	Era	
105535	Luke Adams	AUS	ATH	2004—2012	
114666	Mohamed Ameur	ALG	ATH	2008	
105544	Gintaras Andriuškevičius	LTU	ATH	2004	
83211	Moussa Aouanouk	ALG	ATH	1996—2004	
121469	Yerko Araya	CHI	ATH	2012—2016	
133638	Francisco Arcilla	ESP	ATH	2016	
120076	Éider Arévalo	COL	ATH	2010—2016	
121048	Mauricio Arteaga	ECU	ATH	2012—2016	
136130	Mert Atlı	TUR	ATH	2016	
114653	Rafał Augustyn	POL	ATH	2008—2016	
105533	José Alessandro Bagio	BRA	ATH	2004—2016	
126700	Trevor Barron	USA	ATH	2012	
65963	Tim Berrett	CAN	ATH	1992—2008	
124017	Caio Bonfim	BRA	ATH	2012—2016	
72700	Valery Borisov	KAZ	ATH	1996—2004	
133983	Tom Bosworth	GBR	ATH	2016	
134122	Nils Brembach	GER	ATH	2016	
115450	Artur Brzozowski	POL	ATH	2008—2016	
105539	Viktor Burayev	RUS	ATH	2004	
124420	Byeon Yeong-Jun	KOR	ATH	2012—2016	
133802	Kévin Campion	FRA	ATH	2016	
114662	Juan Manuel Cano	ARG	ATH	2008—2016	
114667	Recep Çelik	TUR	ATH	2008	
114663	Sergey Chernov	BLR	ATH	2008	
114660	Andrés Chocho	ECU	ATH	2008—2016	
134920	Choe Byeong-Kwang	KOR	ATH	2016	
114644	Chu Yafei	CHN	ATH	2008	
73415	Feodosiy Ciumacenco	MDA	ATH	1996—2008	
78234	Curt Clausen	USA	ATH	1996—2004	
132471	Rhydian Cowley	AUS	ATH	2016	
122557	Ruslan Dmytrenko	UKR	ATH	2012—2016	
86804	José David Domínguez	ESP	ATH	2000—2004	
114654	Dong Jimin	CHN	ATH	2008	
87001	Gyula Dudás	HUN	ATH	2000—2004	
133014	Evan Dunfee	CAN	ATH	2016	
105538	Kevin Eastler	USA	ATH	2004—2008	
114668	Chris Erickson	AUS	ATH	2008—2016	
70221	Andreas Erm	GER	ATH	1996—2004	
105550	Predrag Filipović	SRB SCG	ATH	2004—2016	
120868	Isamu Fujisawa	JPN	ATH	2012—2016	
65590	Sérgio Galdino	BRA	ATH	1992—2004	
87095	Alessandro Gandellini	ITA	ATH	2000—2004	
70908	Luis Fernando García	GUA	ATH	1996—2008	
134887	Samuel Gathimba	KEN	ATH	2016	
76965	Hatem Ghoula	TUN	ATH	1996—2008	
105532	Marco Giungi	ITA	ATH	2004	
134590	Matteo Giupponi	ITA	ATH	2016	
122694	Iñaki Gómez	CAN	ATH	2012—2016	
135113	Pedro Gómez	MEX	ATH	2016	
105551	Han Yucheng	CHN	ATH	2004—2016	
126057	Máté Helebrandt	HUN	ATH	2012—2016	
127031	Ihor Hlavan	UKR	ATH	2012—2016	
105529	André Höhne	GER	ATH	2004—2012	
114665	Jakub Jelonek	POL	ATH	2008—2016	
120581	Vladimir Kanaykin	RUS	ATH	2012	
135990	Perseus Karlström	SWE	ATH	2016	
114650	Kim Hyeon-Seop	KOR	ATH	2008—2016	
72771	David Kimutai	KEN	ATH	1996—2008	
124298	Nazar Kovalenko	UKR	ATH	2012—2016	
114651	Andriy Kovenko	UKR	ATH	2008	
134421	Ganapathi Krishnan	IND	ATH	2016	
120584	Andrey Krivov	RUS	ATH	2012	
105531	Beniamin Kuciński	POL	ATH	2004	
125131	Anton Kučmín	SVK	ATH	2012—2016	
107392	Rustam Kuvatov	KAZ	ATH	2004—2008	
68337	Denis Langlois	FRA	ATH	1996—2004	
105546	Lee Dae-Ro	KOR	ATH	2004	
125797	Christopher Linke	GER	ATH	2012—2016	
105542	Liu Yunfeng	CHN	ATH	2004	
105541	Luis Fernando López	COL	ATH	2004—2016	
126029	Miguel Ángel López	ESP	ATH	2012—2016	
122558	Ivan Losev	UKR	ATH	2012	
132710	Aleksandr Lyakhovich	BLR	ATH	2016	
66870	Jiří Malysa	CZE	ATH	1996—2004	
120061	Álvaro Martín	ESP	ATH	2010—2016	
70913	Julio René Martínez	GUA	ATH	1996—2004	
134705	Daisuke Matsunaga	JPN	ATH	2016	
114658	David Mejía	MEX	ATH	2008	
65431	Yevgeny Misyulya	BLR URS	ATH	1988—2004	
105527	Juan Manuel Molina	ESP	ATH	2004—2008	
105553	Xavier Moreno	ECU	ATH	2004—2012	
114647	Koichiro Morioka	JPN	ATH	2008—2016	
125949	Bertrand Moulinet	FRA	ATH	2012	
136478	Nguyễn Thành Ngưng	VIE	ATH	2016	
114659	Jean-Jacques Nkouloukidi	ITA	ATH	2008	
122020	Łukasz Nowak	POL	ATH	2012—2016	
105543	John Nunn	USA	ATH	2004—2016	
121351	Ever Palma	MEX	ATH	2012—2016	
120129	Isaac Palma	MEX	ATH	2012	
124678	Alexandros Papamikhail	GRE	ATH	2012—2016	
105552	Park Chil-Seong	KOR	ATH	2004—2016	
105549	Vladimir Parvatkin	RUS	ATH	2004	
133542	Brian Pintado	ECU	ATH	2016	
134114	Hagen Pohle	GER	ATH	2016	
122836	Ebrahim Rahimian	IRI	ATH	2012	
134298	José María Raymundo	GUA	ATH	2016	
114655	James Rendón	COL	ATH	2008—2016	
126178	Quentin Rew	NZL	ATH	2012—2016	
132739	Marco Antonio Rodríguez	BOL	ATH	2016	
73567	Miguel Ángel Rodríguez	MEX	ATH	1992—2004	
114648	Giorgio Rubino	ITA	ATH	2008—2012	
123691	Arnis Rumbenieks	LAT	ATH	2012—2016	
115454	Adam Rutter	AUS	ATH	2008—2012	
120206	Takumi Saito	JPN	ATH	2012	
135112	Julio César Salazar	MEX	ATH	2016	
114645	Benjamín Sánchez	ESP	ATH	2008—2012	
114646	Eder Sánchez	MEX	ATH	2008—2012	
105536	Rolando Saquipay	ECU	ATH	2004—2016	
135033	Marius Šavelskis	LTU	ATH	2010—2016	
114656	Hassanine Sbai	TUN	ATH	2008—2016	
89164	Tim Seaman	USA	ATH	2000—2004	
114661	Allan Segura	CRC	ATH	2008	
105537	Omar Segura	MEX	ATH	2004	
135676	Lebogang Shange	RSA	ATH	2016	
126491	Georgy Sheyko	KAZ	ATH	2012—2016	
114652	Denis Simanovich	BLR	ATH	2008—2016	
88190	Sin Ir-Yong	KOR	ATH	2000—2004	
123306	Baljinder Singh	IND	ATH	2012	
121468	Gurmeet Singh	IND	ATH	2012—2016	
134428	Manish Singh	IND	ATH	2016	
135687	Wayne Snyman	RSA	ATH	2016	
133253	Esteban Soto	COL	ATH	2016	
107378	Grzegorz Sudoł	POL	ATH	2004—2012	
120873	Yusuke Suzuki	JPN	ATH	2012	
136125	Ersin Tacir	TUR	ATH	2016	
134706	Eiki Takahashi	JPN	ATH	2016	
105547	Andrey Talashko	BLR	ATH	2004	
105534	Takayuki Tanii	JPN	ATH	2004—2016	
105548	Lefteris Thanopoulos	GRE	ATH	2004	
120170	Irfan Kolothum Thodi	IND	ATH	2012	
133007	Ben Thorne	CAN	ATH	2016	
122135	Dawid Tomala	POL	ATH	2012	
105540	Ivan Trotsky	BLR	ATH	2004—2016	
114649	Erik Tysse	NOR	ATH	2008—2016	
136440	Richard Vargas	VEN	ATH	2016	
105530	João Vieira	POR	ATH	2000—2016	
114664	Sérgio Vieira	POR	ATH	2008—2016	
134888	Simon Wachira	KEN	ATH	2016	
114643	Wang Hao	CHN	ATH	2008	
134500	Alex Wright	IRL	ATH	2016	
105554	Yuki Yamazaki	JPN	ATH	2004—2012	
135435	Paolo Yurivilca	PER	ATH	2016	
105528	Zhu Hongjun	CHN	ATH	2004	
132770	Moacir Zimmermann	BRA	ATH	2016	
114657	Marius Žiūkas	LTU	ATH	2008—2016	
134465	Hamid Reza Zooravand	IRI	ATH	2016	
