ID	Name	Nation(s)	Sport(s)	Era	
114681	Youcef Abdi	AUS	ATH	2008—2012	
125478	Tarık Akdağ	TUR	ATH	2012—2016	
114695	Halil Akkaş	TUR	ATH	2008—2016	
126694	Kyle Alcorn	USA	ATH	2012	
133742	Hailemariyam Amare	ETH	ATH	2016	
105744	Musa Amer	QAT	ATH	2004	
114686	Ali Ahmed Al-Amri	KSA	ATH	2008—2012	
121154	Jacob Araptany	UGA	ATH	2012—2016	
135068	Soufiane El-Bakkali	MAR	ATH	2016	
136556	Abdoullah Bamoussa	ITA	ATH	2016	
122274	Mario Bazán	PER	ATH	2012	
123488	Khaled Belabbas	ALG	ATH	2012	
88980	Christian Belz	SUI	ATH	2000—2004	
121745	Amor Ben Yahia	TUN	ATH	2012—2016	
133740	Chala Beyo	ETH	ATH	2016	
114685	José Luis Blanco	ESP	ATH	2008	
136246	Hillary Bor	USA	ATH	2016	
132274	Hicham Bouchicha	ALG	ATH	2016	
105730	Boštjan Buč	SLO	ATH	2004—2008	
64880	Michael Buchleitner	AUT	ATH	1992—2004	
88354	Eduardo Buenavista	PHI	ATH	2000—2004	
127084	Donn Cabral	USA	ATH	2012—2016	
105604	Roberto Caracciolo Mandje	GEQ	ATH	2004	
133637	Fernando Carro	ESP	ATH	2016	
68951	Justin Chaston	GBR	ATH	1996—2004	
120678	Nikolay Chavkin	RUS	ATH	2012	
105738	Abdelatif Chemlal	MAR	ATH	2004	
132966	Nelson Cherutich	BRN	ATH	2016	
105754	Jakub Czaja	POL	ATH	2004	
132656	Jeroen D'hoedt	BEL	ATH	2016	
105734	Vincent Le Dauphin	FRA	ATH	2004	
114694	Pieter Desmet	BEL	ATH	2008	
114690	Hamid Ezzine	MAR	ATH	2008—2016	
105750	Anthony Famiglietti	USA	ATH	2004—2008	
124413	Yuri Floriani	ITA	ATH	2012—2016	
126028	Víctor García	ESP	ATH	2012	
114692	Roba Gari	ETH	ATH	2008—2012	
78440	Robert Gary	USA	ATH	1996—2004	
122691	Alex Genest	CAN	ATH	2012	
123657	Birhan Getahun	ETH	ATH	2012	
121713	Weynay Ghebresilasie	ERI	ATH	2012	
105751	Alex Greaux	PUR	ATH	2004	
114669	Abdelkader Hachlaf	MAR	ATH	2008	
133622	Yemane Haileselassie	ERI	ATH	2016	
133434	Ole Hesselbjerg	DEN	ATH	2016	
133018	Matt Hughes	CAN	ATH	2016	
105748	Yoshitaka Iwamizu	JPN	ATH	2004—2008	
114679	Yacob Jarso	ETH	ATH	2008	
105745	Antonio Jiménez	ESP	ATH	2004	
114689	Abubaker Ali Kamal	QAT	ATH	2008	
136122	Aras Kaya	TUR	ATH	2016	
120596	Jukka Keskisalo	FIN	ATH	2008—2012	
114688	Benjamin Kiplagat	UGA	ATH	2008—2016	
136552	Kaur Kivistik	EST	ATH	2016	
132964	John Koech	BRN	ATH	2016	
126487	Artyom Kosinov	KAZ	ATH	2012	
125940	Yoann Kowal	FRA	ATH	2012—2016	
114683	Andrew Lemoncello	GBR	ATH	2008	
105726	Daniel Lincoln	USA	ATH	2004	
105729	Ion Luchianov	MDA	ATH	2004—2012	
105740	Abdelhakim Maazouz	ALG	ATH	2004	
87101	Giuseppe Maffei	ITA	ATH	2000—2004	
114696	Itay Magidi	ISR	ATH	2008	
114674	Rabia Makhloufi	ALG	ATH	2008	
86813	Eliseo Martín	ESP	ATH	2000—2008	
86812	Luis Miguel Martín	ESP	ATH	2000—2004	
133645	Sebastián Martos	ESP	ATH	2016	
132269	Ali Massaoudi	ALG	ATH	2016	
114693	Josh McAdams	USA	ATH	2008	
126035	Abdel Aziz Merzougui	ESP	ATH	2012—2016	
114671	Nahom Mesfin	ETH	ATH	2008—2012	
114598	Taylor Milne	CAN	ATH	2008—2016	
121887	Albert Minczér	HUN	ATH	2012	
114672	Ildar Minshin	RUS	ATH	2008	
105733	Mustafa Mohamed	SWE	ATH	2004—2008	
126036	Ángel Mullera	ESP	ATH	2012	
133980	Rob Mullett	GBR	ATH	2016	
88292	Iaroslav Musinschi	MDA	ATH	2000—2012	
114684	Billy Nelson	USA	ATH	2008	
105749	Peter Nowill	AUS	ATH	2004	
105743	Bashar Omar	KUW	ATH	2004	
105747	Zouhair El-Ouardi	MAR	ATH	2004	
114677	Rubén Palomeque	ESP	ATH	2008	
122102	Łukasz Parszczyński	POL	ATH	2012	
114676	Alberto Paulo	POR	ATH	2008—2012	
122038	José Gregorio Peña	VEN	ATH	2012—2016	
