ID	Name	Nation(s)	Sport(s)	Era	
105793	Michael Aguilar	BIZ	ATH	2004	
124629	Eric Alejandro	PUR	ATH	2012—2016	
133301	Jordin Andrade	CPV	ATH	2016	
135844	Ned Azemia	SEY	ATH	2016	
134505	Thomas Barr	IRL	ATH	2016	
122183	Emir Bekrić	SRB	ATH	2012	
124317	José Reynaldo Bencosme de Leon	ITA	ATH	2012	
134883	Nicholas Bett	KEN	ATH	2016	
88358	Mowen Boino	PNG	ATH	2000—2008	
105786	Bennie Brazell	USA	ATH	2004	
114634	Markino Buckley	JAM	ATH	2008	
126429	Michael Bultheel	BEL	ATH	2012—2016	
89105	James Carter	USA	ATH	2000—2004	
127129	Roxroy Cato	JAM	ATH	2012—2016	
120175	Chen Chieh	TPE	ATH	2012—2016	
122512	Cheng Wen	CHN	ATH	2012	
105798	Ockert Cilliers	RSA	ATH	2004	
115545	Omar Cisneros	CUB	ATH	2008—2012	
123715	Brendan Cole	AUS	ATH	2012	
105785	Kurt Couto	MOZ	ATH	2004—2016	
135444	Eric Cray	PHI	ATH	2016	
121085	Winder Cuevas	DOM	ATH	2012	
121276	Maoulida Daroueche	COM	ATH	2012—2016	
114633	Aleksandr Derevyagin	RUS	ATH	2008	
135472	Patryk Dobek	POL	ATH	2016	
86917	Matt Douglas	GBR	ATH	2000—2004	
120222	Artyom Dyatlov	UZB	ATH	2012	
133646	Sergio Fernández	ESP	ATH	2016	
123380	Cornel Fredericks	RSA	ATH	2012	
114632	Harouna Garba	NIG	ATH	2008	
133348	José Luis Gaspar	CUB	ATH	2016	
132632	Jeffery Gibson	BAH	ATH	2016	
88451	Boris Gorban	RUS	ATH	2000—2004	
125964	Jehue Gordon	TTO	ATH	2012—2016	
126953	Jack Green	GBR	ATH	2012—2016	
120723	Leford Green	JAM	ATH	2012	
124071	Dai Greene	GBR	ATH	2012	
105795	Dean Griffiths	JAM	ATH	2004	
65637	Ahmed Hamada	BRN	ATH	1984—2004	
105800	Ibrahim Al-Hamaidi	KSA	ATH	2004	
135675	Le Roux Hamman	RSA	ATH	2016	
135677	Lindsay Hanekom	RSA	ATH	2016	
