ID	Name	Nation(s)	Sport(s)	Era	
133633	Antonio Abadía	ESP	ATH	2016	
115343	Ali Abdalla	ERI	ATH	2008	
132653	Bashir Abdi	BEL	ATH	2016	
122728	Rabah Aboud	ALG	ATH	2012	
106591	Khoudir Aggoune	ALG	ATH	2004—2008	
120195	Mohammed Ahmed	CAN	ATH	2012—2016	
88342	Michael Aish	NZL	ATH	2000—2004	
123871	Yenew Alamirew	ETH	ATH	2012	
134997	Tariq Ahmed Al-Amri	KSA	ATH	2016	
132969	Zouhair Aouad	BRN	ATH	2016	
125475	Polat Arıkan	TUR	ATH	2012—2016	
88336	Marius Bakken	NOR	ATH	2000—2004	
132960	Birhanu Balew	BRN	ATH	2016	
115354	Philipp Bandi	SUI	ATH	2008	
115333	Juan Luis Barrios	MEX	ATH	2008—2012	
114966	Selim Bayrak	TUR	ATH	2008	
106576	Hicham Bellani	MAR	ATH	2004	
88980	Christian Belz	SUI	ATH	2000—2004	
106585	Dejene Berhanu	ETH	ATH	2004	
115332	Alemayehu Bezabeh	ESP	ATH	2008	
106594	Rajendra Bahadur Bhandari	NEP	ATH	2004	
115336	Collis Birmingham	AUS	ATH	2008—2012	
115345	Adrian Blincoe	NZL	ATH	2008	
122682	Soufiyan Bouqantar	MAR	ATH	2012—2016	
106588	Tim Broe	USA	ATH	2004	
133016	Luc Bruchet	CAN	ATH	2016	
133960	Andy Butchart	GBR	ATH	2016	
134689	Kemoy Campbell	JAM	ATH	2016	
114597	Javier Carriqueo	ARG	ATH	2008—2012	
87045	Mark Carroll	IRL	ATH	2000—2004	
106593	Carles Castillejo	ESP	ATH	2004—2016	
106575	Abraham Chebii	KEN	ATH	2004	
136165	Joshua Kiprui Cheptegei	UGA	ATH	2016	
115340	Abreham Cherkos	ETH	ATH	2008	
135096	Kefasi Chitsala	MAW	ATH	2016	
106592	Tom Compernolle	BEL	ATH	2004	
106577	Alistair Cragg	IRL	ATH	2004—2012	
115347	Ian Dobson	USA	ATH	2008	
133744	Muktar Edris	ETH	ATH	2016	
115355	Abdelaziz Ennaji El-Idrissi	MAR	ATH	2008	
115342	Jesús España	ESP	ATH	2008—2016	
133984	Tom Farrell	GBR	ATH	2016	
133639	Illias Fifa	ESP	ATH	2016	
125736	Arne Gabius	GER	ATH	2012	
