
ID	Name	Nation(s)	Sport(s)	Era	
73209	Virgilijus Alekna	LTU	ATH	1996—2012	
114712	Niklas Arrhenius	SWE	ATH	2008	
136268	Tavis Bailey	USA	ATH	2016	
114711	Jorge Balliengo	ARG	ATH	2008	
75398	Aleksandr Borichevsky	RUS	ATH	1996—2004	
126599	Lance Brooks	USA	ATH	2012	
124062	Abdul Buhari	GBR	ATH	2012	
125618	Erik Cadée	NED	ATH	2012	
83470	Frank Casañas	CUB ESP	ATH	2000—2016	
83330	Leonid Cherevko	BLR	ATH	2000—2004	
121973	Przemysław Czajkowski	POL	ATH	2012	
134682	Fedrick Dacres	JAM	ATH	2010—2016	
114706	Sultan Mubarak Al-Dawoodi	KSA	ATH	2008—2016	
132468	Matthew Denny	AUS	ATH	2016	
88407	Rashid Al-Dosari	QAT	ATH	2000—2008	
136229	Andrew Evans	USA	ATH	2016	
87002	Róbert Fazekas	HUN	ATH	2000—2008	
114703	Jorge Fernández	CUB	ATH	2008—2016	
136256	Mason Finley	USA	ATH	2016	
120956	Danijel Furtula	MNE	ATH	2012—2016	
105723	Omar El-Ghazaly	EGY	ATH	2004—2012	
78457	John Godina	USA	ATH	1996—2004	
105716	Vikas Gowda	IND	ATH	2004—2016	
135031	Andrius Gudžius	LTU	ATH	2016	
134567	Guðni Guðnason	ISL	ATH	2016	
114708	Ehsan Haddadi	IRI	ATH	2008—2016	
114705	Benn Harradine	AUS	ATH	2008—2016	
135987	Axel Härstedt	SWE	ATH	2016	
134108	Christoph Harting	GER	ATH	2016	
114699	Robert Harting	GER	ATH	2008—2016	
105706	Hannes Hopley	RSA	ATH	2004	
105712	Vadim Hranovschi	MDA	ATH	2004—2008	
114707	Märt Israel	EST	ATH	2008—2012	
134109	Daniel Jasinski	GER	ATH	2016	
123439	Ronald Julião	BRA	ATH	2012	
105709	Gerd Kanter	EST	ATH	2004—2016	
65427	Vasily Kaptyukh	BLR	ATH	1996—2004	
114713	Hannes Kirchler	ITA	ATH	2008	
87010	Zoltán Kővágó	HUN	ATH	2000—2016	
88427	Frantz Kruger	FIN RSA	ATH	2000—2008	
105713	Anil Kumar Sangwan	IND	ATH	2004	
133732	Martin Kupper	EST	ATH	2016	
134839	Yevgeny Labutov	KAZ	ATH	2016	
120287	Yunior Lastre	CUB	ATH	2012	
114518	Germán Lauro	ARG	ATH	2008—2016	
105719	Aleksandr Malashevich	BLR	ATH	2004	
86773	Libor Malina	CZE	ATH	2000—2004	
105714	Casey Malone	USA	ATH	2004—2008	
114704	Jan Marcell	CZE	ATH	2008	
114710	Martin Marić	CRO	ATH	2008—2012	
114515	Scott Martin	AUS	ATH	2008—2012	
105722	Lois Maikel Martínez	CUB ESP	ATH	2004—2016	
87011	Gábor Máté	HUN	ATH	2000—2008	
114715	Eric Matthias	IVB	ATH	2008	
114709	Gerhard Mayer	AUT	ATH	2008—2012	
114697	Piotr Małachowski	POL	ATH	2008—2016	
132659	Philip Milanov	BEL	ATH	2016	
70422	Michael Möllenbeck	GER	ATH	1996—2004	
120726	Jason Morgan	JAM	ATH	2012	
124081	Brett Morse	GBR	ATH	2012	
125803	Markus Münch	GER	ATH	2012	
66706	Dragan Mustapić	BIH CRO	ATH	1992—2004	
114714	Haidar Nasser	IRQ	ATH	2008	
122547	Mykyta Nesterenko	UKR	ATH	2012—2016	
126313	Lawrence Okoye	GBR	ATH	2012	
105720	Ercüment Olgundeniz	TUR	ATH	2004—2012	
133254	Mauricio Ortega	COL	ATH	2016	
105718	Savvas Panavoglou	GRE	ATH	2004	
122321	Apostolos Parellis	CYP	ATH	2012—2016	
105715	Mario Pestano	ESP	ATH	2004—2012	
114698	Bogdan Pishchalnikov	RUS	ATH	2008—2012	
75641	Igor Primc	SLO	ATH	1996—2004	
64452	Marcelo Pugliese	ARG	ATH	1996—2004	
70464	Lars Riedel	GER	ATH	1992—2004	
114701	Michael Robertson	USA	ATH	2008	
105708	Jarred Rome	USA	ATH	2004—2012	
135835	Alex Rose	SAM	ATH	2016	
105721	Abbas Samimi	IRI	ATH	2004—2008	
134467	Mahmoud Samimi	IRI	ATH	2016	
105707	Torsten Schmidt	GER	ATH	2004	
114702	Oleksiy Semenov	UKR	ATH	2008—2016	
77646	Dmitry Shevchenko	RUS EUN	ATH	1992—2004	
114700	Dmitry Sivakov	BLR	ATH	2008	
135342	Sven Martin Skagestad	NOR	ATH	2016	
121603	Traves Smikle	JAM	ATH	2012	
103816	Rutger Smith	NED	ATH	2004—2012	
105724	Shaka Sola	SAM	ATH	2004	
135988	Daniel Ståhl	SWE	ATH	2016	
67357	Aleksander Tammert	EST	ATH	1996—2012	
66266	Jason Tunks	CAN	ATH	1996—2004	
105711	Emeka Udechuku	GBR	ATH	2004	
122138	Robert Urbanek	POL	ATH	2012—2016	
121286	Roland Varga	CRO	ATH	2012	
105710	Ian Waltz	USA	ATH	2004—2008	
132581	Lukas Weißhaidinger	AUT	ATH	2016	
125819	Martin Wierig	GER	ATH	2012	
123735	Julian Wruck	AUS	ATH	2012	
105717	Wu Tao	CHN	ATH	2004	
126094	Jason Young	USA	ATH	2012	
75974	Jaroslav Žitňanský	SVK	ATH	1996—2004	
