ID	Name	Nation(s)	Sport(s)	Era	
114589	Mohsen Anany	EGY	ATH	2008	
134265	Mikhailis Anastasakis	GRE	ATH	2016	
71091	Adrián Annus	HUN	ATH	1996—2004	
105555	Eşref Apak	TUR	ATH	2004—2016	
65420	Igor Astapkovich	BLR EUN	ATH	1992—2004	
133966	Chris Bennett	GBR	ATH	2016	
125925	Quentin Bigot	FRA	ATH	2012	
132715	Pavel Boreysha	BLR	ATH	2016	
125927	Jérôme Bortoluzzi	FRA	ATH	2012	
83231	Juan Ignacio Cerra	ARG	ATH	2000—2012	
88988	Libor Charfreitag	SVK	ATH	2000—2008	
126026	Javier Cienfuegos	ESP	ATH	2012—2016	
105567	Dorian Çollaku	ALB	ATH	2004—2008	
88388	Vítor da Costa	POR	ATH	2000—2004	
135110	Diego del Real	MEX	ATH	2010—2016	
105560	Vadim Devyatovsky	BLR	ATH	2004—2008	
132779	Wagner Domingos	BRA	ATH	2016	
133974	Mark Dry	GBR	ATH	2016	
127025	Oleksandr Dryhol	UKR	ATH	2012	
82607	Markus Esser	GER	ATH	2000—2008	
121979	Paweł Fajdek	POL	ATH	2012—2016	
125934	Nicolas Figère	FRA	ATH	2012	
124924	Mostafa Al-Gamel	EGY	ATH	2012	
134469	Pezhman Ghalehnoei	IRI	ATH	2016	
83459	Andraš Haklić	CRO	ATH/BOB	2000—2012	
121160	Eivind Henriksen	NOR	ATH	2012	
114593	Amanmyrat Hommadow	TKM	ATH	2008—2016	
114585	Kirill Ikonnikov	RUS	ATH	2008—2012	
123501	Roberto Janet	CUB	ATH	2012—2016	
126629	Kibwé Johnson	USA	ATH	2012—2016	
86856	Olli-Pekka Karjalainen	FIN	ATH	2000—2008	
122114	Sukhrob Khodzhayev	UZB	ATH	2012—2016	
105561	Sergey Kirmasov	RUS	ATH	2004	
70345	Karsten Kobs	GER	ATH	1996—2004	
132716	Sergey Kolomoyets	BLR	ATH	2016	
88992	Miloslav Konopka	SVK	ATH	2000—2008	
75414	Ilya Konovalov	RUS	ATH	1996—2004	
88950	Primož Kozmus	SLO	ATH	2000—2012	
105557	A. G. Kruger	USA	ATH	2004—2012	
77131	Oleksandr Krykun	UKR	ATH	1996—2004	
121196	Pavel Krivitsky	BLR	ATH	2012	
114590	Marco Lingua	ITA	ATH	2008—2016	
125134	Marcel Lomnický	SVK	ATH	2012—2016	
133556	Hassan Mohamed Mahmoud	EGY	ATH	2016	
126192	Mergen Mämmedow	TKM	ATH	2012	
121313	Serghei Marghiev	MDA	ATH	2012—2016	
121833	Dmitri Marşin	AZE	ATH	2012	
86774	Vladimír Maška	CZE	ATH	2000—2004	
136240	Conor McCullough	USA	ATH	2016	
114588	Lukáš Melich	CZE	ATH	2008—2016	
133977	Nick Miller	GBR	ATH	2016	
122834	Kaveh Mousavi	IRI	ATH	2012—2016	
88141	Koji Murofushi	JPN	ATH	2000—2012	
105558	Dilshod Nazarov	TJK	ATH	2004—2016	
135479	Wojciech Nowicki	POL	ATH	2016	
70816	Alexandros Papadimitriou	GRE	ATH	1996—2012	
105563	James Parker	USA	ATH	2004	
105559	Krisztián Pars	HUN	ATH	2004—2016	
114587	Bergur Pétursson	ISL	ATH	2008	
89079	Vladyslav Piskunov	UKR	ATH	2000—2004	
121575	Lorenzo Povegliano	ITA	ATH	2012	
83277	Stuart Rendell	AUS	ATH	2000—2004	
88293	Roman Rozna	MDA	ATH	2000—2008	
105562	Artem Rubanko	UKR	ATH	2004—2012	
133303	Roberto Sawyers	CRC	ATH	2016	
135610	Ashraf El-Seify	QAT	ATH	2016	
124088	Alex Smith	GBR	ATH	2012	
105564	David Söderberg	FIN	ATH	2004—2016	
114584	Igors Sokolovs	LAT	ATH	2008—2012	
127117	Oleksiy Sokyrskiy	UKR	ATH	2012	
120254	Konstantinos Stathelakos	CYP	ATH	2012	
114591	Jim Steacy	CAN	ATH	2008—2012	
105556	Patric Suter	SUI	ATH	2004	
114583	Valery Svyatokho	BLR	ATH	2008—2012	
83343	Ivan Tikhon	BLR	ATH	2000—2016	
114586	Ihor Tuhay	UKR	ATH	2008	
114592	Igor Vinichenko	RUS	ATH	2008	
87108	Nicola Vizzoni	ITA	ATH	2000—2012	
105565	Yury Voronkin	RUS	ATH	2004	
114582	Yevhen Vynohradov	UKR	ATH	2008—2016	
136263	Rudy Winkler	USA	ATH	2016	
88932	Aleksey Zagorny	RUS	ATH	2000—2012	
105566	Ali Al-Zinkawi	KUW	ATH	2004—2012	
74885	Szymon Ziółkowski	POL	ATH	1996—2012	
