ID	Name	Nation(s)	Sport(s)	Era	
136233	Brad Adkins	USA	ATH	2016	
105646	Marko Aleksejev	EST	ATH	2004	
132462	Joel Baden	AUS	ATH	2016	
133965	Chris Baker	GBR	ATH	2016	
114946	Kostas Baniotis	GRE	ATH	2008—2016	
125363	Trevor Barry	BAH	ATH	2012—2016	
135478	Sylwester Bednarek	POL	ATH	2016	
105645	Javier Bermejo	ESP	ATH	2004—2008	
114948	Martyn Bernard	GBR	ATH	2008	
114937	Andrea Bettinelli	ITA	ATH	2008	
114942	Michał Bieniek	POL	ATH	2008	
105632	László Boros	HUN	ATH	2004	
83388	Mark Boswell	CAN	ATH	2000—2004	
88442	Pyotr Brayko	RUS	ATH	2000—2004	
135972	Matúš Bubeník	SVK	ATH	2016	
114950	Filippo Campioli	ITA	ATH	2008	
135601	Luis Castro	PUR	ATH	2016	
135430	Arturo Chávez	PER	ATH	2016	
134591	Silvano Chesani	ITA	ATH	2016	
127066	Andrey Churilo	BLR	ATH	2010—2016	
105640	Nicola Ciotti	ITA	ATH	2004	
123432	Guilherme Cobbo	BRA	ATH	2012	
114959	Naoyuki Daigo	JPN	ATH	2008	
114954	Dmytro Dem'ianiuk	UKR	ATH	2008—2012	
105634	Alfredo Deza	PER	ATH	2004	
120713	Darvin Edwards	LCA	ATH	2012	
134722	Takashi Eto	JPN	ATH	2016	
121050	Diego Ferrín	ECU	ATH	2012	
105642	Jacques Freitag	RSA	ATH	2004	
105630	Roman Fricke	GER	ATH	2004	
105631	Oskari Frösén	FIN	ATH	2004	
114941	Majed Ghazal	SYR	ATH	2008—2016	
114955	James Grayman	ANT	ATH	2008	
114938	Mickaël Hanany	FRA	ATH	2008—2012	
105633	Tora Harris	USA	ATH	2004	
114945	Peter Horák	SVK	ATH	2008	
136074	Hsiang Chun-Hsien	TPE	ATH	2010—2016	
114961	Huang Haiqiang	CHN	ATH	2008	
105626	Kyriakos Ioannou	CYP	ATH	2004—2016	
132978	Tikhomir Ivanov	BUL	ATH	2016	
66868	Tomáš Janků	CZE	ATH	1996—2008	
114943	Dusty Jonas	USA	ATH	2008	
125127	Michal Kabelka	SVK	ATH	2012	
114956	Kabelo Kgosiemang	BOT	ATH	2008	
133404	Dimitrios Khondrokoukis	CYP	ATH	2016	
114958	Yuriy Krymarenko	UKR	ATH	2008	
114957	Lee Hup Wei	MAS	ATH	2008—2012	
105648	Aleksey Lesnichy	BLR	ATH	2004	
105641	Jessé de Lima	BRA	ATH	2004—2008	
105647	Liu Yang	CHN	ATH	2004	
114936	Andra Manson	USA	ATH	2008	
114944	Gerardo Martínez	MEX	ATH	2008	
114952	Mike Mason	CAN	ATH	2008—2016	
123239	Wanner Miller	COL	ATH	2012	
105624	Gennady Moroz	BLR	ATH	2004	
126482	Víctor Moya	CUB	ATH	2012	
132712	Dmitry Nabokov	BLR	ATH	2016	
114947	Oleksandr Nartov	UKR	ATH	2008	
105621	Jamie Nieto	USA	ATH	2004—2012	
127253	Viktor Ninov	BUL	ATH	2012	
105635	Adrian O'Dwyer	IRL	ATH	2004	
134110	Eike Onnen	GER	ATH	2016	
114939	Niki Palli	ISR	ATH	2008	
114951	Tom Parsons	GBR	ATH	2008	
105637	Lisvany Pérez	CUB	ATH	2004	
105643	Rožle Prezelj	SLO	ATH	2004—2012	
122550	Andriy Protsenko	UKR	ATH	2012—2016	
134120	Mateusz Przybylko	GER	ATH	2016	
88233	Jean-Claude Rabbath	LBN	ATH	2000—2004	
135111	Edgar Rivera	MEX	ATH	2016	
136260	Ricky Robertson	USA	ATH	2016	
135880	Eugenio Rossi	SMR	ATH	2016	
65786	Olivier Sanou	BUR	ATH	1996—2004	
120540	Aleksandr Shustov	RUS	ATH	2012	
132775	Talles Silva	BRA	ATH	2016	
135085	Nauraj Singh Randhawa	MAS	ATH	2016	
135600	David Adley Smith	PUR	ATH	2016	
89086	Andriy Sokolovskiy	UKR	ATH	2000—2004	
114935	Raúl Spank	GER	ATH	2008	
105628	Grzegorz Sposób	POL	ATH	2004	
122440	Raivydas Stanys	LTU	ATH	2012	
89006	Staffan Strand	SWE	ATH	2000—2004	
105622	Alessandro Talotti	ITA	ATH	2004—2008	
124447	Gianmarco Tamberi	ITA	ATH	2012	
135480	Wojciech Theiner	POL	ATH	2016	
114940	Donald Thomas	BAH	ATH	2008—2016	
105629	Linus Thörnblad	SWE	ATH	2004—2008	
105636	Svatoslav Ton	CZE	ATH	2004	
79481	Dragutin Topić	IOA SRB SCG	ATH	1992—2012	
120601	Osku Torro	FIN	ATH	2012	
120539	Ivan Ukhov	RUS	ATH	2012	
105625	Ștefan Vasilache	ROU	ATH	2004	
88928	Vyacheslav Voronin	RUS	ATH	2000—2008	
133143	Wang Yu	CHN	ATH	2016	
105627	Manjula Kumara Wijesekera	SRI	ATH	2004	
114953	Jesse Williams	USA	ATH	2008—2012	
132631	Jamal Wilson	BAH	ATH	2016	
105644	Robert Wolski	POL	ATH	2004	
134925	Woo Sang-Hyeok	KOR	ATH	2016	
136173	Dmytro Yakovenko	UKR	ATH	2016	
134926	Yun Seung-Hyun	KOR	ATH	2016	
114960	Sergey Zasimovich	KAZ	ATH	2008	
122514	Zhang Guowei	CHN	ATH	2012—2016	
