ID	Name	Nation(s)	Sport(s)	Era	
124925	Ihab Abdelrahman	EGY	ATH	2012	
122897	Kim Amb	SWE	ATH	2012—2016	
134258	John Ampomah	GHA	ATH	2016	
134717	Ryohei Arai	JPN	ATH	2016	
115404	Magnus Arvidsson	SWE	ATH	2008	
125092	Fatih Avan	TUR	ATH	2012	
115421	Roman Avramenko	UKR	ATH	2008—2012	
68853	Steve Backley	GBR	ATH	1992—2004	
135609	Ahmed Bader	QAT	ATH	2016	
115403	Jarrod Bannister	AUS	ATH	2008—2012	
88987	Marián Bokor	SVK	ATH	2000—2004	
115408	Anier Boué	CUB	ATH	2008	
107082	David Brisseault	FRA	ATH	2004	
115418	Chen Qi	CHN	ATH	2008	
120916	Leslie Copeland	FIJ	ATH	2012—2016	
136265	Sam Crouser	USA	ATH	2016	
125733	Matthias de Zordo	GER	ATH	2012	
120858	Roderick Genki Dean	JPN	ATH	2012	
107089	Oliver Dziubak	AUS	ATH	2004	
107090	Peter Esenwein	GER	ATH	2004	
107091	Stuart Farquhar	NZL	ATH	2004—2016	
115409	Víctor Fatecha	PAR	ATH	2008	
125219	Petr Frydrych	CZE	ATH	2012—2016	
107081	Manuel Fuenmayor	VEN	ATH	2004	
126083	Sean Furey	USA	ATH	2012—2016	
89130	Breaux Greer	USA	ATH	2000—2008	
135468	Łukasz Grzeszczuk	POL	ATH	2016	
115407	Ignacio Guerra	CHI	ATH	2008	
107078	Miroslav Guzdek	CZE	ATH	2004	
125738	Tino Häber	GER	ATH	2012	
107076	William Hamlyn-Harris	AUS	ATH	2004	
115419	Mike Hazle	USA	ATH	2008	
107079	Gergely Horváth	HUN	ATH	2004	
126779	Cyrus Hostetler	USA	ATH	2012—2016	
136075	Huang Shih-Feng	TPE	ATH	2016	
107084	Aleksandr Ivanov	RUS	ATH	2004—2008	
115405	Igor Janik	POL	ATH	2008—2012	
115426	Melik Janoyan	ARM	ATH	2008—2012	
115414	Tero Järvenpää	FIN	ATH	2008	
124548	Jeong Sang-Jin	KOR	ATH	2012	
126084	Craig Kinsley	USA	ATH	2012	
133730	Magnus Kirt	EST	ATH	2016	
115413	Ilya Korotkov	RUS	ATH	2008—2012	
136172	Dmytro Kosynskiy	UKR	ATH	2016	
115400	Ainārs Kovals	LAT	ATH	2008—2012	
115401	Vladimir Kozlov	BLR	ATH	2008—2012	
115422	Matija Kranjc	SLO	ATH	2008—2012	
135470	Marcin Krukowski	POL	ATH	2016	
115417	Mihkel Kukk	EST	ATH	2008	
133734	Tanel Laanmäe	EST	ATH	2016	
124676	Spyros Lempesis	GRE	ATH	2012	
107087	Li Rongxiang	CHN	ATH	2004	
66803	Isbel Luaces	CUB	ATH	1996—2004	
124077	Mervyn Luckwell	GBR	ATH	2012	
88221	Voldemārs Lūsis	LAT	ATH	2000—2004	
75422	Sergey Makarov	RUS	ATH	1996—2008	
120598	Ari Mannio	FIN	ATH	2012—2016	
125075	Dayron Márquez	COL	ATH	2012	
123497	Guillermo Martínez	CUB	ATH	2012	
123375	Risto Mätas	EST	ATH	2012—2016	
107072	Esko Mikkola	FIN	ATH	2004	
