ID	Name	Nation(s)	Sport(s)	Era	
132761	Higor Alves	BRA	ATH	2016	
109549	Gaspar Araújo	POR	ATH	2004	
120297	Mohammad Arzandeh	IRI	ATH	2012—2016	
83364	Nikolay Atanasov	BUL	ATH	2000—2008	
109536	Ndiss Kaba Badji	SEN	ATH	2004—2012	
116927	Sebastian Bayer	GER	ATH	2008—2012	
109552	Yahya Berrabah	MAR	ATH	2004—2008	
132713	Konstantin Borichevsky	BLR	ATH	2016	
109546	Tarik Bouguetaïb	MAR	ATH	2004—2008	
135684	Stefan Brits	RSA	ATH	2016	
126025	Eusebio Cáceres	ESP	ATH	2012	
125731	Alyn Camara	GER	ATH	2012—2016	
75639	Gregor Cankar	SLO	ATH	1996—2004	
73648	Arnaud Casquette	MRI	ATH	1996—2008	
109544	Víctor Castillo	VEN	ATH	2004	
134318	Chan Ming Tai	HKG	ATH	2016	
116928	Hugo Chila	ECU	ATH	2008	
88297	Jonathan Chimier	MRI	ATH	2000—2004	
126017	Marcos Chuva	POR	ATH	2012	
83365	Petar Dachev	BUL	ATH	2000—2004	
116933	Henry Dagmil	PHI	ATH	2008	
89118	Walter Davis	USA	ATH	2000—2004	
109547	Yann Domenech	FRA	ATH	2004	
116929	Duda	BRA	ATH	2008—2012	
66705	Siniša Ergotić	CRO	ATH	1996—2004	
116926	Tommi Evilä	FIN	ATH	2008	
124922	Mohamed Fathalla	EGY	ATH	2012	
109539	Dimitrios Filindras	GRE	ATH	2004	
116922	Julien Fivaz	SUI	ATH	2008	
120718	Damar Forbes	JAM	ATH	2012—2016	
123717	Henry Frayne	AUS	ATH	2012—2016	
109531	Ignisious Gaisah	GHA	ATH	2004—2012	
133140	Gao Xinglong	CHN	ATH	2016	
109535	Gable Garenamotse	BOT	ATH	2004—2008	
122006	Stanley Gbagbeke	NGR	ATH	2012	
65424	Aleksandr Glavatsky	BLR	ATH	1996—2004	
109532	Kafétien Gomis	FRA	ATH	2004—2016	
127081	Marquise Goodwin	USA	ATH	2012	
105580	Jadel Gregório	BRA	ATH	2004—2008	
136258	Mike Hartfield	USA	ATH	2016	
134111	Fabian Heinle	GER	ATH	2016	
126051	Raymond Higgs	BAH	ATH	2012	
105519	Andrew Howe	ITA	ATH	2004—2008	
133133	Huang Changzhou	CHN	ATH	2016	
116931	Morten Jensen	DEN	ATH	2008	
116917	Brian Johnson	USA	ATH	2008	
133412	Radek Juška	CZE	ATH	2016	
134083	Bachana Khorava	GEO	ATH	2016	
116919	Mohammed Khuwalidi	KSA	ATH	2008	
115025	Kim Deok-Hyeon	KOR	ATH	2008—2016	
127088	George Kitchens	USA	ATH	2012	
115023	Viktor Kuznietsov	UKR	ATH	2008—2012	
86810	Yago Lamela	ESP	ATH	2000—2004	
116911	Fabrice Lapierre	AUS	ATH	2008—2016	
136217	Emiliano Lasa	URU	ATH	2016	
