ID	Name	Nation(s)	Sport(s)	Era	
89097	Abdi Abdirahman	USA	ATH	2000—2012	
133747	Tesfaye Abera	ETH	ATH	2016	
135927	Tadesse Abraham	SUI	ATH	2016	
124030	Ayele Abshero	ETH	ATH	2012	
125611	Methkal Abu Drais	JOR	ATH	2012—2016	
108267	Shigeru Aburaya	JPN	ATH	2004	
132466	Liam Adams	AUS	ATH	2016	
120060	Miguel Almachi	ECU	ATH	2012—2016	
108291	Georgy Andreyev	RUS	ATH	2004—2012	
115470	Ottaviano Andriani	ITA	ATH	2008	
126885	Lusapho April	RSA	ATH	2012—2016	
133113	Víctor Aravena	CHI	ATH	2016	
108261	Alfredo Arévalo	GUA	ATH	2004—2008	
115461	Gashaw Asfaw	ETH	ATH	2008	
115462	Yared Asmerom	ERI	ATH	2008—2012	
135426	Derlis Ayala	PAR	ATH	2016	
122560	Ivan Babaryka	UKR	ATH	2012	
108262	Zsolt Bácskai	HUN	ATH	2004	
124788	Mohammed Abduh Bakhet	QAT	ATH	2012	
108298	Dmytro Baranovsky	UKR	ATH	2004	
108284	Michał Bartoszak	POL	ATH	2004	
123129	Miguel Ángel Bárzola	ARG	ATH	2012	
108238	Ndabili Bashingili	BOT	ATH	2004—2008	
115483	Arjun Kumar Basnet	NEP	ATH	2008	
108281	Bat-Ochiryn Ser-Od	MGL	ATH	2004—2016	
115492	Francisco Bautista	MEX	ATH	2008	
115507	Getuli Bayo	TAN	ATH	2008	
89011	Zebedayo Bayo	TAN	ATH	2000—2004	
132956	Alemu Bekele	BRN	ATH	2016	
108231	Saïd Belhout	ALG	ATH	2004	
108232	Mustapha Bennacer	ALG	ATH	2004	
133743	Lemi Berhanu	ETH	ATH	2016	
64314	Toni Bernadó	AND	ATH	1996—2012	
83245	Sisay Bezabeh	AUS	ATH	2000—2004	
108264	Asaf Bimro	ISR	ATH	2004	
134889	Stanley Biwott	KEN	ATH	2016	
108276	Khalid El-Boumlili	MAR	ATH	2004	
115472	Abderrahhime Bouramdane	MAR	ATH	2008—2012	
68918	Jon Brown	GBR	ATH	1996—2004	
105697	Dan Browne	USA	ATH	2004	
132332	Federico Bruno	ARG	ATH	2010—2016	
64880	Michael Buchleitner	AUT	ATH	1992—2004	
88354	Eduardo Buenavista	PHI	ATH	2000—2004	
108290	Dmitry Burmakin	RUS	ATH	2004	
121163	Urige Buta	NOR	ATH	2012	
126024	Ignacio Cáceres	ESP	ATH	2012	
132655	Florent Caelen	BEL	ATH	2016	
87086	Daniele Caimmi	ITA	ATH	2000—2004	
115500	Franck Caldeira	BRA	ATH	2008—2012	
108245	Juan Carlos Cardona	COL	ATH	2004—2012	
83448	José Alirio Carrasco	COL	ATH	2000—2004	
135209	David Carver	MRI	ATH	2016	
135424	Jorge Castelblanco	PAN	ATH	2016	
106593	Carles Castillejo	ESP	ATH	2004—2016	
115494	Abdil Ceylan	TUR	ATH	2008	
108286	Alberto Chaíça	POR	ATH	2004	
123855	Chang Chia-Che	TPE	ATH	2012	
108300	Abel Chimukoko	ZIM	ATH	2004	
136489	Jordan Chipangama	ZAM	ATH	2016	
134503	Mick Clohisey	IRL	ATH	2016	
133246	Diego Colorado	COL	ATH	2016	
122689	Reid Coolsaet	CAN	ATH	2012—2016	
108292	Anuradha Cooray	SRI	ATH	2004—2016	
115476	Carlos Cordero	MEX	ATH	2008—2012	
108296	Gil da Cruz	TLS	ATH	2004	
115484	Nelson Cruz	CPV	ATH	2008	
134355	Gáspár Csere	HUN	ATH	2016	
136219	Martín Cuestas	URU	ATH	2016	
136220	Nicolás Cuestas	URU	ATH	2016	
89114	Alan Culpepper	USA	ATH	2000—2004	
135174	Dambadarjaagiin Gantulga	MGL	ATH	2016	
115471	Deng Haiyang	CHN	ATH	2008	
123716	Martin Dent	AUS	ATH	2012	
108266	Alberico Di Cecco	ITA	ATH	2004	
115486	Norman Dlomo	RSA	ATH	2008	
122508	Dong Guojian	CHN	ATH	2012—2016	
135035	Valdas Dopolskas	LTU	ATH	2016	
133135	Duo Bujie	CHN	ATH	2016	
115485	Roberto Echeverría	CHI	ATH	2008	
115342	Jesús España	ESP	ATH	2008—2016	
88274	Andrés Espinosa	MEX	ATH	2000—2004	
133620	Tewelde Estifanos	ERI	ATH	2016	
133111	Daniel Estrada	CHI	ATH	2016	
115498	Martin Fagan	IRL	ATH	2008	
122906	Jesper Faurschou	DEN	ATH	2012	
74944	Luís Feiteira	POR	ATH	1996—2012	
120166	Getu Feleke	ETH	ATH	2012	
123697	Tayeb Filali	ALG	ATH	2012	
134117	Julian Flügel	GER	ATH	2016	
115464	Mike Fokoroni	ZIM	ATH	2008	
108299	Luis Fonseca	VEN	ATH	2004—2008	
133733	Roman Fosti	EST	ATH	2016	
108279	Procopio Franco	MEX	ATH	2004—2008	
120867	Arata Fujiwara	JPN	ATH	2012	
108235	Jean-Paul Gahimbaré	BDI	ATH	2004	
121134	Mumin Gala	DJI	ATH	2012—2016	
108260	José Amado García	GUA	ATH	2004—2016	
108277	Rachid El-Ghanmouni	MAR	ATH	2004	
133617	Ghirmay Ghebreslassie	ERI	ATH	2016	
114984	Eric Gillis	CAN	ATH	2008—2016	
133248	Gerard Giraldo	COL	ATH	2016	
108285	Waldemar Glinka	POL	ATH	2004	
115475	Paulo Gomes	POR	ATH	2008	
135678	Lungile Gongqa	RSA	ATH	2016	
134422	Thonakal Gopi	IND	ATH	2016	
115499	Andrey Gordeyev	BLR	ATH	2008	
106587	Abderrahim Goumri	MAR	ATH	2004—2008	
134568	Ageze Guadie	ISR	ATH	2016	
67056	Silvio Guerra	ECU	ATH	1996—2004	
115463	Ryan Hall	USA	ATH	2008—2012	
108242	Han Gang	CHN	ATH	2004	
108234	Nick Harrison	AUS	ATH	2004	
133962	Callum Hawkins	GBR	ATH	2016	
133969	Derek Hawkins	GBR	ATH	2016	
115495	Hem Bunting	CAM	ATH	2008	
120062	José Carlos Hernández	ESP	ATH	2012	
108255	Driss El Himer	FRA	ATH	2004	
135064	Abdelmajid El-Hissouf	MAR	ATH	2016	
136073	Ho Chin-Ping	TPE	ATH	2016	
108253	Janne Holmén	FIN	ATH	2004—2008	
121747	Wissem Hosni	TUN	ATH	2012—2016	
135014	Mohamed Hrezi	LBA	ATH	2016	
123719	Jeff Hunt	AUS	ATH	2012	
121434	Marius Ionescu	ROU	ATH	2012—2016	
134720	Suehiro Ishikawa	JPN	ATH	2016	
108288	Ahmed Jumaa Jaber	QAT	ATH	2004	
133544	Segundo Jami	ECU	ATH	2016	
126222	Jang Sin-Gwon	KOR	ATH	2012	
124443	Jeong Jin-Hyeok	KOR	ATH	2012	
108271	Ji Yeong-Jun	KOR	ATH	2004	
108287	Jong Myong-Chol	PRK	ATH	2004	
108273	Zepherinus Joseph	LCA	ATH	2004	
134354	Gábor Józsa	HUN	ATH	2016	
123260	Wirimai Juwawo	ZIM	ATH	2012—2016	
134266	Mikhailis Kalomoiris	GRE	ATH	2016	
135034	Remigijus Kančys	LTU	ATH	2016	
125357	Bekir Karayel	TUR	ATH	2012—2016	
126281	Kári Steinn Karlsson	ISL	ATH	2012	
135219	Mynhardt Kauanivi	NAM	ATH	2016	
88949	Roman Kejžar	SLO	ATH	2000—2008	
121854	Mark Kenneally	IRL	ATH	2012	
134085	Daviti Kharazishvili	GEO	ATH	2016	
115505	Luke Kibet	KEN	ATH	2008	
86791	Yonas Kifle	ERI	ATH	2000—2012	
72943	Kim I-Yong	KOR	ATH	1996—2008	
115482	Kim Il-Nam	PRK	ATH	2008	
120081	Kim Kwang-Hyok	PRK	ATH	2012	
135640	Yonas Kinde	ROT	ATH	2016	
132604	Evans Kiplagat	AZE	ATH	2016	
136163	Jackson Kiprop	UGA	ATH	2016	
120117	Abraham Kiprotich	FRA	ATH	2012	
115467	Francis Kirwa	FIN	ATH	2008	
122863	Rachid Kisri	MAR	ATH	2012—2016	
134709	Hisanori Kitajima	JPN	ATH	2016	
125761	Primož Kobe	SLO	ATH	2012	
132963	Isaac Korir	BRN	ATH	2016	
134890	Wesley Korir	KEN	ATH	2016	
135857	Anton Kosmač	SLO	ATH	2016	
126058	Tamás Kovács	HUN	ATH	2012	
135459	Artur Kozłowski	POL	ATH	2016	
134838	Mikhail Krasilov	KAZ	ATH	2016	
135925	Christian Kreienbühl	SUI	ATH	2016	
125223	Jan Kreisinger	CZE	ATH	2012	
115474	Oleg Kulkov	RUS	ATH	2008	
108268	Tomoaki Kunichika	JPN	ATH	2004	
115504	Oleksandr Kuzin	UKR	ATH	2008	
134592	Stefano La Rosa	ITA	ATH	2016	
132272	El-Hadi Laameche	ALG	ATH	2016	
108256	El Hassan Lahssini	FRA	ATH	2004	
115501	Clement Lebopo	LES	ATH	2008	
120090	Lee Du-Haeng	KOR	ATH	2012	
108272	Lee Myeong-Seung	KOR	ATH	2004—2008	
115460	Martin Lel	KEN	ATH	2008	
115489	Constantino León	PER	ATH	2008	
108243	Li Zhuhong	CHN	ATH	2004—2008	
122509	Li Zicheng	CHN	ATH	2012	
123495	César Lizano	CRC	ATH	2012	
79741	Pavel Loskutov	EST	ATH	1996—2008	
88312	Kamiel Maase	NED	ATH	2000—2008	
135437	Raúl Machacuay	PER	ATH	2016	
115506	Simon Maine	LES	ATH	2008	
133235	Kamongwa Salukombo Makorobondo	COD	ATH	2016	
136038	Saidi Juma Makula	TAN	ATH	2016	
123196	Arturo Malaquias	MEX	ATH	2012	
89054	Alex Malinga	UGA	ATH	2000—2008	
115493	Takhir Mamashayev	KAZ	ATH	2008	
127188	Guor Marial	IOA SSD	ATH	2012—2016	
105694	José Manuel Martínez	ESP	ATH	2004—2008	
132334	Mariano Mastromarino	ARG	ATH	2016	
108293	Marcel Matanin	SVK	ATH	2004	
115473	Vasyl Matviychuk	UKR	ATH	2008	
125948	Abdellatif Meftah	FRA	ATH	2012	
115459	Deriba Merga	ETH	ATH	2008	
134264	Khristoforos Merousis	GRE	ATH	2016	
124080	Lee Merrien	GBR	ATH	2012	
121100	Amanuel Mesel	ERI	ATH	2012—2016	
115502	Tesfayohannes Mesfin	ERI	ATH	2008	
124439	Daniele Meucci	ITA	ATH	2012—2016	
