ID	Name	Nation(s)	Sport(s)	Era	
115358	Leonid Andreyev	UZB	ATH	2008—2016	
127073	Mareks Ārents	LAT	ATH	2012—2016	
87074	Alex Averbukh	ISR	ATH	2000—2008	
133411	Michal Balner	CZE	ATH	2016	
133022	Shawn Barber	CAN	ATH	2016	
120594	Jere Bergius	FIN	ATH	2012	
88308	Rens Blom	NED	ATH	2000—2004	
106550	Lars Börgeling	GER	ATH	2004	
115373	Lázaro Borges	CUB	ATH	2008—2012	
75250	Okkert Brits	RSA	ATH	1996—2004	
106569	Piotr Buciarski	DEN	ATH	2004	
68922	Nick Buckfield	GBR	ATH	1996—2004	
106558	Spas Bukhalov	BUL	ATH	2004—2008	
83247	Paul Burgess	AUS	ATH	2000—2008	
126023	Igor Bychkov	ESP	ATH	2012	
115365	Germán Chiaraviglio	ARG	ATH	2008—2016	
115357	Jérôme Clavier	FRA	ATH	2008	
136254	Logan Cunningham	USA	ATH	2016	
133973	Luke Cutts	GBR	ATH	2016	
115368	Przemysław Czerwiński	POL	ATH	2008	
134119	Karsten Dilla	GER	ATH	2016	
132756	Augusto Dutra	BRA	ATH	2016	
82605	Danny Ecker	GER	ATH	2000—2008	
83369	Iliyan Efremov	BUL	ATH	2000—2008	
106560	Marios Evangelou	GRE	ATH	2004	
124680	Kostas Filippidis	GRE	ATH	2012—2016	
126490	Nikita Filippov	KAZ	ATH	2012	
115363	Jesper Fritz	SWE	ATH	2008	
106570	Javier Gazol	ESP	ATH	2004	
88450	Pavel Gerasimov	RUS	ATH	2000—2004	
115371	Fábio Gomes	BRA	ATH	2008—2012	
106571	Nicolas Guigon	FRA	ATH	2004	
78525	Jeff Hartwig	USA	ATH	1996—2008	
121280	Ivan Horvat	CRO	ATH	2010—2016	
133132	Huang Bokai	CHN	ATH	2016	
86772	Štěpán Janáček	CZE	ATH	2000—2008	
115369	Alhaji Jeng	SWE	ATH	2008—2012	
73144	Dominic Johnson	LCA	ATH	1996—2008	
133811	Stanley Joseph	FRA	ATH	2016	
106561	Kim Yu-Seok	KOR	ATH	2004—2012	
106572	Adam Kolasa	POL	ATH	2004	
106567	Oleksandr Korchmid	UKR	ATH	2004—2008	
89002	Patrik Kristiansson	SWE	ATH	2000—2004	
120536	Sergey Kucheryanu	RUS	ATH	2012	
115360	Jan Kudlička	CZE	ATH	2008—2016	
106573	Giovanni Lanaro	MEX	ATH	2004—2008	
115370	Mikko Latvala	FIN	ATH	2008	
115364	Steve Lewis	GBR	ATH	2008—2012	
135474	Piotr Lisek	POL	ATH	2016	
106564	Liu Feiliang	CHN	ATH	2004—2008	
70385	Tim Lobinger	GER	ATH	1996—2008	
125994	Edi Maia	POR	ATH	2012	
65430	Dmitri Markov	AUS BLR	ATH	1996—2004	
132465	Kurtis Marschall	AUS	ATH	2016	
115362	Maksym Mazuryk	UKR	ATH	2008—2012	
133803	Kévin Ménaldo	FRA	ATH	2016	
86886	Romain Mesnil	FRA	ATH	2000—2012	
122019	Łukasz Michalski	POL	ATH	2012	
125801	Malte Mohr	GER	ATH	2012	
106568	Matti Mononen	FIN	ATH	2004	
134708	Hiroki Ogita	JPN	ATH	2016	
106565	Igor Pavlov	RUS	ATH	2004—2008	
106556	Adam Ptáček	CZE	ATH	2004	
135005	Pauls Pujāts	LAT	ATH	2016	
115372	Kevin Rans	BEL	ATH	2008	
106555	Vesa Rantanen	FIN	ATH	2004	
135859	Robert Renner	SLO	ATH	2016	
106557	Jurij Rovan	SLO	ATH	2004—2008	
106553	Daichi Sawano	JPN	ATH	2004—2016	
134131	Tobias Scherbarth	GER	ATH	2016	
126733	Jeremy Scott	USA	ATH	2012	
136235	Cale Simmons	USA	ATH	2016	
135477	Robert Sobera	POL	ATH	2016	
115361	Dmitry Starodubtsev	RUS	ATH	2008—2012	
106563	Vadim Strogalyev	RUS	ATH	2004	
127065	Stanislav Tivonchik	BLR	ATH	2012	
115366	Brad Walker	USA	ATH	2008—2012	
122141	Paweł Wojciechowski	POL	ATH	2012—2016	
133134	Xue Changrui	CHN	ATH	2016	
120209	Seito Yamamoto	JPN	ATH	2012—2016	
122515	Yang Yansheng	CHN	ATH	2012	
133136	Yao Jie	CHN	ATH	2016	
106551	Ruslan Yeremenko	UKR	ATH	2004	
89089	Denys Yurchenko	UKR	ATH	2000—2012	
