ID	Name	Nation(s)	Sport(s)	Era	
134084	Benik Abramyan	GEO	ATH	2016	
114513	Hamza Alić	BIH	ATH	2008—2016	
83242	Justin Anlezark	AUS	ATH	2000—2008	
117036	Dylan Armstrong	CAN	ATH	2008—2012	
135549	Tsanko Arnaudov	POR	ATH	2016	
125430	Hüseyin Atıcı	TUR	ATH	2012	
103817	Ralf Bartels	GER	ATH	2004—2012	
103822	Yury Belov	BLR	ATH	2004—2008	
103820	Zsolt Biber	HUN	ATH	2004	
89057	Yuriy Bilonoh	UKR	ATH	2000—2008	
132459	Damien Birkinhead	AUS	ATH	2010—2016	
103815	Detlef Bock	GER	ATH	2004	
135465	Konrad Bukowiecki	POL	ATH	2014—2016	
114511	Christian Cantwell	USA	ATH	2008—2012	
114530	Chang Ming-Huang	TPE	ATH	2008—2012	
122908	Kim Juhl Christensen	DEN	ATH	2012	
88446	Pavel Chumachenko	RUS	ATH	2000—2004	
136264	Ryan Crouser	USA	ATH	2016	
134130	Tobias Dahm	GER	ATH	2016	
133104	Franck Elemba	CGO	ATH	2016	
103823	Edis Elkasević	CRO	ATH	2004	
88289	Ion Emilianov	MDA	ATH	2000—2016	
114528	Yasser Farag	EGY	ATH	2008	
114529	Marco Fortes	POR	ATH	2008—2012	
120911	Emanuele Fuamatu	SAM	ATH	2012	
135643	Andrei Gag	ROU	ATH	2016	
135354	Jacko Gill	NZL	ATH	2010—2016	
78457	John Godina	USA	ATH	1996—2004	
75193	Gheorghe Gușet	ROU	ATH	1992—2004	
88989	Milan Haborák	SVK	ATH	2000—2008	
114526	Sultan Abdulmajeed Al-Habshi	KSA	ATH	2008	
114522	Robert Häggblom	FIN	ATH	2008	
135471	Michał Haratyk	POL	ATH	2016	
134677	Eldred Henry	IVB	ATH	2016	
136241	Darrell Hill	USA	ATH	2016	
103812	Reese Hoffa	USA	ATH	2004—2012	
121526	Adriatik Hoxha	ALB	ATH	2012	
114523	Georgi Ivanov	BUL	ATH	2008—2016	
134837	Ivan Ivanov	KAZ	ATH	2016	
114519	Asmir Kolašinac	SRB	ATH	2008—2016	
88991	Mikuláš Konopka	SVK	ATH	2000—2004	
103810	Galin Kostadinov	BUL	ATH	2004	
136251	Joe Kovacs	USA	ATH	2016	
114520	Lajos Kürthy	HUN	ATH	2008—2012	
88428	Burger Lambrechts	RSA	ATH	2000—2004	
114518	Germán Lauro	ARG	ATH	2008—2016	
114514	Anton Lyuboslavsky	RUS	ATH	2008	
103821	Pavel Lyzhin	BLR	ATH	2004—2012	
103827	Tomasz Majewski	POL	ATH	2004—2016	
114515	Scott Martin	AUS	ATH	2008—2012	
67252	Manuel Martínez	ESP	ATH	1996—2008	
125178	Kemal Mešić	BIH	ATH	2012—2016	
133306	Filip Mihaljević	CRO	ATH	2016	
83338	Andrey Mikhnevich	BLR	ATH	2000—2012	
135297	Stephen Mozia	NGR	ATH	2016	
103818	Nedžad Mulabegović	CRO	ATH	2004—2012	
127021	Carl Myerscough	GBR	ATH	2012	
133023	Tim Nedow	CAN	ATH	2016	
89155	Adam Nelson	USA	ATH	2000—2008	
114525	Yves Niaré	FRA	ATH	2008	
114531	Amin Nikfar	IRI	ATH	2008—2012	
86780	Joachim Olsen	DEN	ATH	2000—2008	
83477	Alexis Paumier	CUB	ATH	2000—2008	
103809	Taavi Peetre	EST	ATH	2004—2008	
79449	Dragan Perić	IOA SCG	ATH	1992—2004	
132704	Mesud Pezer	BIH	ATH	2016	
114527	Reinaldo Proenza	CUB	ATH	2008	
103825	Tepa Reinikainen	FIN	ATH	2004	
134692	O'Dayne Richards	JAM	ATH	2016	
88434	Janus Robberts	RSA	ATH	2000—2004	
122698	Justin Rodhe	CAN	ATH	2012	
132758	Darlan Romani	BRA	ATH	2016	
103826	Peter Sack	GER	ATH	2004—2008	
121273	Stephen Sáenz	MEX	ATH	2012	
114524	Dorian Scott	JAM	ATH	2008—2012	
114512	Andriy Semenov	UKR	ATH	2008—2012	
120544	Maksim Sidorov	RUS	ATH	2012	
121467	Om Prakash Singh Karhana	IND	ATH	2012	
87039	Bahadur Singh	IND	ATH	2000—2004	
134268	Nikolas Skarvelis	GRE	ATH	2016	
103816	Rutger Smith	NED	ATH	2004—2012	
66250	Brad Snyder	CAN	ATH	1996—2004	
103819	Pavel Sofyin	RUS	ATH	2004—2008	
114521	Mikhalis Stamatogiannis	GRE	ATH	2008—2012	
133413	Tomáš Staněk	CZE	ATH	2016	
103814	Petr Stehlík	CZE	ATH	2004—2008	
123731	Dale Stevenson	AUS	ATH	2012	
125814	David Storl	GER	ATH	2012—2016	
103828	Khalid Habash Al-Suwaidi	QAT	ATH	2004	
86862	Ville Tiisanoja	FIN	ATH	2000—2004	
133635	Carlos Tobalina	ESP	ATH	2016	
123426	Raigo Toompuu	EST	ATH	2012	
120546	Soslan Tsirikhov	RUS	ATH	2012	
114517	Māris Urtāns	LAT	ATH	2008—2012	
114516	Carlos Véliz	CUB	ATH	2008—2012	
103813	Marco Antonio Verni	CHI	ATH	2004—2008	
77140	Roman Virastiuk	UKR	ATH	1996—2004	
126047	Borja Vivas	ESP	ATH	2012—2016	
103824	Miran Vodovnik	SLO	ATH	2004—2008	
135357	Tom Walsh	NZL	ATH	2016	
126096	Ryan Whiting	USA	ATH	2012	
103808	Ivan Yushkov	RUS	ATH	2004—2008	
103811	Antonín Žalský	CZE	ATH	2004—2012	
122519	Zhang Jun	CHN	ATH	2012	
133307	Stipe Žunić	CRO	ATH	2016	
126286	Óðinn Björn Þorsteinsson	ISL	ATH	2012	
