ID	Name	Nation(s)	Sport(s)	Era	
105569	Ibrahim Aboubaker	QAT	ATH	2004—2008	
86903	Larry Achike	GBR	ATH	2000—2008	
120313	Lyukman Adams	RUS	ATH	2012	
132429	Levon Aghasyan	ARM	ATH	2016	
72983	Salem Al-Ahmadi	KSA	ATH	1996—2004	
135109	Alberto Álvarez	MEX	ATH	2016	
109536	Ndiss Kaba Badji	SEN	ATH	2004—2012	
105582	Kenta Bell	USA	ATH	2004—2008	
136237	Chris Benard	USA	ATH	2016	
105578	Yoandri Betanzos	CUB	ATH	2004—2012	
83298	Sergey Boçkov	AZE	ATH	2000—2004	
132711	Artyom Bondarenko	BLR	ATH	2016	
109546	Tarik Bouguetaïb	MAR	ATH	2004—2008	
125595	Cao Shuo	CHN	ATH	2012—2016	
132633	Latario Collie-Minns	BAH	ATH	2010—2016	
125930	Benjamin Compaoré	FRA	ATH	2012—2016	
115024	Alexis Copello	CUB	ATH	2008—2012	
133801	Harold Correa	FRA	ATH	2016	
115026	Rafeeq Curry	USA	ATH	2008	
125727	Mohamed Abbas Darwish	UAE	ATH	2012	
89118	Walter Davis	USA	ATH	2000—2004	
135193	Mamadou Chérif Dia	MLI	ATH	2016	
132977	Rumen Dimitrov	BUL	ATH	2016	
134310	Troy Doris	GUY	ATH	2016	
105583	Nathan Douglas	GBR	ATH	2004—2008	
135210	Jonathan Drack	MRI	ATH	2016	
133521	Yordanys Durañona	DMA	ATH	2016	
126863	Yevgeny Ektov	KAZ	ATH	2012	
135229	Fabian Florant	NED	ATH	2016	
86874	Colomba Fofana	FRA	ATH	2000—2008	
123717	Henry Frayne	AUS	ATH	2012—2016	
70232	Charles Friedek	GER	ATH	1996—2004	
115031	Héctor Fuentes	CUB	ATH	2008	
105585	Arnie Giralt	CUB	ATH	2004—2012	
65424	Aleksandr Glavatsky	BLR	ATH	1996—2004	
124421	Daniele Greco	ITA	ATH	2012	
105580	Jadel Gregório	BRA	ATH	2004—2008	
115036	Gu Junjie	CHN	ATH	2008	
105581	Viktor Gushchinsky	RUS	ATH	2004	
121680	Muhammad Halim	ISV	ATH	2012—2016	
134704	Daigo Hasegawa	JPN	ATH	2016	
105588	Mohammad Hazouri	SYR	ATH	2004	
134121	Max Heß	GER	ATH	2016	
135463	Karol Hoffmann	POL	ATH	2016	
105568	Julien Kapek	FRA	ATH	2004	
105586	Momchil Karailiev	BUL	ATH	2004—2008	
115025	Kim Deok-Hyeon	KOR	ATH	2008—2016	
136407	Ruslan Kurbanov	UZB	ATH	2010—2016	
115023	Viktor Kuznietsov	UKR	ATH	2008—2012	
126015	Samyr Lainé	HAI	ATH	2012	
105593	Lauri Leis	EST	ATH	2004	
105592	Vladimir Letnicov	MDA	ATH	2004—2016	
105573	Randy Lewis	GRN	ATH	2004—2008	
105584	Li Yanxi	CHN	ATH	2004—2008	
89149	Mel Lister	USA	ATH	2000—2004	
115037	Renjith Maheshwary	IND	ATH	2008—2016	
115034	Hugo Mamba-Schlick	CMR	ATH	2008	
133349	Lázaro Martínez	CUB	ATH	2016	
64470	Armen Martirosyan	ARM	ATH	1996—2004	
86958	Khristos Meletoglou	GRE	ATH	2000—2004	
105575	Vitaly Moskalenko	RUS	ATH	2004	
133249	Jhon Murillo	COL	ATH	2016	
64753	Andrew Murphy	AUS	ATH	1996—2004	
132714	Maksim Nesterenko	BLR	ATH	2016	
122733	Issam Nima	ALG	ATH	2008—2012	
122243	Tosin Oke	NGR	ATH	2012—2016	
135295	Olu Olamigoke	NGR	ATH	2016	
122549	Şeref Osmanoğlu	TUR UKR	ATH	2012—2016	
70673	Andrew Owusu	GHA	ATH	1996—2004	
105595	Park Hyeong-Jin	KOR	ATH	2004	
115032	Aleksandr Petrenko	RUS	ATH	2008	
115027	Dmitry Plotnitsky	BLR	ATH	2008—2016	
105591	Andreas Pohle	GER	ATH	2004	
134680	Clive Pullen	JAM	ATH	2016	
133346	Ernesto Revé	CUB	ATH	2016	
67028	Jérôme Romain	DMA	ATH	1996—2008	
83375	Ivaylo Rusenov	BUL	ATH	2000—2004	
115028	Jefférson Sabino	BRA	ATH	2008	
65786	Olivier Sanou	BUR	ATH	1996—2004	
105570	Mykola Savolainen	UKR	ATH	2004—2008	
115030	Redžep Selman	MKD	ATH	2008	
123705	Jonathan Silva	BRA	ATH	2012	
105574	LeJuan Simon	TTO	ATH	2004	
105594	Boštjan Šimunič	SLO	ATH	2004	
121046	Adrian Sornoza	ECU	ATH	2012	
88924	Igor Spasovkhodsky	RUS	ATH	2000—2008	
88145	Takanori Sugibayashi	JPN	ATH	2000—2004	
105597	Karl Taillepierre	FRA	ATH	2004	
105571	Péter Tölgyesi	HUN	ATH	2004	
134086	Lasha Torgvaidze	GEO	ATH	2016	
133644	Pablo Torrijos	ESP	ATH	2016	
115033	Dimitrios Tsiamis	GRE	ATH	2008	
105576	Berk Tuna	TUR	ATH	2004	
105590	Dmitrij Val'ukevič	BLR SVK	ATH	2004—2008	
105577	Roman Valiyev	KAZ	ATH	2004—2016	
115035	Aarik Wilson	USA	ATH	2008	
133139	Xu Xiaolong	CHN	ATH	2016	
134714	Kohei Yamashita	JPN	ATH	2016	
105587	Viktor Yastrebov	UKR	ATH	2004—2008	
132998	Hugues Zango	BUR	ATH	2016	
115029	Zhong Minwei	CHN	ATH	2008	
