ID	Name	Nation(s)	Sport(s)	Era	
86794	María Abel	ESP	ATH	2000—2004	
104989	Elvan Abeylegesse	TUR	ATH	2004—2008	
114494	Inga Abitova	RUS	ATH	2008	
67364	Berhane Adere	ETH	ATH	1996—2008	
104984	Souad Aït Salem	ALG	ATH	2004—2016	
114501	Yukiko Akaba	JPN	ATH	2008	
130208	Jess Andrews	GBR	ATH	2016	
130889	Alice Aprot	KEN	ATH	2016	
114500	Peninah Arusei	KEN	ATH	2008	
114502	Tatyana Aryasova	RUS	ATH	2008	
83212	Nasria Baghdad-Azaïdj	ALG	ATH	2000—2004	
114503	Bai Xue	CHN	ATH	2008	
72706	Sally Barsosio	KEN	ATH	1996—2004	
114507	Amy Yoder Begley	USA	ATH	2008	
107760	Nataliya Berkut	UKR	ATH	2004—2008	
124060	Julia Bleasdale	GBR	ATH	2012	
88440	Galina Bogomolova	RUS	ATH	2000—2008	
107753	Mihaela Botezan	ROU	ATH	2004	
114436	Fionnuala Britton-McCormack	IRL	ATH	2008—2016	
115228	Gelete Burka	ETH	ATH	2008—2016	
65825	Kathy Butler	CAN GBR	ATH	1996—2004	
131894	Yasemin Can	TUR	ATH	2016	
129236	Tatiele de Carvalho	BRA	ATH	2016	
73065	Jeļena Čelnova-Prokopčuka	LAT	ATH	1996—2016	
107759	Natalia Cercheş	MDA	ATH	2004—2012	
88254	Bouchra Chaabi	MAR	ATH	2000—2008	
114509	Isabel Checa	ESP	ATH	2008	
131924	Juliet Chekwel	UGA	ATH	2016	
124423	Joyce Chepkirui	KEN	ATH	2012	
127086	Janet Cherobon-Bawcom	USA	ATH	2012	
114505	Nathalie De Vos	BEL	ATH	2008	
74895	Ana Dias	POR	ATH	1996—2008	
114508	Dong Xiaoqin	CHN	ATH	2008	
89150	Elva Dryer	USA	ATH	2000—2004	
105446	Nadia Ejjafini	BRN ITA	ATH	2004—2012	
124804	Shitaye Eshete	BRN	ATH	2012—2016	
73435	Adriana Fernández	MEX	ATH	1996—2004	
131051	Brenda Flores	MEX	ATH	2016	
107758	Kayoko Fukushi	JPN	ATH	2004—2016	
129944	Trihas Gebre	ESP	ATH	2016	
114496	Kara Goucher	USA	ATH	2008—2012	
120579	Yelizaveta Grechishnikova	RUS	ATH	2012	
88453	Lidiya Grigoryeva	RUS	ATH	2000—2004	
121710	Karoline Bjerkeli Grøvdal	NOR	ATH	2012—2016	
132041	Marielle Hall	USA	ATH	2016	
126516	Amy Hastings-Cragg	USA	ATH	2012—2016	
72363	Harumi Hiroyama	JPN	ATH	1996—2004	
126587	Molly Huddle	USA	ATH	2012—2016	
132028	Emily Infeld	USA	ATH	2016	
130642	Veronica Inglese	ITA	ATH	2016	
75634	Helena Javornik	SLO	ATH	1996—2004	
89204	Olivera Jevtić	SRB SCG	ATH	2000—2016	
76499	Restituta Joseph	TAN	ATH	1996—2004	
107752	Lucy Kabuu	KEN	ATH	2004—2008	
87005	Anikó Kálovics	HUN	ATH	2000—2012	
132199	Sitora Khamidova	UZB	ATH	2016	
114497	Hilda Kibet	NED	ATH	2008—2012	
86839	Werknesh Kidane	ETH	ATH	2000—2012	
107751	Lornah Kiplagat	NED	ATH	2004—2012	
114493	Mariya Konovalova	RUS	ATH	2008	
131131	Susan Kuijken	NED	ATH	2016	
131769	Sarah Lahti	SWE	ATH	2016	
88262	Asmae Leghzaoui	MAR	ATH	2000—2008	
129417	Lanni Marchant	CAN	ATH	2016	
130915	Darya Maslova	KGZ	ATH	2016	
107757	Haley McGregor	AUS	ATH	2004	
71486	Marie McMahon-Davenport	IRL	ATH	1996—2004	
107755	Sabrina Mockenhaupt	GER	ATH	2004—2012	
114466	Sara Moreira	POR	ATH	2008—2016	
120886	Hitomi Niiya	JPN	ATH	2012	
83383	Diane Nukuri-Johnson	BDI	ATH	2000—2016	
131644	Salome Nyirarukundo	RWA	ATH	2016	
107756	Kate O'Neill	USA	ATH	2004	
123852	Belaynesh Oljira	ETH	ATH	2012	
130444	Alexia Pappas	GRE	ATH	2016	
86935	Jo Pavey	GBR	ATH	2000—2016	
75378	Lyudmila Petrova	RUS	ATH	1996—2004	
130199	Beth Potter	GBR	ATH	2016	
68762	Paula Radcliffe	GBR	ATH	1996—2008	
114504	Kate Reed	GBR	ATH	2008	
75230	Colleen de Reuck	RSA USA	ATH	1992—2004	
89160	Jen Rhines	USA	ATH	2000—2008	
131422	Carla Rocha	POR	ATH	2016	
88277	Dulce María Rodríguez	MEX	ATH	2000—2008	
121318	Marisol Romero	MEX	ATH	2012—2016	
