ID	Name	Nation(s)	Sport(s)	Era	
122370	Neringa Aidietytė	LTU	ATH	2012—2016	
126967	Sandra Arenas	COL	ATH	2012—2016	
131483	Andreea Arsine	ROU	ATH	2016	
105377	Yeliz Ay	TUR	ATH	2004	
130857	Diana Aydosova	KAZ	ATH	2016	
123959	Claudia Balderrama	BOL	ATH	2012	
131262	Alana Barber	NZL	ATH	2016	
129892	Magaly Bonilla	ECU	ATH	2016	
121965	Paulina Buziak	POL	ATH	2012—2016	
116962	Ana Cabecinha	POR	ATH	2008—2016	
131424	Daniela Cardoso	POR	ATH	2016	
129757	Yeseida Carrillo	COL	ATH	2016	
129205	Ángela Castro	BOL	ATH	2016	
75104	Norica Cîmpean	ROU	ATH	1996—2004	
105380	Daniela Cîrlan	ROU	ATH	2004—2016	
116977	Verónica Colindres	ESA	ATH	2008	
86976	Teresita Collado	GUA	ATH	2000—2004	
129208	Wendy Cornejo	BOL	ATH	2016	
129207	Stefany Coronado	BOL	ATH	2016	
105387	Nicolene Cronje	RSA	ATH	2004	
125119	Mária Czaková	SVK	ATH	2012—2016	
105372	Barbora Dibelková	CZE	ATH	2004	
116972	Joanne Dow	USA	ATH	2008	
121755	Anna Drabenya	BLR	ATH	2012	
129840	Anežka Drahotová	CZE	ATH	2016	
88216	Jolanta Dukure	LAT	ATH	2000—2008	
129220	Cisiane Dutra	BRA	ATH	2016	
121977	Agnieszka Dygacz	POL	ATH	2012—2016	
121348	Mónica Equihua	MEX	ATH	2012	
74938	Susana Feitor	POR	ATH	1992—2008	
105375	Rocío Florido	ESP	ATH	2004	
105390	Fumilay da Fonseca	STP	ATH	2004	
123248	Jamy Franco	GUA	ATH	2012	
120927	Masumi Fuchise	JPN	ATH	2012	
105385	Edina Füsti	HUN	ATH	2004—2008	
131757	Mária Gáliková	SVK	ATH	2016	
129756	Sandra Galvis	COL	ATH	2016	
131347	Kimberly García	PER	ATH	2010—2016	
105391	Mayte Gargallo	ESP	ATH	2004	
105365	Yelena Ginko	BLR	ATH	2004—2008	
71766	Rossella Giordano	ITA	ATH	1996—2004	
124417	Eleonora Giorgi	ITA	ATH	2012—2016	
105374	Maribel Gonçalves	POR	ATH	2004	
129942	Raquel González	ESP	ATH	2016	
88416	Ana Maria Groza	ROU	ATH	2000—2008	
129894	Maritza Guamán	ECU	ATH	2016	
121049	Yadira Guamán	ECU	ATH	2012	
120268	Anne Halkivaha	FIN	ATH	2012	
131345	Jessica Hancco	PER	ATH	2016	
105373	Inês Henriques	POR	ATH	2004—2016	
123199	Ingrid Hernández	COL	ATH	2012	
123249	Mayra Herrera	GUA	ATH	2012—2016	
128959	Tanya Holliday	AUS	ATH	2016	
65450	Geovana Irusta	BOL	ATH	1996—2004	
116967	Jo Jackson	GBR	ATH	2008—2012	
124449	Jeon Yeong-Eun	KOR	ATH	2012—2016	
105376	Jiang Jing	CHN	ATH	2004	
116981	Tatyana Kalmykova	RUS	ATH	2008	
131936	Inna Kashyna	UKR	ATH	2016	
130544	Khushbir Kaur	IND	ATH	2010—2016	
105383	Mayumi Kawasaki	JPN	ATH	2004—2012	
88187	Kim Mi-Jeong	KOR	ATH	2000—2008	
120583	Anisya Kirdyapkina	RUS	ATH	2012	
86955	Khristina Kokotou	GRE	ATH	2000—2004	
116969	Sachiko Konishi	JPN	ATH	2008	
105370	Sylwia Korzeniowska	POL	ATH	2004—2008	
130500	Barbara Kovács	HUN	ATH	2016	
120068	Ayman Kozhakhmetova	KAZ	ATH	2012	
126485	Sholpan Kozhakhmetova	KAZ	ATH	2012	
88206	Yelena Kuznetsova	KAZ	ATH	2000—2004	
123720	Regan Lamble	AUS	ATH	2012—2016	
123721	Beki Lee	AUS	ATH	2012	
130923	Lee Da-Seul	KOR	ATH	2016	
136661	Lee Jeong-Eun	KOR	ATH	2016	
73070	Anita Liepiņa	LAT	ATH	1996—2004	
87053	Olive Loughnane	IRL	ATH	2000—2012	
126059	Viktória Madarász	HUN	ATH	2012—2016	
105371	Zuzana Malíková	SVK	ATH	2004—2008	
132042	Miranda Melville	USA	ATH	2016	
130082	Émilie Menuet	FRA	ATH	2016	
126582	Maria Michta-Coffey	USA	ATH	2012—2016	
73201	Sonata Milušauskaitė	LTU	ATH	1996—2008	
105393	Nevena Mineva	BUL	ATH	2004	
129930	Yesenia Miranda	ESA	ATH	2016	
130039	Yehualeye Beletew Mitiku	ETH	ATH	2016	
125476	Semiha Mutlu	TUR	ATH	2012	
131959	Valentyna Myronchuk	UKR	ATH	2016	
131877	Chahinez Nasri	TUN	ATH	2016	
125170	Nguyễn Thị Thanh Phúc	VIE	ATH	2012	
130445	Antigoni Ntrismpioti	GRE	ATH	2016	
116980	Evelyn Núñez	GUA	ATH	2008	
130744	Kumiko Okada	JPN	ATH	2016	
131530	Anel Oosthuizen	RSA	ATH	2016	
116975	Johana Ordóñez	ECU	ATH	2008	
123198	Arabelly Orjuela	COL	ATH	2012	
131050	Alejandra Ortega	MEX	ATH	2016	
123247	Mirna Ortíz	GUA	ATH	2012—2016	
120928	Kumi Otoshi	JPN	ATH	2012	
105378	Victoria Palacios	MEX	ATH	2004	
130633	Antonella Palmisano	ITA	ATH	2016	
86960	Athina Papagianni	GRE	ATH	2000—2004	
116961	Beatriz Pascual	ESP	ATH	2008—2016	
125285	Agnese Pastare	LAT	ATH	2012—2016	
125277	Lucie Pelantová	CZE	ATH	2012	
121047	Paola Pérez	ECU	ATH	2012—2016	
105388	Alessandra Picagevicz	BRA	ATH	2004	
105382	Marie Polli	SUI	ATH	2004	
130469	Maritza Poncio	GUA	ATH	2016	
116966	María José Povés	ESP	ATH	2008—2012	
116974	Nadiya Prokopuk-Borovska	UKR	ATH	2008—2016	
130548	Sapna Punia	IND	ATH	2016	
105389	Yolène Raffin	MRI	ATH	2004	
130502	Rita Récsei	HUN	ATH	2016	
130863	Polina Repina	KAZ	ATH	2016	
125839	Laura Reynolds	IRL	ATH	2012	
131482	Ana Rodean	ROU	ATH	2016	
122040	Milángela Rosales	VEN	ATH	2012	
