ID	Name	Nation(s)	Sport(s)	Era	
114460	Zemzem Ahmed	ETH	ATH	2008	
131891	Meryem Akdağ	TUR	ATH	2016	
122890	Salima El Ouali Alami	MAR	ATH	2012—2016	
114434	Lindsey Anderson	USA	ATH	2008	
114447	Jéssica Augusto	POR	ATH	2008—2016	
123663	Hiwot Ayalew	ETH	ATH	2012—2016	
130545	Lalita Babar	IND	ATH	2016	
114435	Mekdes Bekele	ETH	ATH	2008	
129418	Maria Bernard	CAN	ATH	2016	
128854	Amina Bettiche	ALG	ATH	2016	
114448	Ancuța Bobocel	ROU	ATH	2008—2016	
114422	Ruth Bosibori	KEN	ATH	2008	
120219	Kaltoum Bouaasayriya	MAR	ATH	2012	
114436	Fionnuala Britton-McCormack	IRL	ATH	2008—2016	
114455	Aslı Çakır	TUR	ATH	2008—2012	
114431	Cristina Casandra	ROU	ATH	2008—2012	
128873	Belén Casetta	ARG	ATH	2010—2016	
131926	Peruth Chemutai	UGA	ATH	2016	
130890	Beatrice Chepkoech	KEN	ATH	2016	
114441	Clarisse Cruz	POR	ATH	2008—2012	
121602	Silviya Danekova	BUL	ATH	2012—2016	
83317	Veerle Dejaeghere	BEL	ATH	2000—2016	
123845	Etenesh Diro	ETH	ATH	2012—2016	
67120	Marta Domínguez	ESP	ATH	1996—2012	
114450	Sophie Duarte	FRA	ATH	2008	
114451	Muna Durka	SUD	ATH	2008	
120595	Sandra Eriksson	FIN	ATH	2012—2016	
114440	Türkan Erişmiş	TUR	ATH	2008	
123194	Ángela Figueroa	COL	ATH	2012	
130592	Michelle Finn	IRL	ATH	2016	
131764	Charlotta Fougberg	SWE	ATH	2016	
126611	Bridget Franek	USA	ATH	2012	
132023	Courtney Frerichs	USA	ATH	2016	
116938	Zulema Fuentes-Pila	ESP	ATH	2008	
128851	Luiza Gega	ALB	ATH	2016	
129377	Tigest Getent	BRN	ATH	2016	
131893	Tuğba Güvenç	TUR	ATH	2016	
114442	Minori Hayakari	JPN	ATH	2008	
128952	Madeline Hills	AUS	ATH	2016	
114470	Korene Hinds	JAM	ATH	2008—2012	
114437	Valentyna Horpynych-Zhudina	UKR	ATH	2008—2012	
87123	Mardrea Hyman	JAM	ATH	2000—2008	
104982	Dorcus Inzikuru	UGA	ATH	2004—2012	
109508	Wioletta Janowska-Frankiewicz	POL	ATH	2004—2008	
123693	Poļina Jeļizarova	LAT	ATH	2012	
114454	Oxana Juravel	MDA	ATH	2008	
120162	Özlem Kaya	TUR	ATH	2012—2016	
127102	Shalaya Kipp	USA	ATH	2012	
114456	Eirini Kokkinariou	GRE	ATH	2008	
130330	Sanaa Koubaa	GER	ATH	2016	
114467	Katarzyna Kowalska	POL	ATH	2008—2016	
125744	Gesa Felicitas Krause	GER	ATH	2012—2016	
121219	Svetlana Kudelich	BLR	ATH	2012	
127119	Genevieve LaCaze	AUS	ATH	2012—2016	
129409	Geneviève Lalonde	CAN	ATH	2016	
116939	Li Zhenzhu	CHN	ATH	2008—2012	
