
ID	Name	Nation(s)	Sport(s)	Era	
130476	Aliyah Abrams	GUY	ATH	2016	
114824	Shade Abugan	NGR	ATH	2008	
129372	Kemi Adekoya	BRN	ATH	2016	
121008	Danni Alakija	FIJ	ATH	2012	
114830	Kineke Alexander	VIN	ATH	2008—2016	
114823	Ghada Ali	LBA	ATH	2008	
105039	Shifana Ali	MDV	ATH	2004	
121127	Zourah Ali	DJI	ATH	2010—2012	
105030	Maria Laura Almirão	BRA	ATH	2004—2008	
83301	Christine Amertil	BAH	ATH	2000—2016	
89176	Zamira Amirova	UZB	ATH	2000—2004	
131423	Cátia Azevedo	POR	ATH	2016	
131226	Margaret Bamgbose	NGR	ATH	2016	
114831	Trish Bartholomew	GRN	ATH	2008	
114833	Batgereliin Möngöntuyaa	MGL	ATH	2008	
114814	Justine Bayiga	UGA	ATH	2008	
105043	Allison Beckford	JAM	ATH	2004	
130467	Kanika Beckles	GRN	ATH	2012—2016	
71362	K. M. Beenamol	IND	ATH	1996—2004	
107765	Monika Bejnar	POL	ATH	2004—2008	
105026	Hortense Béwouda	CMR	ATH	2004	
131953	Olha Bibik	UKR	ATH	2016	
105032	Bo Fanfang	CHN	ATH	2004	
72689	Svetlana Bodritskaya	KAZ	ATH	1996—2004	
126021	Aauri Bokesa	ESP	ATH	2012—2016	
129210	Christine Botlogetswe	BOT	ATH	2016	
129398	Alicia Brown	CAN	ATH	2016	
105049	Makelesi Bulikiobo-Batimala	FIJ	ATH	2004—2008	
130217	Seren Bundy-Davies	GBR	ATH	2016	
120123	Afia Charles	ANT	ATH	2012	
130638	Maria Benedicta Chigbolu	ITA	ATH	2016	
129413	Kendra Clarke	CAN	ATH	2016	
121278	Olesea Cojuhari	MDA	ATH	2012	
105048	Geisa Coutinho	BRA	ATH	2004—2016	
124064	Shana Cox	GBR	ATH	2012	
114822	Joanne Cuddihy	IRL	ATH	2008—2012	
131093	Djénébou Danté	MLI	ATH	2016	
114827	Kia Davis	LBR	ATH	2008	
75671	Damayanthi Dharsha	SRI	ATH	1992—2004	
105028	Mariana Dimitrova	BUL	ATH	2004	
114838	Temalangeni Dlamini	SWZ	ATH	2008	
107782	Dimitra Dova	GRE	ATH	2004—2008	
114818	Ginou Etienne	HAI	ATH	2008	
114836	Joy Eze	NGR	ATH	2008	
105025	Fatou Bintou Fall	SEN	ATH	2004	
120103	Zamzam Mohamed Farah	SOM	ATH	2012	
68653	Donna Fraser	GBR	ATH	1996—2004	
131230	Patience Okon George	NGR	ATH	2016	
127124	Regina George	NGR	ATH	2012	
83449	Norma González	COL	ATH	2000—2012	
114810	Libania Grenot	ITA	ATH	2008—2016	
125936	Floria Gueï	FRA	ATH	2012—2016	
114820	Yuliya Gushchina	RUS	ATH	2008—2012	
131474	Dalal Al-Harith	QAT	ATH	2016	
105050	Salamtou Hassane	NIG	ATH	2004	
121230	Tjipekapora Herunga	NAM	ATH	2012	
122184	Moa Hjelmer	SWE	ATH	2012	
131375	Małgorzata Hołub	POL	ATH	2016	
105027	Ruwida El-Hubti	LBA	ATH	2004	
114829	Nawal El-Jack	SUD	ATH	2008	
129211	Lydia Jele	BOT	ATH	2016	
114837	Alissa Kallinikou	CYP	ATH	2008	
114815	Anastasiya Kapachinskaya	RUS	ATH	2008—2012	
114813	Mandeep Kaur	IND	ATH	2008	
65407	Anna Kozak	BLR	ATH	1996—2008	
120568	Antonina Krivoshapka	RUS	ATH	2012	
131001	Mariam Kromah	LBR	ATH	2016	
130984	Vijona Kryeziu	KOS	ATH	2016	
130855	Anastasiya Kudinova	KAZ	ATH	2016	
130993	Gunta Latiševa-Čudare	LAT	ATH	2016	
83267	Tamsyn Lewis	AUS	ATH	2000—2008	
123434	Jailma Lima	BRA	ATH	2008—2016	
88181	Oksana Luneva	KGZ	ATH	2000—2004	
120755	Maziah Mahusin	BRU	ATH	2010—2012	
131238	Mariama Mamoudou Ittatou	NIG	ATH	2014—2016	
122697	Jenna Martin	CAN	ATH	2012	
124632	Graciela Martins	GBS	ATH	2012	
126507	Marina Maslyonko	KAZ	ATH	2012	
105023	Lee McConnell	GBR	ATH	2004—2012	
114821	Gabriela Medina	MEX	ATH	2008	
130858	Elina Mikhina	KAZ	ATH	2010—2016	
128956	Morgan Mitchell	AUS	ATH	2016	
105034	Amantle Montsho	BOT	ATH	2004—2012	
114811	Carline Muir	CAN	ATH	2008—2016	
132240	Kabange Mupopo	ZAM	ATH	2016	
131692	Maryan Muse	SOM	ATH	2014—2016	
105031	Kirsi Mykkänen	FIN	ATH	2004	
114835	Rachael Nachula	ZAM	ATH	2008	
66320	Kaltouma Nadjina	CHA	ATH	1996—2004	
125824	Phumlile Ndzinisa	SWZ	ATH	2012—2016	
83446	Mireille Nguimgo	CMR	ATH	2000—2004	
132228	Nguyễn Thị Huyền	VIE	ATH	2016	
114809	AJ Odumosu	NGR	ATH	2008—2012	
131939	Yuliya Olishevska	UKR	ATH	2016	
122245	Omolara Omotosho	NGR	ATH	2012—2016	
123215	Yenifer Padilla	COL	ATH	2012	
131535	Justine Palframan	RSA	ATH	2016	
