ID	Name	Nation(s)	Sport(s)	Era	
87109	Patrina Allen	JAM	ATH	2000—2004	
115282	Phara Anacharsis	FRA	ATH	2008—2016	
131366	Emilia Ankiewicz	POL	ATH	2016	
122099	Nataliya Asanova	UZB	ATH	2012—2016	
114930	Tatyana Azarova	KAZ	ATH	2008—2012	
105015	Yekaterina Bakhvalova	RUS	ATH	2004	
126403	Vera Barbosa	POR	ATH	2012—2016	
130313	Jackie Baumann	GER	ATH	2016	
129173	Yekaterina Belanovich	BLR	ATH	2016	
129129	Tia-Adana Belle	BAR	ATH	2016	
125961	Janeil Bellille	TTO	ATH	2012—2016	
105006	Yekaterina Bikert	RUS	ATH	2004—2008	
83309	Andrea Blackett	BAR	ATH	2000—2004	
123712	Lauren Boden-Wells	AUS	ATH	2012—2016	
126669	T'erea Brown	USA	ATH	2012	
124323	Marzia Caravelli	ITA	ATH	2012—2016	
114924	Michelle Carey	IRL	ATH	2008—2012	
105008	Benedetta Ceccarelli	ITA	ATH	2004	
129404	Chanice Chase-Taylor	CAN	ATH	2016	
120689	Yelena Churakova	RUS	ATH	2012	
131454	Grace Claxton	PUR	ATH	2016	
129132	Axelle Dauwens	BEL	ATH	2016	
120561	Irina Davydova	RUS	ATH	2012	
88937	Mame Tacko Diouf	SEN	ATH	2000—2004	
105017	Salhate Djamalidine	COM	ATH	2004	
105009	Surita Febbraio	RSA	ATH	2004	
130634	Ayomide Folorunso	ITA	ATH	2016	
131727	Petra Fontanive	SUI	ATH	2016	
114933	Laia Forcadell	ESP	ATH	2008	
82646	Khrysoula Goudenoudi	GRE	ATH	2000—2004	
114928	Queen Harrison	USA	ATH	2008	
105016	Yvonne Harrison	PUR	ATH	2004	
128932	Lilit Harutyunyan	ARM	ATH	2016	
129825	Zurian Hechavarría	CUB	ATH	2016	
114923	Nikolina Horvat	CRO	ATH	2008—2012	
105020	Huang Xiaoxiao	CHN	ATH	2004—2012	
131089	Drita Islami	MKD	ATH	2016	
131240	Amalie Iuel	NOR	ATH	2016	
114931	Muna Jabir Adam	SUD	ATH	2008	
121043	Lucy Jaramillo	ECU	ATH	2012	
107772	Carole Kaboud Mebam	CMR	ATH	2004—2008	
125450	Nagihan Karadere	TUR	ATH	2012	
125406	Noraseela Mohd Khalid	MAS	ATH	2012	
114927	Tsvetelina Kirilova	BUL	ATH	2008	
114919	Satomi Kubokura	JPN	ATH	2008—2016	
122884	Hayat Lambarki	MAR	ATH	2012—2016	
123434	Jailma Lima	BRA	ATH	2008—2016	
131370	Joanna Linkiewicz	POL	ATH	2016	
114932	Josanne Lucas	TTO	ATH	2008	
123534	Maureen Jelagat Maiyo	KEN	ATH	2012—2016	
120298	Raasin McIntosh	LBR	ATH	2012	
131874	Sparkle McKnight	TTO	ATH	2016	
132050	Sydney McLaughlin	USA	ATH	2016	
122844	Christine Sonali Merrill	SRI	ATH	2012	
127108	Georganne Moline	USA	ATH	2012	
129422	Noelle Montcalm	CAN	ATH	2016	
107768	Angela Moroșanu	ROU	ATH	2004—2012	
120151	Ghfran Mouhamad	SYR	ATH	2012—2016	
131537	Wenda Nel	RSA	ATH	2016	
132228	Nguyễn Thị Huyền	VIE	ATH	2016	
87103	Monika Niederstätter	ITA	ATH	2000—2004	
88478	Yuliya Nosova-Pechonkina	RUS	ATH	2000—2004	
130725	Leah Nugent	JAM	ATH	2016	
114918	Irina Obedina	RUS	ATH	2008	
114809	AJ Odumosu	NGR	ATH	2008—2012	
131222	Amaka Ogoegbunam	NGR	ATH	2016	
88371	Anna Olichwierczuk-Jesień	POL	ATH	2000—2012	
105004	Cora Olivero	ESP	ATH	2004	
123197	Princesa Oliveros	COL	ATH	2012	
114920	Anastasiya Ott	RUS	ATH	2008	
72230	Debbie-Ann Parris	JAM	ATH	1996—2004	
105022	Galina Pedan	KGZ	ATH	2004—2008	
130643	Yadisleidy Pedroso	ITA	ATH	2016	
83478	Daimí Pernía	CUB	ATH	2000—2004	
83273	Jana Pittman	AUS	ATH/BOB	2000—2014	
105018	Małgorzata Pskit	POL	ATH	2004	
114926	Anastasiya Rabcheniuk	UKR	ATH	2008	
122419	Déborah Rodríguez	URU	ATH	2012—2016	
130854	Aleksandra Romanova	KAZ	ATH	2016	
114917	Tiffany Ross-Williams	USA	ATH	2008	
136558	Janieve Russell	JAM	ATH	2010—2016	
106538	Denisa Ščerbová-Rosolová	CZE	ATH	2004—2016	
123481	Sharolyn Scott	CRC	ATH	2012—2016	
124086	Perri Shakes-Drayton	GBR	ATH	2012	
83210	Klodiana Shala	ALB	ATH	2000—2008	
105021	Andri Sialou	CYP	ATH	2004	
105005	Aïssata Soulama	BUR	ATH	2004—2008	
120736	Kaliese Spencer	JAM	ATH	2012	
126379	Léa Sprunger	SUI	ATH	2012—2016	
120252	Eglė Staišiūnaitė	LTU	ATH	2012	
121601	Vanya Stambolova	BUL	ATH	2012	
105012	Shevon Stoddart	JAM	ATH	2004—2008	
105010	Brenda Taylor	USA	ATH	2004	
107792	Lucimar Teodoro	BRA	ATH	2004—2008	
124303	Hanna Titimets	UKR	ATH	2012—2016	
131960	Viktoriya Tkachuk	UKR	ATH	2016	
72696	Nataliya Torshina-Alimzhanova	KAZ	ATH	1996—2004	
130728	Ristananna Tracey	JAM	ATH	2016	
82631	Ulrike Urbansky	GER	ATH	2000—2004	
129423	Sage Watson	CAN	ATH	2016	
122706	Sarah Wells	CAN	ATH	2012	
114921	Nickiesha Wilson	JAM	ATH	2008—2016	
105007	Ieva Zunda	LAT	ATH	2004—2008
