ID	Name	Nation(s)	Sport(s)	Era	
65486	Elisângela Adriano	BRA	ATH	1996—2008	
130447	Khrysoula Anagnostopoulou	GRE	ATH	2016	
104937	Seema Antil	IND	ATH	2004—2016	
77098	Olena Antonova	UKR	ATH	1996—2008	
131047	Natalia Artic-Stratulat	MDA	ATH	2016	
129943	Sabina Asenjo	ESP	ATH	2016	
132054	Whitney Ashley	USA	ATH	2016	
130737	Tarasue Barnett	JAM	ATH	2016	
114418	Yarelis Barrios	CUB	ATH	2008—2012	
104932	Vera Begić	CRO	ATH	2004—2008	
104930	Stephanie Brown-Trafton	USA	ATH	2004—2012	
75353	Olga Burova-Chernyavskaya	RUS EUN	ATH	1992—2004	
123273	Denia Caballero	CUB	ATH	2012—2016	
132036	Kelsey Card	USA	ATH	2016	
129560	Chen Yang	CHN	ATH	2016	
114429	Bárbara Comba	ARG	ATH	2008—2016	
130332	Shanice Craft	GER	ATH	2010—2016	
69967	Franka Dietzsch	GER	ATH	1992—2004	
74263	Beatrice Faumuina	NZL	ATH	1996—2008	
129544	Feng Bin	CHN	ATH	2016	
104935	Yania Ferrales	CUB	ATH	2004—2008	
125734	Julia Fischer	GER	ATH	2012—2016	
104931	Nataliya Fokina-Semenova	UKR	ATH	2004—2016	
121354	Karen Gallardo	CHI	ATH	2012—2016	
120542	Vera Ganeyeva	RUS	ATH	2012	
114427	Venera Getova	BUL	ATH	2008	
114430	Żaneta Glanc	POL	ATH	2008—2016	
75113	Nicoleta Grădinaru-Grasu	ROU	ATH	1992—2012	
77861	Aretha Hill-Thurmond	USA	ATH	1996—2012	
104933	Huang Qun	CHN	ATH	2004	
131822	Subenrat Insaeng	THA	ATH	2010—2016	
125622	Monique Jansen	NED	ATH	2012	
114428	Dora Kalpakidou	GRE	ATH	2008	
114420	Kateryna Karsak	UKR	ATH	2008—2012	
104928	Harwant Kaur	IND	ATH	2004—2008	
70685	Anastasia Kelesidou	GRE	ATH	1996—2004	
65651	Tsvetanka Khristova	BUL	ATH	1988—2004	
130724	Kellion Knibb	JAM	ATH	2016	
101675	Éva Kürti	HUN	ATH/BOB	2002—2004	
130206	Jade Lally	GBR	ATH	2016	
130730	Shadae Lawrence	JAM	ATH	2016	
126087	Gia Lewis-Smallwood	USA	ATH	2012	
123860	Li Wen-Hua	TPE	ATH	2012	
104936	Li Yanfeng	CHN	ATH	2004—2012	
114421	Ma Xuejun	CHN	ATH	2008—2012	
74898	Teresa Machado	POR	ATH	1992—2004	
76560	Vladimíra Malátová-Racková	CZE TCH	ATH	1992—2004	
129225	Fernanda Martins	BRA	ATH	2016	
66860	Alice Matějková	CZE ESP	ATH	1996—2004	
124154	Andressa Morais	BRA	ATH	2012—2016	
114425	Anna Mozgunova	BLR	ATH	2008	
125802	Nadine Müller	GER	ATH	2012—2016	
104939	Elizna Naudé	RSA	ATH	2004—2008	
104942	Shelley Newman	GBR	ATH	2004	
131223	Chinwe Okoro	NGR	ATH	2016	
124380	Yaimé Pérez	CUB	ATH	2012—2016	
121287	Sandra Perković	CRO	ATH	2012—2016	
120543	Darya Pishchalnikova	RUS	ATH	2012	
114424	Krishna Poonia	IND	ATH	2008—2012	
104926	Věra Pospíšilová-Cechlová	CZE	ATH	2004—2012	
104938	Wioletta Potępa	POL	ATH	2004—2008	
130089	Pauline Pousse	FRA	ATH	2016	
77940	Suzy Powell-Roos	USA	ATH	1996—2008	
127136	Allison Randall	JAM	ATH	2012	
86895	Mélina Robert-Michon	FRA	ATH	2000—2016	
125980	Irina Rodrigues	POR	ATH	2012	
104929	Philippa Roles	GBR	ATH	2004—2008	
125809	Anna Rüh	GER	ATH	2012	
67329	Eha Rünne	EST	ATH	1996—2004	
104941	Dace Ruskule	LAT	ATH	2004	
75384	Nataliya Sadova	RUS	ATH	1996—2008	
114419	Dani Samuels	AUS	ATH	2008—2016	
114423	Svetlana Saykina	RUS	ATH	2008—2012	
114426	Zinaida Sendriūtė	LTU	ATH	2008—2016	
121263	Svetlana Serova	BLR	ATH	2012	
87041	Neelam Jaswant Singh Dogra	IND	ATH	2000—2004	
89005	Anna Söderberg	SWE	ATH	2000—2008	
104940	Song Aimin	CHN	ATH	2004—2008	
129558	Su Xinyue	CHN	ATH	2016	
89168	Seilala Sua	USA	ATH	2000—2004	
122530	Tan Jian	CHN	ATH	2012	
104934	Tereapii Tapoki	COK	ATH	2004—2008	
130862	Mariya Telushkina	KAZ	ATH	2016	
104944	Dragana Tomašević	SRB SCG	ATH	2004—2016	
70694	Stella Tsikouna	GRE	ATH	1996—2004	
132049	Shelbi Vaughan	USA	ATH	2016	
70698	Aikaterini Vongoli	GRE	ATH	1996—2004	
104927	Joanna Wiśniewska	POL	ATH	2004—2008	
65404	Irina Yatchenko	BLR EUN	ATH	1992—2008	
88931	Oksana Yesipchuk	RUS	ATH	2000—2008	
65418	Ellina Zvereva	BLR URS	ATH	1988—2008	
