ID	Name	Nation(s)	Sport(s)	Era	
87083	Ester Balassini	ITA	ATH	2000—2004	
132031	Gwen Berry	USA	ATH	2016	
121120	Mariya Bespalova	RUS	ATH	2012	
127085	Amanda Bingson	USA	ATH	2012	
83455	Ivana Brkljačić	CRO	ATH	2000—2008	
115103	Anna Bulgakova	RUS	ATH	2008	
105327	Andrea Bunjes	GER	ATH	2004	
115117	Amber Campbell	USA	ATH	2008—2016	
105331	Berta Castells	ESP	ATH	2004—2012	
105334	Clarissa Claretti	ITA	ATH	2004—2008	
115113	Jessica Cosby	USA	ATH	2008—2012	
105344	Yunaika Crawford	CUB	ATH	2004—2008	
105341	Jenny Dahlgren	ARG	ATH	2004—2016	
115108	Zoe Derham	GBR	ATH	2008	
86998	Katalin Divós	HUN	ATH	2000—2004	
105335	Bronwyn Eagles	AUS	ATH	2004	
115100	Stéphanie Falzon	FRA	ATH	2008—2012	
121980	Joanna Fiodorow	POL	ATH	2012—2016	
129822	Yirisleydi Ford	CUB	ATH	2016	
115107	Sultana Frizell	CAN	ATH	2008—2012	
105342	Sanja Gavrilović	CRO	ATH	2004—2008	
105330	Erin Gilreath	USA	ATH	2004	
105326	Gu Yuan	CHN	ATH	2004	
105354	Violeta Guzmán	MEX	ATH	2004	
105346	Betty Heidler	GER	ATH	2004—2016	
124074	Sophie Hitchon	GBR	ATH	2012—2016	
115097	Martina Hrašnová-Danišová	SVK	ATH	2008—2016	
105356	Marwa Hussein	EGY	ATH	2004	
105357	Jackie Jeschelnig	USA	ATH	2004	
125483	Kıvılcım Kaya	TUR	ATH	2012—2016	
105351	Susanne Keil	GER	ATH	2004	
121308	Gulfiya Khanafeyeva	RUS	ATH	2012	
115119	Kathrin Klaas	GER	ATH	2008—2016	
131938	Iryna Klymets	UKR	ATH	2016	
105328	Yelena Konevtseva	RUS	ATH	2004—2008	
131376	Malwina Kopron	POL	ATH	2016	
115105	Merja Korpela	FIN	ATH	2008	
105336	Brooke Krueger	AUS	ATH	2004	
88468	Olga Kuzenkova	RUS	ATH	2000—2004	
105359	Marina Lapina	AZE	ATH	2004	
115120	Lenka Ledvinová	CZE	ATH	2008	
130720	Daina Levy	JAM	ATH	2016	
129556	Liu Tingting	CHN	ATH	2016	
105349	Liu Yinghui	CHN	ATH	2004	
105350	Tatyana Lysenko	RUS	ATH	2004—2012	
105353	Anna Mahon	USA	ATH	2004	
129170	Anna Malyshchik	BLR	ATH	2016	
115109	Zalina Marghiev	MDA	ATH	2008—2016	
115123	Marina Marghiev-Nicișenco	MDA	ATH	2008—2016	
121215	Yelena Matoshko	BLR	ATH	2012	
115115	Oksana Menkova	BLR	ATH	2008—2012	
64475	Lisa Misipeka	ASA	ATH	1996—2004	
115112	Galina Mityaeva	TJK	ATH	2008	
86887	Manuèla Montebrun	FRA	ATH	2000—2008	
115121	Eli Johana Moreno	COL	ATH	2008—2012	
83476	Yipsi Moreno	CUB	ATH	2000—2012	
105333	Yuka Murofushi	JPN	ATH	2004	
115102	Iryna Novozhylova	UKR	ATH	2008—2016	
115118	Eileen O'Keeffe	IRL	ATH	2008	
105352	Éva Orbán	HUN	ATH	2004—2012	
105358	Stella Papadopoulou	GRE	ATH	2004—2008	
105347	Alexandra Papageorgiou	GRE	ATH	2004—2008	
115099	Darya Pchelnik	BLR	ATH	2008	
115101	Bianca Perie	ROU	ATH	2008—2012	
115125	Amélie Perrin	FRA	ATH	2008	
86859	Sini Pöyry	FIN	ATH	2000—2004	
132026	DeAnna Price	USA	ATH	2016	
115114	Yelena Priyma	RUS	ATH	2008	
127038	Rosa Rodríguez	VEN	ATH	2012—2016	
125279	Kateřina Šafránková	CZE	ATH	2012—2016	
125481	Tuğçe Şahutoğlu	TUR	ATH	2012—2016	
115104	Inna Saienko	UKR	ATH	2008	
115111	Silvia Salis	ITA	ATH	2008—2012	
105348	Candice Scott	TTO	ATH	2004—2008	
89082	Iryna Sekachova	UKR	ATH	2000—2008	
124615	Amy Sène	SEN	ATH	2012—2016	
86938	Lorraine Shaw	GBR	ATH	2000—2004	
105337	Vânia Silva	POR	ATH	2004—2012	
127026	Anna Skidan	AZE UKR	ATH	2012—2016	
88379	Kamila Skolimowska	POL	ATH	2000—2008	
115110	Loree Smith	USA	ATH	2008	
105332	Mariya Smolyachkova	BLR	ATH	2004—2008	
129167	Yelena Soboleva	BLR	ATH	2010—2016	
83281	Debbie Sosimenko	AUS	ATH	2000—2004	
125771	Barbara Špiler	SLO	ATH	2012	
122703	Heather Steacy	CAN	ATH	2012—2016	
83342	Svetlana Sudak-Torun	BLR TUR	ATH	2000—2008	
130076	Alexandra Tavernier	FRA	ATH	2016	
105343	Eleni Teloni	CYP	ATH	2004	
115124	Paraskevi Theodorou	CYP	ATH	2008	
115116	Arasay Thondike	CUB	ATH	2008—2012	
115126	Georgina Tóth	CMR	ATH	2008	
105338	Evdokia Tsamoglou	GRE	ATH	2004	
83344	Olga Tsander	BLR	ATH	2000—2004	
105329	Júlia Tudja	HUN	ATH	2004	
105355	Aldenay Vasallo	CUB	ATH	2004	
124382	Ariannis Vichy	CUB	ATH	2012	
105340	Lucie Vrbenská	CZE	ATH	2004	
115106	Wang Zheng	CHN	ATH	2008—2016	
105339	Shirley Webb	GBR	ATH	2004	
