ID	Name	Nation(s)	Sport(s)	Era	
77743	Amy Acuff	USA	ATH	1996—2012	
107101	Marina Aitova	KAZ	ATH	2004—2012	
107099	Bobby Aloysius	IND	ATH	2004	
116944	Doreen Amata	NGR	ATH	2008—2016	
121161	Tonje Angelsen	NOR	ATH	2012—2016	
67032	Juana Rosario Arrendel	DOM	ATH	1996—2004	
125026	Burcu Ayhan	TUR	ATH	2012	
73413	Olga Bolşova	MDA EUN	ATH	1992—2004	
124812	Wanida Boonwan	THA	ATH	2012	
107102	Bùi Thị Nhung	VIE	ATH	2004	
131680	Maruša Černjul	SLO	ATH	2016	
107109	Nungruthai Chaipetch	THA	ATH	2004—2008	
132053	Vashti Cunningham	USA	ATH	2016	
116948	Sharon Day	USA	ATH	2008—2012	
116951	Antonietta Di Martino	ITA	ATH	2008	
116943	Romana Dubnová	CZE	ATH	2008	
124232	Dương Thị Việt Anh	VIE	ATH	2012	
116957	Nadiya Dusanova	UZB	ATH	2008—2016	
116955	Nicole Forrester	CAN	ATH	2008	
128871	Priscilla Frederick	ANT	ATH	2016	
116941	Ariane Friedrich	GER	ATH	2008—2012	
73414	Inna Gliznuţa	MDA	ATH	1996—2008	
120534	Irina Gordeyeva	RUS	ATH	2012	
73066	Valentīna Gotovska	LAT	ATH	1992—2004	
116953	Emma Green-Tregaro	SWE	ATH	2008—2012	
131937	Iryna Herashchenko	UKR	ATH	2016	
88417	Monica Iagăr-Dinescu	ROU	ATH	2000—2004	
116956	Anna Iljuštšenko	EST	ATH	2008—2012	
107107	Jing Xuezhu	CHN	ATH	2004	
129126	Akela Jones	BAR	ATH	2016	
130323	Marie-Laurence Jungfleisch	GER	ATH	2016	
120652	Ebba Jungmark	SWE	ATH	2012	
129837	Leontia Kallenou	CYP	ATH	2010—2016	
127033	Olena Kholosha	UKR	ATH	2012	
107097	Candeğer Kılınçer Oğuz	TUR	ATH	2004	
131765	Erika Kinsey	SWE	ATH	2016	
66859	Zuzana Kováčiková-Hlavoňová	CZE	ATH	1996—2004	
123308	Sahana Kumari	IND	ATH	2012	
126138	Lissa Labiche	SEY	ATH	2012—2016	
130216	Morgan Lake	GBR	ATH	2016	
130294	Valentina Liashenko	GEO	ATH	2016	
131371	Kamila Lićwinko	POL	ATH	2016	
125273	Oldřiška Marešová	CZE	ATH	2012	
124777	Lesyaní Mayor	CUB	ATH	2012	
132033	Inika McPherson	USA	ATH	2016	
86815	Marta Mendía	ESP	ATH	2000—2004	
107111	Niki Mitropoulou	GRE	ATH	2004	
107098	Corinne Müller	SUI	ATH	2004	
89075	Iryna Mykhalchenko	UKR	ATH	2000—2004	
107095	Tatyana Novoseltseva	RUS	ATH	2004	
131948	Oksana Okunieva	UKR	ATH	2016	
89077	Vita Palamar	UKR	ATH	2000—2008	
122400	Airinė Palšytė	LTU	ATH	2012—2016	
128946	Eleanor Patterson	AUS	ATH	2016	
121449	Esthera Petre	ROU	ATH	2012	
107103	Petrina Price	AUS	ATH	2004	
116945	Svetlana Radzivil	UZB	ATH	2008—2016	
107106	María Romary Rifka	MEX	ATH	2004—2008	
130637	Desiree Rossit	ITA	ATH	2016	
121840	Deirdre Ryan	IRL	ATH	2012	
130060	Linda Sandblom	FIN	ATH	2016	
131002	Jeannelle Scheper	LCA	ATH	2016	
116942	Svetlana Shkolina	RUS	ATH	2008—2012	
121275	Ana Šimić	CRO	ATH	2012—2016	
131770	Sofie Skoog	SWE	ATH	2016	
116954	Mélanie Skotnik-Melfort	FRA	ATH	2008—2012	
116958	Levern Spencer	LCA	ATH	2008—2016	
116949	Antonia Stergiou	GRE	ATH	2008—2012	
107108	Iva Straková	CZE	ATH	2004—2008	
130501	Barbara Szabó	HUN	ATH	2016	
129400	Alyxandria Treasure	CAN	ATH	2016	
65706	Venelina Veneva-Mateeva	BUL	ATH	1996—2012	
116947	Karina Vnukova	LTU	ATH	2008	
78000	Tisha Waller	USA	ATH	1996—2004	
83237	Solange Witteveen	ARG	ATH	2000—2004	
88184	Tatyana Yefimenko	KGZ	ATH	2000—2008	
116950	Yekaterina Yevseyeva	KAZ	ATH	2008	
116946	Zheng Xingjuan	CHN	ATH	2008—2012	
