ID	Name	Nation(s)	Sport(s)	Era	
106497	Moonika Aava	EST	ATH	2004—2008	
115130	Mariya Abakumova	RUS	ATH	2008—2012	
115152	Lindy Agricole	SEY	ATH	2008	
129824	Yulenmis Aguilar	CUB	ATH	2016	
106502	Patsy Akeli	SAM	ATH	2004—2008	
130088	Mathilde Andraud	FRA	ATH	2016	
131377	Maria Andrejczyk	POL	ATH	2016	
66633	Zuleima Araméndiz	COL	ATH	1996—2008	
115146	Zahra Bani	ITA	ATH	2008	
106490	Nora Aída Bicet	CUB ESP	ATH	2004—2012	
83467	Sonia Bisset	CUB	ATH	2000—2004	
127106	Brittany Borman	USA	ATH	2012—2016	
115135	Chang Chunfeng	CHN	ATH	2008	
106479	Mercedes Chilla	ESP	ATH	2004—2008	
87092	Claudia Coslovich	ITA	ATH	2000—2004	
115136	Sílvia Cruz	POR	ATH	2008	
115149	Yanet Cruz	CUB	ATH	2008—2012	
131940	Kateryna Derun	UKR	ATH	2010—2016	
127027	Marharyta Dorozhon	UKR	ATH	2012	
106500	Liliya Dusmetova	UZB	ATH	2004	
125830	Elisabeth Eberl	AUT	ATH	2012	
120922	Yuki Ebihara	JPN	ATH	2012—2016	
115153	Erma-Gene Evans	LCA	ATH	2008	
64990	Laverne Eve	BAH	ATH	1988—2008	
123427	Laila Ferrer	BRA	ATH	2012	
106488	Leryn Franco	PAR	ATH	2004—2012	
83370	Khristina Georgieva	BUL	ATH	2000—2004	
122693	Liz Gleadle	CAN	ATH	2012—2016	
115145	María González	VEN	ATH	2008	
106484	Ilze Gribule	LAT	ATH	2004	
124220	Kristine Harutyunyan	ARM	ATH	2012	
127028	Hanna Hatsko-Fedusova	UKR	ATH	2012—2016	
115158	Ásdís Hjálmsdóttir	ISL	ATH	2008—2016	
106483	Paula Huhtaniemi	FIN	ATH	2004	
130307	Christin Hussong	GER	ATH	2010—2016	
67487	Mikaela Ingberg	FIN	ATH	1996—2008	
88457	Yekaterina Ivakina	RUS	ATH	2000—2004	
115150	Olha Ivankova	UKR	ATH	2008	
122386	Indrė Jakubaitytė	LTU	ATH	2012	
106485	Jang Jeong-Yeon	KOR	ATH	2004	
115160	Tatjana Jelača	SRB	ATH	2008—2012	
121878	Vanda Juhász	HUN	ATH	2012	
115159	Rumyana Karapetrova	BUL	ATH	2008	
129176	Tatyana Kholodovich	BLR	ATH	2016	
115144	Kim Gyeong-Ae	KOR	ATH	2008	
106481	Jarmila Klimešová	CZE	ATH	2004—2012	
129803	Sara Kolak	CRO	ATH	2016	
129177	Tatyana Korzh	BLR	ATH	2016	
106501	Kim Kreiner	USA	ATH	2004—2008	
130016	Liina Laasma	EST	ATH	2016	
115143	Nadeeka Lakmali	SRI	ATH	2008	
122532	Li Lingwei	CHN	ATH	2012—2016	
89074	Tetiana Liakhovych	UKR	ATH	2000—2008	
106475	Savva Lika	GRE	ATH	2004—2012	
129554	Liu Shiying	CHN	ATH	2016	
126102	Lu Huihui	CHN	ATH	2012—2016	
106478	Ma Ning	CHN	ATH	2004	
106476	Barbara Madejczyk	POL	ATH	2004—2008	
106489	Romina Maggi	ARG	ATH	2004	
132040	Maggie Malone	USA	ATH	2016	
64275	Mirela Maniani-Tzelili	ALB GRE	ATH	1996—2004	
106496	Elisabetta Marin	ITA	ATH	2004	
87127	Olivia McKoy	JAM	ATH	2000—2008	
83475	Osleidys Menéndez	CUB	ATH	2000—2008	
123724	Kim Mickle	AUS	ATH	2012—2016	
123725	Kathryn Mitchell	AUS	ATH	2012—2016	
115147	Katharina Molitor	GER	ATH	2008—2012	
123695	Līna Mūze	LAT	ATH	2012	
70067	Steffi Nerius	GER	ATH	1996—2008	
115154	Marina Novik	BLR	ATH	2008—2012	
106477	Christina Obergföll	GER	ATH	2004—2016	
115132	Sinta Ozoliņa-Kovala	LAT	ATH	2008—2016	
123687	Madara Palameika	LAT	ATH	2012—2016	
115151	Buoban Pamang	THA	ATH	2008	
701851	Yusbelys Parra	VEN	ATH	2012	
115142	Kara Patterson-Winger	USA	ATH	2008—2016	
115133	Urszula Piwnicka	POL	ATH	2008	
73205	Rita Ramanauskaitė	LTU	ATH	1996—2004	
115140	Martinka Ratej	SLO	ATH	2008—2016	
115134	Vira Rebryk	UKR	ATH	2008—2012	
115137	Alessandra Resende	BRA	ATH	2008	
123272	Yainelis Ribeaux	CUB	ATH	2012	
115148	Justine Robbeson	RSA	ATH	2008	
