ID	Name	Nation(s)	Sport(s)	Era	
115178	Ruky Abdulai	CAN	ATH	2008	
86994	Zita Ajkler	HUN	ATH	2000—2004	
130446	Khaido Alexouli	GRE	ATH	2016	
106542	Adina Anton	ROU	ATH	2004	
65400	Anzhela Atroshchenko	BLR TUR EUN	ATH	1992—2004	
115179	Ksenija Balta	EST	ATH	2008—2016	
75593	Eunice Barber	FRA SLE	ATH	1992—2004	
131941	Maryna Bekh	UKR	ATH	2016	
118295	Liudmyla Blonska	UKR	ATH	2008	
106534	Anju Bobby George	IND	ATH	2004—2008	
88179	Yelena Bobrovskaya	KGZ	ATH	2000—2004	
131224	Ese Brume	NGR	ATH	2016	
88355	Lerma Bulauitan-Gabito	PHI	ATH	2000—2004	
106539	Tina Čarman	SLO	ATH	2004	
115162	Tabia Charles	CAN	ATH	2008	
106546	Keila Costa	BRA	ATH	2004—2016	
64989	Jackie Edwards	BAH	ATH	1992—2008	
106545	Yudelkis Fernández	CUB	ATH	2004	
115172	Tricia Flores	BIZ	ATH	2008	
122016	Maik'o Gogoladze	GEO	ATH	2012	
72212	Lacena Golding-Clarke	JAM	ATH	1996—2004	
88975	Naide Gomes	POR STP	ATH	2000—2008	
73066	Valentīna Gotovska	LAT	ATH	1992—2004	
123688	Lauma Grīva	LAT	ATH	2012	
83417	Guan Yingnan	CHN	ATH	2000—2004	
115164	Chelsea Hammond	JAM	ATH	2008	
106547	Maho Hanaoka	JPN	ATH	2004	
127100	Chelsea Hayes	USA	ATH	2012	
115177	Kumiko Ikeda	JPN	ATH	2008	
129939	Juliet Itoya	ESP	ATH	2016	
128945	Chelsea Jaensch	AUS	ATH	2016	
115180	Jeong Sun-Ok	KOR	ATH	2008	
115163	Funmi Jimoh	USA	ATH	2008	
106532	Jade Johnson	GBR	ATH	2004—2008	
89142	Marion Jones	USA	ATH	2000—2004	
129941	María del Mar Jover	ESP	ATH	2016	
106536	Ioanna Kafetzi	GRE	ATH	2004	
130743	Konomi Kai	JPN	ATH	2016	
106533	Bianca Kappler	GER	ATH	2004	
115184	Arantxa King	BER	ATH	2008—2012	
131561	Darya Klishina	RUS	ATH	2016	
67492	Heli Koivula-Kruger	FIN	ATH	1996—2004	
115168	Nina Kolarič	SLO	ATH	2008	
120828	Lyudmila Kolchanova	RUS	ATH	2012	
131932	Anna Kornuta	UKR	ATH	2016	
72691	Yelena Koshcheyeva	KAZ	ATH	1996—2004	
125945	Éloyse Lesueur	FRA	ATH	2012	
106548	Liang Shuyan	CHN	ATH	2004	
130528	Maria Natalia Londa	INA	ATH	2016	
131933	Anna Lunova	UKR	ATH	2016	
129222	Eliane Martins	BRA	ATH	2016	
115167	Karin Melis	TUR	ATH	2008—2016	
130322	Malaika Mihambo	GER	ATH	2016	
106540	Alina Militaru	ROU	ATH	2004	
121203	Anastasiya Mironchik-Ivanova	BLR	ATH	2012	
125816	Sosthene Moguenara	GER	ATH	2012—2016	
66739	Niurka Montalvo	CUB ESP	ATH	1996—2004	
86818	Concepción Montaner	ESP	ATH	2000—2016	
115170	Pamela Mouele-Mboussi	CGO	ATH	2008	
88938	Kène N'Doye	SEN	ATH	2000—2004	
120538	Anna Nazarova	RUS	ATH	2012	
129405	Christabel Nettey	CAN	ATH	2016	
106549	Svetlana Pessova	TKM	ATH	2004	
106544	Stella Pilatou	GRE	ATH	2004	
131536	Lynique Prinsloo	RSA	ATH	2016	
124085	Shara Proctor	GBR	ATH	2012—2016	
126375	Irène Pusterla	SUI	ATH	2012	
105078	Ineta Radēviča	LAT	ATH	2004—2012	
106543	Rose Richmond	USA	ATH	2004	
115166	Vita Rybalko	UKR	ATH	2008—2012	
55134	Luciana dos Santos	BRA	ATH	2000—2004	
106538	Denisa Ščerbová-Rosolová	CZE	ATH	2004—2016	
115169	Olga Sergeyenko-Sudareva	BLR	ATH	2008—2016	
122044	Ola Sesay	SLE	ATH	2012	
128929	Amaliya Sharoyan	ARM	ATH	2016	
121232	Veronika Shutkova	BLR	ATH	2012	
115182	Oleksandra Stadniuk	UKR	ATH	2008	
115176	Irina Stasyuk-Chernushenko	BLR	ATH	2008	
128943	Brooke Stratton	AUS	ATH	2016	
125369	Bianca Stuart	BAH	ATH	2012—2016	
115165	Patricia Sylvester	GRN	ATH	2008	
114373	Yuliya Tarasova	UZB	ATH	2008—2016	
83283	Bronwyn Thompson	AUS	ATH	2000—2008	
88423	Viorica Țigău	ROU	ATH	2000—2012	
115183	Marestella Torres	PHI	ATH	2008—2016	
131055	Yvonne Treviño	MEX	ATH	2016	
127109	Marharyta Tverdokhlib	UKR	ATH	2012	
115161	Oksana Udmurtova	RUS	ATH	2008	
130214	Lorraine Ugen	GBR	ATH	2016	
106535	Grace Upshaw	USA	ATH	2004—2008	
71330	Tünde Vaszi	HUN	ATH	1996—2004	
115173	Jana Velďáková	SVK	ATH	2008—2016	
106541	Wang Lina	CHN	ATH	2004	
115171	Rhonda Watkins	TTO	ATH	2008	
130300	Alex Wester	GER	ATH	2016	
70699	Niki Xanthou	GRE	ATH	1996—2004	
106537	Antoniya Yordanova	BUL	ATH	2004	
105088	Anastasiya Zhuravlyova	UZB	ATH	2004—2012	
