ID	Name	Nation(s)	Sport(s)	Era	
105433	Georgia Abatzidou	GRE	ATH	2004	
86794	María Abel	ESP	ATH	2000—2004	
123195	Érika Abril	COL	ATH	2012—2016	
67364	Berhane Adere	ETH	ATH	1996—2008	
131925	Nyakisi Adero	UGA	ATH	2016	
114871	Alessandra Aguilar	ESP	ATH	2008—2016	
104984	Souad Aït Salem	ALG	ATH	2004—2016	
131356	Mayada Al-Sayad	PLE	ATH	2016	
86836	Elfenesh Alemu	ETH	ATH	2000—2004	
86847	Aguida Fatima Amaral	IOA TLS	ATH	2000—2004	
130924	An Seul-Ki	KOR	ATH	2016	
120650	Isabellah Andersson	SWE	ATH	2012	
129754	Kellys Arias	COL	ATH	2016	
125979	Wilma Arizapana	PER	ATH	2012	
114875	Yuliya Arkhipova-Andreyeva	KGZ	ATH	2008—2016	
131112	Alina Armas	NAM	ATH	2016	
120251	Sarah Attar	KSA	ATH	2012—2016	
114447	Jéssica Augusto	POR	ATH	2008—2016	
105426	Nili Avramski	ISR	ATH	2004	
131890	Esma Aydemir	TUR	ATH	2016	
83212	Nasria Baghdad-Azaïdj	ALG	ATH	2000—2004	
105404	Živilė Balčiünaité	LTU	ATH	2004—2008	
114857	Marisa Barros	POR	ATH	2008—2012	
129858	Anne Baumeister	DEN	ATH	2016	
131077	Bayartsogtyn Mönkhzayaa	MGL	ATH	2016	
124381	Dailín Belmonte	CUB	ATH	2012—2016	
121746	Amira Ben Amor	TUN	ATH	2012	
125118	Katarína Berešová	SVK	ATH	2012—2016	
130635	Catherine Bertone	ITA	ATH	2016	
72862	Irina Bogacheva	KGZ	ATH	1996—2004	
88440	Galina Bogomolova	RUS	ATH	2000—2008	
131021	Kawtar Boulaid	MAR	ATH	2016	
114436	Fionnuala Britton-McCormack	IRL	ATH	2008—2016	
127024	Olena Burkovska	UKR	ATH	2012	
121799	Linda Byrne	IRL	ATH	2012	
123219	Yolanda Caballero	COL	ATH	2012	
114876	Sonia Calizaya	BOL	ATH	2008	
129893	María Elena Calle	ECU	ATH	2016	
