ID	Name	Nation(s)	Sport(s)	Era	
120921	Tomomi Abiko	JPN	ATH	2012	
105051	Naroa Agirre	ESP	ATH	2004—2008	
129412	Kelsie Ahbe	CAN	ATH	2016	
105063	Kateřina Baďurová	CZE	ATH	2004—2008	
89056	Anzhela Balakhonova	UKR	ATH	2000—2004	
114807	Erica Bartolina	USA	ATH	2008	
114795	Leila Ben Youssef	TUN	ATH	2008	
124059	Holly Bleasdale-Bradshaw	GBR	ATH	2012—2016	
122688	Mélanie Blouin	CAN	ATH	2012	
105066	Vanessa Boslak	FRA	ATH	2004—2016	
114801	Alana Boyd	AUS	ATH	2008—2016	
114804	Nicole Büchler	SUI	ATH	2008—2016	
114791	Marion Buisson	FRA	ATH	2008	
124774	Dailis Caballero	CUB	ATH	2012	
105064	Dana Cervantes	ESP	ATH	2004	
124453	Choi Yun-Hui	KOR	ATH	2012	
129229	Joana Costa	BRA	ATH	2016	
114800	Kate Dennison	GBR	ATH	2008—2012	
87070	Þórey Edda Elísdóttir	ISL	ATH	2000—2008	
105065	Dana Ellis	CAN	ATH	2004	
105072	Anna Foitidou	CYP	ATH	2004—2008	
83416	Gao Shuying	CHN	ATH	2000—2008	
83235	Alejandra García	ARG	ATH	2000—2008	
114799	Yuliya Golubchikova	RUS	ATH	2008	
86771	Pavla Hamáčková	CZE	ATH	2000—2004	
105059	Melina Hamilton	NZL	ATH	2004	
114803	Kelsie Hendry	CAN	ATH	2008	
105070	Carolin Hingst	GER	ATH	2004—2008	
127087	Becky Holliday	USA	ATH	2012	
122027	Caroline Bonde Holm	DEN	ATH	2012	
105068	Kym Howe	AUS	ATH	2004	
105053	Anastasiya Ivanova-Shvedova	BLR RUS	ATH	2004—2012	
126542	Lacy Janson	USA	ATH	2012	
83372	Tanya Koleva-Stefanova	BUL	ATH	2000—2004	
105073	Takayo Kondo	JPN	ATH	2004	
105058	Floé Kühnert	GER	ATH	2004	
114793	Nataliya Kushch-Mazuryk	UKR	ATH	2008—2012	
131942	Maryna Kylypko	UKR	ATH	2016	
114806	Nikoleta Kyriakopoulou	GRE	ATH	2008—2016	
124673	Stella-Iro Ledaki	GRE	ATH	2012	
114794	Li Ling	CHN	ATH	2008—2016	
125946	Marion Lotout	FRA	ATH	2012	
129845	Romana Maláčová	CZE	ATH	2016	
130641	Sonia Malavisi	ITA	ATH	2016	
105052	Stephanie McCann	CAN	ATH	2004	
131768	Michaela Meijer	SWE	ATH	2016	
105060	Teja Melink	SLO	ATH	2004	
28647	Krisztina Molnár	HUN	ATH/GYM	1992—2008	
114798	Fabiana Murer	BRA	ATH	2008—2016	
130062	Wilma Murto	FIN	ATH	2016	
129402	Anicka Newell	CAN	ATH	2016	
129399	Alysha Newman	CAN	ATH	2016	
120599	Minna Nikkanen	FIN	ATH	2012—2016	
131425	Marta Onofre	POR	ATH	2016	
121320	Tori Pena	IRL	ATH	2012—2016	
114790	Joanna Piwowarska	POL	ATH	2008	
131453	Diamara Planell	PUR	ATH	2016	
131119	Femke Pluim	NED	ATH	2016	
86893	Marie Poissonnier	FRA	ATH	2000—2004	
125278	Jiřina Ptáčníková	CZE	ATH	2012—2016	
88375	Monika Pyrek	POL	ATH	2000—2012	
114788	Nastja Reiberger	GER	ATH	2008	
129551	Ren Mengqian	CHN	ATH	2016	
105071	Nadine Rohr	SUI	ATH	2004	
130303	Annika Roloff	GER	ATH	2016	
126390	Lisa Ryzih	GER	ATH	2012—2016	
114802	Roslinda Samsu	MAS	ATH	2008	
121839	Anastasiya Savchenko	RUS	ATH	2012	
105069	Jillian Schwartz	ISR USA	ATH	2004—2012	
105074	Afroditi Skafida	GRE	ATH	2004—2008	
105067	Silke Spiegelburg	GER	ATH	2004—2012	
114787	April Steiner-Bennett	USA	ATH	2008	
125815	Martina Strutz	GER	ATH	2012—2016	
125773	Tina Šutej	SLO	ATH	2012—2016	
89169	Kellie Suttle	USA	ATH	2000—2004	
125972	Maria Leonor Tavares	POR	ATH	2012—2016	
114789	Sandra Tavares	POR	ATH	2008	
105061	Carolina Torres	CHI	ATH	2004	
105055	Georgia Tsilingkiri	GRE	ATH	2004	
114796	Vanessa Vandy	FIN	ATH	2008	
132013	Lexi Weeks	USA	ATH	2016	
129172	Irina Yakoltsevich	BLR	ATH	2010—2016	
105056	Zhao Yingying	CHN	ATH	2004	
114805	Zhou Yang	CHN	ATH	2008	
