ID	Name	Nation(s)	Sport(s)	Era	
129166	Yelena Abramchuk	BLR	ATH	2016	
103844	Valerie Adams-Vili	NZL	ATH	2004—2016	
65486	Elisângela Adriano	BRA	ATH	1996—2008	
124016	Geisa Arcanjo	BRA	ATH	2012—2016	
120541	Anna Avdeyeva	RUS	ATH	2012	
103843	Kim Barrett	JAM	ATH	2004	
103835	Nadine Beckel	GER	ATH	2004	
129548	Bian Ka	CHN	ATH	2016	
131126	Melissa Boekelman	NED	ATH	2016	
103830	Cleopatra Borel-Brown	TTO	ATH	2004—2016	
127107	Tia Brooks	USA	ATH	2012	
114775	Jill Camarena-Williams	USA	ATH	2008—2012	
114783	Michelle Carter	USA	ATH	2008—2016	
88332	Vivian Chukwuemeka	NGR	ATH	2000—2008	
129403	Brittany Crew	CAN	ATH	2016	
66722	Yumileidi Cumbá	CUB	ATH	1996—2008	
74593	Krystyna Danilczyk-Zabawska	POL	ATH	1992—2008	
131889	Emel Dereli	TUR	ATH	2016	
129728	Auriol Dongmo Mekemnang	CMR	ATH	2016	
129168	Alyona Dubitskaya	BLR	ATH	2016	
114780	Natalia Ducó	CHI	ATH	2008—2016	
132212	Ahymará Espinoza	VEN	ATH	2016	
126508	Aleksandra Fisher	KAZ	ATH	2012	
130331	Sara Gambetta	GER	ATH	2016	
129561	Gao Yang	CHN	ATH	2016	
103851	Laura Gerraughty	USA	ATH	2004	
114781	Gong Lijiao	CHN	ATH	2008—2016	
103850	Misleydis González	CUB	ATH	2004—2012	
131379	Paulina Guba	POL	ATH	2016	
103829	Kristin Heaston	USA	ATH	2004—2008	
114779	Anca Heltne	ROU	ATH	2008	
114778	Denise Hinrichs	GER	ATH	2008	
131952	Olha Holodna	UKR	ATH	2016	
130291	Jessica Inchude	GBS	ATH	2016	
114777	Olga Ivanova	RUS	ATH	2008	
132030	Felisha Johnson	USA	ATH	2016	
103848	Filiz Kadoğan	TUR	ATH	2004	
136659	Manpreet Kaur	IND	ATH	2016	
103846	Marie Kevkhishvili	GEO	ATH	2004—2008	
103853	Nataliya Khoronenko-Mikhnevich	BLR	ATH	2004—2012	
75366	Irina Khudoroshkina	RUS	ATH	1996—2008	
82613	Nadine Kleinert-Schmitt	GER	ATH	2000—2012	
120711	Yevgeniya Kolodko	RUS	ATH	2012	
75363	Irina Korzhanenko	RUS	ATH	1996—2004	
103833	Juttaporn Krasaeyan	THA	ATH	2004	
75365	Svetlana Krivelyova	RUS EUN	ATH	1992—2004	
70041	Astrid Kumbernuss	GER	ATH	1996—2004	
101675	Éva Kürti	HUN	ATH/BOB	2002—2004	
122695	Julie Labonté	CAN	ATH	2012	
103847	Lee Mi-Yeong	KOR	ATH	2004—2008	
114784	Assunta Legnante	ITA	ATH	2008	
126812	Sandra Lemos	COL	ATH	2012—2016	
129180	Yuliya Leontyuk	BLR	ATH	2016	
103845	Li Fengfeng	CHN	ATH	2004	
118269	Li Ling	CHN	ATH	2008—2012	
103832	Li Meiju	CHN	ATH	2004—2008	
114785	Lin Chia-Ying	TPE	ATH	2008—2012	
122535	Liu Xiangrong	CHN	ATH	2012	
129821	Yaniuvis López	CUB	ATH	2016	
74898	Teresa Machado	POR	ATH	1992—2004	
86885	Laurence Manfrédi	FRA	ATH	2000—2004	
121886	Anita Márton	HUN	ATH	2012—2016	
121591	Radoslava Mavrodieva	BUL	ATH	2012—2016	
64475	Lisa Misipeka	ASA	ATH	1996—2004	
103838	Chinatsu Mori	JPN	ATH	2004	
114786	Zara Northover	JAM	ATH	2008	
131935	Halyna Obleshchuk	UKR	ATH	2016	
131227	Nwanneka Okwelogu	NGR	ATH	2016	
114782	Anna Omarova	RUS	ATH	2008	
103836	Nadezhda Ostapchuk	BLR	ATH	2004—2012	
86959	Kalliopi Ouzouni	GRE	ATH	2000—2004	
103834	Ana Po'uhila	TGA	ATH	2004—2012	
83334	Yanina Provalinskaya-Karolchik	BLR	ATH	2000—2012	
103839	Irache Quintanal	ESP	ATH	2004—2008	
122835	Leyla Rajabi	IRI	ATH	2012—2016	
114774	Chiara Rosa	ITA	ATH	2008—2012	
126042	Úrsula Ruiz	ESP	ATH	2012	
88489	Olga Ryabinkina	RUS	ATH	2000—2004	
132046	Raven Saunders	USA	ATH	2016	
114773	Christina Schwanitz	GER	ATH	2008—2016	
103852	Olga Shchukina	UZB	ATH	2004	
122143	Yelena Smolyanova	UZB	ATH	2012	
131045	Dimitriana Surdu	MDA	ATH	2016	
129424	Taryn Suttie	CAN	ATH	2016	
120545	Irina Tarasova	RUS	ATH	2012	
125817	Josephine Terlecki	GER	ATH	2012	
103837	Eirini Terzoglou	GRE	ATH	2004—2008	
130721	Danniel Thomas	JAM	ATH	2016	
88311	Lieja Tunks-Koeman	NED	ATH	2000—2004	
88214	Iolanta Ulyeva	KAZ	ATH	2000—2008	
130319	Lena Urbaniak	GER	ATH	2016	
114776	Mailín Vargas	CUB	ATH	2008—2012	
103841	Flor Vásquez	DOM	ATH	2004	
129820	Saily Viart	CUB	ATH	2016	
83379	Aneliya Yordanova-Kumanova	BUL	ATH	2000—2004	
103831	Oksana Zakharchuk	UKR	ATH	2004	
103842	Zhang Guirong	SGP	ATH	2004—2008	
103849	Zhang Xiaoyu	CHN	ATH	2004	
