
ID	Name	Nation(s)	Sport(s)	Era	
126075	Dailenys Alcántara	CUB	ATH	2012	
83466	Yamilé Aldama	CUB GBR SUD	ATH	1996—2012	
125960	Ayanna Alexander	TTO	ATH	2012	
130084	Jeanine Assani Issouf	FRA	ATH	2016	
121595	Andriana Banova	BUL	ATH	2012	
105076	Yusmay Bicet	CUB	ATH	2004	
105080	Tatyana Bocharova	KAZ	ATH	2004	
125412	Svetlana Bolshakova	BEL	ATH	2012	
73413	Olga Bolşova	MDA EUN	ATH	1992—2004	
121433	Cristina Bujin	ROU	ATH	2012—2016	
5171	Carlota Castrejana	ESP	ATH/BAS	1992—2008	
106546	Keila Costa	BRA	ATH	2004—2016	
131428	Susana Costa	POR	ATH	2016	
127074	Hanna Demydova	UKR	ATH	2012	
130636	Dariya Derkach	ITA	ATH	2016	
83367	Mariya Dimitrova	BUL	ATH	2000—2004	
114478	Gita Dodova	BUL	ATH	2008	
105092	Julia Dubina	GEO	ATH	2004	
130866	Yekaterina Ektova	KAZ	ATH	2016	
130314	Jenny Elbe	GER	ATH	2016	
132020	Christina Epps	USA	ATH	2016	
105085	Adelina Gavrilă	ROU	ATH	2004—2008	
114476	Mabel Gay	CUB	ATH	2008	
132014	Andrea Geubelle	USA	ATH	2016	
130316	Kristin Gierisch	GER	ATH	2016	
105087	Viktoriya Gurova-Valyukevich	RUS	ATH	2004—2012	
105082	Huang Qiuyan	CHN	ATH	2004	
105079	Tiombé Hurd	USA	ATH	2004	
131364	Anna Jagaciak	POL	ATH	2016	
121462	Mayookha Johny	IND	ATH	2012	
129888	Ana José	DOM	ATH	2016	
122548	Hanna Knyazyeva-Minenko	ISR UKR	ATH	2012—2016	
67492	Heli Koivula-Kruger	FIN	ATH	1996—2004	
122091	Aleksandra Kotlyarova	UZB	ATH	2012	
114487	Liliya Kulyk	UKR	ATH	2008	
105086	Simona La Mantia	ITA	ATH	2004—2012	
129886	Thea LaFond	DMA	ATH	2016	
114484	Kaire Leibak	EST	ATH	2008	
136657	Li Xiaohong	CHN	ATH	2016	
122534	Li Yanmei	CHN	ATH	2012	
114489	Irina Litvinenko-Ektova	KAZ	ATH	2008—2016	
130059	Kristiina Mäkelä	FIN	ATH	2016	
114477	Svitlana Mamieieva	UKR	ATH	2008	
125987	Patrícia Mamona	POR	ATH	2012—2016	
114488	Shani Marks	USA	ATH	2008	
109557	Magdelín Martínez	ITA	ATH	2004—2008	
114485	Yarianna Martínez	CUB	ATH	2008	
89206	Marija Martinović-Šestak	SCG SLO	ATH	2000—2012	
129729	Joëlle Mbumi Nkouindjin	CMR	ATH	2016	
114479	Erica McLain	USA	ATH	2008	
89207	Biljana Mitrović-Topić	SRB SCG	ATH	2000—2012	
127138	Veronika Mosina	RUS	ATH	2012	
88938	Kène N'Doye	SEN	ATH	2000—2004	
114475	Teresa Nzola Meso	FRA	ATH	2008	
114480	Chinonye Ohadugha	NGR	ATH	2008	
114486	Gisele Oliveira	BRA	ATH	2008	
132038	Keturah Orji	USA	ATH	2016	
124667	Niki Panetta	GRE	ATH	2012	
131487	Elena Panțuroiu	ROU	ATH	2016	
130454	Paraskevi Papakhristou	GRE	ATH	2016	
88209	Yelena Parfyonova	KAZ	ATH	2000—2008	
105089	Yuliana Perez	USA	ATH	2004	
105093	Athanasia Perra	GRE	ATH	2004—2012	
129380	Gabriela Petrova	BUL	ATH	2016	
129816	Liadagmis Povea	CUB	ATH	2016	
114481	Kseniya Priyemko-Detsuk	BLR	ATH	2008—2012	
105084	Anna Pyatykh	RUS	ATH	2004—2008	
105078	Ineta Radēviča	LAT	ATH	2004—2012	
83224	Baya Rahouli	ALG	ATH	2000—2008	
124383	Josleidy Ribalta	CUB	ATH	2012	
83333	Nataliya Safronova	BLR	ATH	2000—2004	
55134	Luciana dos Santos	BRA	ATH	2000—2004	
126044	Patricia Sarrapio	ESP	ATH	2012—2016	
114491	Martina Šestáková	CZE	ATH	2008	
105091	Tetiana Shchurenko	UKR	ATH	2004	
105083	Trecia Smith	JAM	ATH	2004—2012	
126737	Amanda Smock	USA	ATH	2012	
129234	Núbia Soares	BRA	ATH	2016	
105077	Mariana Solomon	ROU	ATH	2004	
130731	Shanieka Thomas	JAM	ATH	2016	
131956	Ruslana Tsykhotska	UKR	ATH	2016	
129758	Yosiry Urrutia	COL	ATH	2016	
70696	Olga Vasdeki	GRE	ATH	1996—2004	
129171	Irina Vaskovskaya	BLR	ATH	2016	
114490	Dana Velďáková	SVK	ATH	2008—2016	
129175	Nataliya Vyatkina	BLR	ATH	2016	
120738	Kimmie Williams	JAM	ATH	2012—2016	
114483	Xie Limei	CHN	ATH	2008—2012	
105090	Liliana Zagacka	POL	ATH	2004	
105081	Zhang Hao	CHN	ATH	2004	
105088	Anastasiya Zhuravlyova	UZB	ATH	2004—2012	
