,name,country,event,date_of_violation,substance,sanction,references,flagged
0,Nunu Abashidze, Soviet Union,Shot put,1981,,,[1][2],1
1,Ahmed Abd El Raouf, Egypt,Hammer throw,2008,Norandrosterone,2 years,[3][4],1
2,Inga Abitova, Russia,Long distance,2009,Biological passport anomalies,2 years,[5][6][7],1
3,Folashade Abugan, Nigeria,Sprinting,2010,Testosterone prohormone,2 years,[8][9][10],1
4,Ibrahim Mohamed Aden, Somalia,Middle distance,1999,Ephedrine,Public warning,[11][12][13],1
5,Tosin Adeloye, Nigeria,Sprinting,20122015,Metenolone  Exogenous steroids,2 years  8 years,[14][15][16][17],1
6,Funke Adeoye, Nigeria,Hammer throw,2007,Ephedrine,Public warning,[3][18][19][20],1
7,Alessandra Aguilar, Spain,Long distance,2011,,3 months,[21],1
8,Amina Aït Hammou, Morocco,Middle distance,2008,3 whereabouts failures,1 year,[3][22],1
9,Seltana Aït Hammou, Morocco,Middle distance,2008,3 whereabouts failures,1 year,[3][23],1
10,Chioma Ajunwa, Nigeria,"Long jump, sprinting",1992,,4 years,[24][25],1
11,Esther Akinsulie, Canada,Sprinting,2013,Hydrochlorothiazide,6 months,[26][27][28],1
12,Ashwini Akkunji, India,Sprinting,2011,Anabolic steroids,2 years,[29],1
13,Mary Akor Basley, United States,Marathon,2012,Clenbuterol,2 years,[14][30],1
14,Mikko Ala-Leppilampi, Finland,Long distance,1972,Self admittance of blood transfusions  (not illegal at the time),—,[31],1
15,Mariem Alaoui Selsouli, Morocco,Middle distance,2009 2012,EPOFurosemide,2 years  8 years,[13][32][33][34][35],1
16,Sultan Al-Dawoodi, Saudi Arabia,Discus throw,2009,Norandrosterone,2 years,[36][37],1
17,Denis Alekseyev, Russia,Sprinting,2013,Dehydrochloromethyltestosterone,2 years,[38][39],1
18,Barakat Al-Harthi, Oman,Sprinting,2011,Methylprednisolone,6 months,[40][41],1
19,Ghfran Almouhamad, Syria,Hurdling,2012,Methylhexaneamine,6 months,[7][42],1
20,Anna Alminova, Russia,Middle distance,2010  2009,Pseudoephedrine  Biological passport anomalies,3 months  30 months,[32][43][13][44][45],1
21,Anthony Alozie, Australia,Sprinting,2013,Three Whereabouts Failures,20 months,[30][46][47],1
22,Aslı Çakır Alptekin, Turkey,Middle distance/steeplechase,2004  2010,Metenolone  Biological passport,2 years  8 years,[48][49][50][51][52][53][54],1
23,Chinaza Amadi, Niger,Long jump,2015,Metenolone,4 years,[55][56],1
