id,name,sex,age,height,weight,team,noc,year,season,city,sport,event_x,medal,event_y,substance,flagged,result,result_100m_mens_london,result_100m_womens_rio,result_100m_womens_london,result_200m_mens_rio,result_200m_mens_london,result_200m_womens_rio,result_200m_womens_london,result_110h_mens_rio,result_110h_mens_london,result_100h_womens_rio,result_100h_womens_london,result_3000steep_mens_rio,result_3000steep_mens_london,result_3000steep_womens_rio,result_3000steep_womens_london,result_marathon_mens_rio,result_marathon_mens_london,result_marathon_womens_rio,result_marathon_womens_london,result_20km_mens_rio,result_20km_mens_london,result_20km_womens_rio,result_20km_womens_london,result_400m_mens_rio,result_400m_mens_london,result_400m_womens_rio,result_400m_womens_london,result_5000m_mens_rio,result_5000m_mens_london,result_5000m_womens_rio,result_5000m_womens_london,result_800m_mens_rio,result_800m_mens_london,result_800m_womens_rio,result_800m_womens_london,result_discus_mens_rio,result_discus_mens_london,result_discus_womens_rio,result_discus_womens_london
34,jamale jamale,M,30.0,187.0,76.0,France,FRA,2012,Summer,London,Athletics,"Athletics Men's 1,500 metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,antonio beci,M,26.0,170.0,65.0,Spain,ESP,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,mariya abakumova,F,26.0,179.0,80.0,Russia,RUS,2012,Summer,London,Athletics,Athletics Women's Javelin Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,emanuele abate,M,27.0,190.0,80.0,Italy,ITA,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,13.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,emanuele abate,M,27.0,190.0,80.0,Italy,ITA,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,13.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,abubakar abbas,M,20.0,175.0,66.0,Bahrain,BRN,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,ihab abdelrahman,M,23.0,194.0,96.0,Egypt,EGY,2012,Summer,London,Athletics,Athletics Men's Javelin Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,bashir abdi,M,27.0,176.0,56.0,Belgium,BEL,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:42.83,,,,,,,,,,,
251,bashir abdi,M,27.0,176.0,56.0,Belgium,BEL,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,youcef abdi,M,34.0,178.0,66.0,Australia,AUS,2012,Summer,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",,,,,,,,,,,,,,,,,,8:29.81,,,,,,,,,,,,,,,,,,,,,,,,,,
256,abdihakim abdirahman,M,35.0,178.0,61.0,United States,USA,2012,Summer,London,Athletics,Athletics Men's Marathon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,maizurah rahim,F,17.0,147.0,50.0,Brunei,BRU,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,dana razak,F,26.0,163.0,56.0,Iraq,IRQ,2012,Summer,London,Athletics,Athletics Women's 100 metres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,laye abdullayeva,F,21.0,170.0,47.0,Azerbaijan,AZE,2012,Summer,London,Athletics,"Athletics Women's 5,000 metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,arthur abele,M,30.0,184.0,85.0,Germany,GER,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,tesfaye dibaba,M,24.0,192.0,68.0,Ethiopia,ETH,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,tomomi abiko,F,24.0,173.0,53.0,Japan,JPN,2012,Summer,London,Athletics,Athletics Women's Pole Vault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
