Pos	Nr	Athlete	NOC	Time (A)			
1	1808	Mo Farah	GBR	27:30.42		
2	3250	Galen Rupp	USA	27:30.90		
3	1680	Tariku Bekele	ETH	27:31.43		
4	1679	Kenenisa Bekele	ETH	27:32.44			
5	2313	Bedan Karoki Muchiri	KEN	27:32.94			
6	1599	Zersenay Tadese	ERI	27:33.51			
7	1597	Teklemariam Medhin	ERI	27:34.76			
8	1686	Gebre Egziabher Gebremariam	ETH	27:36.34			
9	3073	Polat Arıkan	TUR	27:38.81			
10	3114	Moses Kipsiro	UGA	27:39.22			
11	1293	Cam Levins	CAN	27:40.68			
12	2311	Moses Masai	KEN	27:41.34			
13	3247	Dathan Ritzenhein	USA	27:45.89			
14	2904	Robert Kajuga	RWA	27:56.67			
15	1600	Nguse Tesfaldet	ERI	27:56.78			
16	3110	Thomas Ayeko	UGA	27:58.96			
17	2371	Moukheld Al-Outaibi	KSA	28:07.25			
18	1279	Mohammed Ahmed	CAN	28:13.91			
19	3257	Matt Tegenkamp	USA	28:18.26			
20	1061	Ben St. Lawrence	AUS	28:32.67			
21	2497	Diego Estrada	MEX	28:36.19			
22	2234	Yuki Sato	JPN	28:44.06			
23	1621	Ayad Lamdassem	ESP	28:49.85			
24	2138	Daniele Meucci	ITA	28:57.46			
25	1837	Chris Thompson	GBR	29:06.14			
26	3136	Mykola Labovskiy	UKR	29:32.12
