Pos	Nr	Athlete	NOC	Time (A)			
1	1659	Tirunesh Dibaba	ETH	29:54.66	Gold	OR	
2	3283	Shalane Flanagan	USA	30:22.22	Silver		
3	2248	Linet Masai	KEN	30:26.50	Bronze		
4	2781	Mariya Konovalova	RUS	30:35.84			
5	2278	Lucy Kabuu	KEN	30:39.96			
6	2492	Lornah Kiplagat	NED	30:40.27			
7	2544	Kim Smith	NZL	30:51.00			
8	3171	Kara Goucher	USA	30:55.16			
9	2206	Kayoko Fukushi	JPN	31:01.14			
10	1823	Jo Pavey	GBR	31:12.30			
11	1898	Sabrina Mockenhaupt	GER	31:14.21			
12	1677	Ejegayehu Dibaba	ETH	31:22.18			
13	2491	Hilda Kibet	NED	31:29.69			
14	1399	Zhang Yingying	CHN	31:31.12			
15	2223	Yoko Shibui	JPN	31:31.13			
16	2286	Peninah Arusei	KEN	31:39.87			
17	2855	Tatyana Aryasova	RUS	31:45.57			
18	2210	Yukiko Akaba	JPN	32:00.37			
19	1373	Bai Xue	CHN	32:20.27			
20	2006	Anikó Kálovics	HUN	32:24.83			
21	1826	Kate Reed	GBR	32:26.69			
22	1113	Nathalie De Vos	BEL	32:33.45			
23	2030	Preeja Sreedharan	IND	32:34.64			
24	3140	Amy Yoder Begley	USA	32:38.28			
25	2450	Dulce María Rodríguez	MEX	32:58.04			
26	1337	Dong Xiaoqin	CHN	33:03.14			
27	1632	Isabel Checa	ESP	33:17.88
AC	3045	Elvan Abeylegesse	TUR	29:56.34		DQ
AC	2801	Inga Abitova	RUS	30:37.33		DQ
