Pos	Nr	Athlete	NOC	R1	QF	SF	Final			
1	1482	Dayron Robles	CUB	13.39 (1 h1)	13.19 (1 h2)	13.12 (1 h1)	12.93 (1)	Gold		
2	3216	David Payne	USA	13.42 (1 h4)	13.24 (1 h1)	13.21 (2 h1)	13.17 (2)	Silver		
3	3211	David Oliver	USA	13.30 (1 h2)	13.16 (1 h4)	13.31 (1 h2)	13.18 (3)	Bronze		
4	1734	Ladji Doucouré	FRA	13.52 (2 h4)	13.39 (2 h4)	13.22 (3 h1)	13.24 (4)			
5	2602	Artur Noga	POL	13.53 (1 h5)	13.36 (2 h2)	13.34 (2 h2)	13.36 (5)			
6	2152	Maurice Wignall	JAM	13.61 (4 h4)	13.36 (1 h3)	13.40 (4 h2)	13.46 (6)			
7	2131	Richard Phillips	JAM	13.60 (4 h1)	13.48 (5 h1)	13.43 (4 h1)	13.60 (7)			
8	1625	Jackson Quiñónez	ESP	13.41 (2 h2)	13.47 (3 h4)	13.40 (3 h2)	13.69 (8)			
5 h1 r3/4	1951	Kostas Douvalidis	GRE	13.49 (1 h6)	13.46 (4 h1)	13.55 (5 h1)	–			
5 h2 r3/4	1405	Shi Dongpeng	CHN	13.53 (4 h3)	13.42 (3 h1)	13.42 (5 h2)	–			
6 h1 r3/4	2499	Gregory Sedoc	NED	13.50 (4 h2)	13.43 (3 h2)	13.60 (6 h1)	–			
6 h2 r3/4	2497	Marcel van der Westen	NED	13.54 (2 h6)	13.48 (4 h3)	13.45 (6 h2)	–			
7 h1 r3/4	1528	Petr Svoboda	CZE	13.43 (3 h3)	13.41 (2 h1)	13.60 (7 h1)	–			
7 h2 r3/4	1107	Ryan Brathwaite	BAR	13.38 (2 h3)	13.44 (2 h3)	13.59 (7 h2)	–			
8 h1 r3/4	1426	Paulo Villar	COL	13.37 (1 h3)	13.46 (3 h3)	13.85 (8 h1)	–			
8 h2 r3/4	1727	Samuel Coco-Viloin	FRA	13.60 (4 h6)	13.51 (4 h2)	13.65 (8 h2)	–			
4 h4 r2/4	2526	Selim Nurudeen	NGR	13.58 (3 h4)	13.66 (4 h4)	–	–			
5 h2 r2/4	1841	Andy Turner	GBR	13.56 (2 h1)	13.53 (5 h2)	–	–			
5 h3 r2/4	1995	Dániel Kiss	HUN	13.61 (3 h5)	13.63 (5 h3)	–	–			
5 h4 r2/4	1318	Ronald Forbes	CAY	13.59 (5 h3)	13.72 (5 h4)	–	–			
6 h1 r2/4	3004	Mikel Thomas	TTO	13.69 (6 h2)	13.62 (6 h1)	–	–			
6 h2 r2/4	2313	Lee Jeong-Jun	KOR	13.65 (5 h2)	13.55 (6 h2)	–	–			
6 h3 r2/4	1834	Allan Scott	GBR	13.56 (3 h6)	13.66 (6 h3)	–	–			
6 h4 r2/4	1388	Ji Wei	CHN	13.57 (3 h1)	13.80 (6 h4)	–	–			
7 h1 r2/4	2828	Igor Peremota	RUS	13.59 (2 h5)	13.70 (7 h1)	–	–			
7 h2 r2/4	1099	Shamar Sands	BAH	13.45 (3 h2)	13.55 (7 h2)	–	–			
7 h3 r2/4	1985	Dudley Dorival	HAI	13.78 (7 h3)	13.71 (7 h3)	–	–			
7 h4 r2/4	1221	Anselmo da Silva	BRA	13.81 (4 h5)	13.84 (7 h4)	–	–			
8 h1 r2/4	2684	Héctor Cotto	PUR	13.72 (6 h3)	13.73 (8 h1)	–	–			
8 h2 r2/4	1856	David Ilariani	GEO	13.75 (6 h6)	13.74 (8 h2)	–	–			
AC h3 r2/4	2694	Mohamed Al-Thawadi	QAT	13.64 (5 h6)	– (AC h3)	–	–
