Pos	Nr	Athlete	NOC	R1	SF	Final			
1	3176	Dawn Harper	USA	12.73 (2 h5)	12.66 (2 h2)	12.54 (1)	Gold		
2	1074	Sally McLellan	AUS	12.83 (2 h3)	12.70 (4 h1)	12.64 (2)	Silver		
3	1304	Priscilla Lopes-Schliep	CAN	12.75 (2 h2)	12.68 (3 h1)	12.64 (3)	Bronze		
4	3147	Damu Cherry	USA	12.92 (3 h2)	12.62 (1 h2)	12.65 (4)			
5	2154	Delloreen Ennis-London	JAM	12.82 (1 h3)	12.67 (2 h1)	12.65 (5)			
6	2155	Brigitte Foster-Hylton	JAM	12.69 (1 h5)	12.76 (3 h2)	12.66 (6)			
7	3188	Lolo Jones	USA	12.71 (1 h4)	12.43 (1 h1)	12.72 (7)			
8	1792	Sarah Claxton	GBR	12.97 (3 h3)	12.84 (4 h2)	12.94 (8)			
5 h1 r2/3	2591	Aurelia Trywiańska-Kollasch	POL	12.98 (3 h1)	12.96 (5 h1)	–			
5 h2 r2/3	2161	Vonette Dixon	JAM	12.69 (1 h2)	12.86 (5 h2)	–			
6 h1 r2/3	1920	Carolin Nytra	GER	12.95 (4 h2)	12.99 (6 h1)	–			
6 h2 r2/3	1758	Reïna-Flor Okori	FRA	12.98 (3 h4)	13.05 (6 h2)	–			
7 h1 r2/3	3032	Nevin Yanıt	TUR	12.94 (2 h1)	13.28 (7 h1)	–
AC	1593	Josephine Onyia	ESP	12.68 (AC h1)	12.86 (AC h1)	–		DQ
