Pos	Nr	Athlete	NOC	R1	QF	SF	Final			
1	3263	Justin Gatlin	USA	10.07 (1 h3)	9.96 (1 h3)	10.09 (2 h1)	9.85 (1)			
2	2739	Francis Obikwelu	POR	10.09 (1 h5)	9.93 (1 h1)	9.97 (2 h2)	9.86 (2)			
3	3268	Maurice Greene	USA	10.18 (1 h8)	9.93 (1 h5)	9.97 (3 h2)	9.87 (3)			
4	3246	Shawn Crawford	USA	10.02 (1 h4)	9.89 (1 h2)	10.07 (1 h1)	9.89 (4)			
5	2241	Asafa Powell	JAM	10.06 (1 h7)	9.99 (2 h5)	9.95 (1 h2)	9.94 (5)			
6	3003	Kim Collins	SKN	10.11 (1 h10)	10.05 (2 h4)	10.02 (4 h2)	10.00 (6)			
7	1136	Obadele Thompson	BAR	10.08 (2 h4)	10.12 (2 h2)	10.22 (4 h1)	10.10 (7)			
AC r4/4	1965	Abdul Aziz Zakari	GHA	10.19 (2 h2)	10.02 (1 h4)	10.11 (3 h1)	– (AC)			
5 h1 r3/4	1815	Mark Lewis-Francis	GBR	10.13 (1 h2)	10.12 (=2 h1)	10.28 (5 h1)	–			
5 h2 r3/4	1806	Jason Gardener	GBR	10.15 (2 h7)	10.15 (2 h3)	10.12 (5 h2)	–			
6 h1 r3/4	2229	Michael Frater	JAM	10.20 (2 h10)	10.11 (3 h4)	10.29 (6 h1)	–			
6 h2 r3/4	1959	Leo Myles-Mills	GHA	10.21 (3 h3)	10.18 (3 h5)	10.22 (6 h2)	–			
7 h1 r3/4	1763	Ronald Pognon	FRA	10.18 (2 h5)	10.15 (4 h1)	10.32 (7 h1)	–			
7 h2 r3/4	2251	Dwight Thomas	JAM	10.21 (2 h8)	10.12 (=2 h1)	10.28 (7 h2)	–			
8 h1 r3/4	2596	Uchenna Emedolu	NGR	10.22 (2 h1)	10.15 (3 h3)	10.35 (8 h1)	–			
8 h2 r3/4	1235	Vicente de Lima	BRA	10.23 (4 h3)	10.26 (3 h2)	10.28 (8 h2)	–			
4 h2 r2/4	3015	Matic Osovnikar	SLO	10.15 (3 h4)	10.26 (4 h2)	–	–			
4 h3 r2/4	2264	Nobuharu Asahara	JPN	10.33 (1 h6)	10.24 (4 h3)	–	–			
4 h4 r2/4	2555	Frankie Fredericks	NAM	10.12 (1 h1)	10.17 (4 h4)	–	–			
4 h5 r2/4	2665	Łukasz Chyła	POL	10.35 (2 h6)	10.23 (4 h5)	–	–			
5 h1 r2/4	2288	Shingo Suetsugu	JPN	10.27 (3 h1)	10.19 (5 h1)	–	–			
5 h2 r2/4	2591	Deji Aliu	NGR	10.39 (1 h9)	10.26 (5 h2)	–	–			
5 h3 r2/4	2021	Georgios Theodoridis	GRE	10.32 (6 h3)	10.36 (5 h3)	–	–			
5 h4 r2/4	1087	Joshua Ross	AUS	10.24 (3 h7)	10.22 (5 h4)	–	–			
5 h5 r2/4	1331	Kareem Streete-Thompson	CAY	10.15 (2 h3)	10.24 (5 h5)	–	–			
6 h1 r2/4	1308	Pierre Browne	CAN	10.32 (5 h7)	10.21 (6 h1)	–	–			
6 h2 r2/4	1317	Nicolas Macrozonaris	CAN	10.40 (2 h9)	10.28 (6 h2)	–	–			
6 h3 r2/4	2082	Roland Németh	HUN	10.28 (3 h2)	10.38 (6 h3)	–	–			
6 h4 r2/4	1903	Alexander Kosenkow	GER	10.28 (4 h8)	10.24 (6 h4)	–	–			
6 h5 r2/4	2170	Simone Collio	ITA	10.27 (4 h10)	10.29 (6 h5)	–	–			
7 h1 r2/4	1004	Churandy Martina	AHO	10.23 (3 h8)	10.24 (7 h1)	–	–			
7 h2 r2/4	2312	Gennady Chernovol	KAZ	10.43 (3 h9)	10.42 (7 h2)	–	–			
7 h3 r2/4	3113	Nico Alexander	TTO	10.22 (3 h10)	10.48 (7 h3)	–	–			
7 h4 r2/4	2958	Andrey Yepishin	RUS	10.29 (5 h3)	10.29 (7 h4)	–	–			
7 h5 r2/4	1252	Jarbas Mascarenhas Júnior	BRA	10.34 (4 h5)	10.30 (7 h5)	–	–			
8 h1 r2/4	1240	André da Silva	BRA	10.28 (4 h7)	10.34 (8 h1)	–	–			
8 h2 r2/4	1295	Idrissa Sanou	BUR	10.33 (4 h4)	10.43 (8 h2)	–	–			
8 h4 r2/4	1787	Jaysuma Saidy Ndure	GAM	10.26 (3 h5)	10.39 (8 h4)	–	–			
8 h5 r2/4	1396	Éric Pacôme N'Dri	CIV	10.39 (3 h6)	10.32 (8 h5)
