Pos	Nr	Athlete	NOC	Preliminary Round	R1	SF	Final			
1	2170	Usain Bolt	JAM	–	10.09 (1 h4)	9.87 (1 h2)	9.63 (1)	Gold		
2	2169	Yohan Blake	JAM	–	10.00 (1 h6)	9.85 (1 h3)	9.75 (2)	Silver		
3	3216	Justin Gatlin	USA	–	9.97 (1 h2)	9.82 (1 h1)	9.79 (3)	Bronze		
4	3205	Ryan Bailey	USA	–	9.88 (1 h3)	9.96 (2 h2)	9.88 (4)			
5	2547	Churandy Martina	NED	–	10.20 (3 h5)	9.91 (2 h1)	9.94 (5)			
6	3051	Richard Thompson	TTO	–	10.14 (1 h1)	10.02 (3 h2)	9.98 (6)			
7	2184	Asafa Powell	JAM	–	10.04 (1 h5)	9.94 (3 h1)	11.99 (7)			
2 h3 r3/4	1809	Adam Gemili	GBR	–	10.11 (2 h5)	10.06 (2 h3)	–			
3 h3 r3/4	1098	Derrick Atkins	BAH	–	10.22 (2 h2)	10.08 (3 h3)	–			
4 h1 r3/4	3038	Keston Bledman	TTO	–	10.13 (3 h7)	10.04 (4 h1)	–			
4 h2 r3/4	1803	Dwain Chambers	GBR	–	10.02 (1 h7)	10.05 (4 h2)	–			
4 h3 r3/4	1303	Justyn Warner	CAN	–	10.09 (3 h3)	10.09 (4 h3)	–			
5 h1 r3/4	1401	Ben Youssef Meïté	CIV	–	10.06 (2 h3)	10.13 (5 h1)	–			
5 h2 r3/4	3365	Gerald Phiri	ZAM	–	10.16 (2 h1)	10.11 (5 h2)	–			
5 h3 r3/4	2241	Ryota Yamagata	JPN	–	10.07 (2 h6)	10.10 (5 h3)	–			
6 h1 r3/4	1769	Jimmy Vicaut	FRA	–	10.11 (2 h7)	10.16 (6 h1)	–			
6 h2 r3/4	1016	Daniel Bailey	ANT	–	10.12 (2 h4)	10.16 (6 h2)	–			
6 h3 r3/4	3049	Rondel Sorrillo	TTO	–	10.23 (3 h2)	10.31 (6 h3)	–			
7 h1 r3/4	1805	James Dasaolu	GBR	–	10.13 (3 h4)	10.18 (7 h1)	–			
7 h2 r3/4	2919	Antoine Adams	SKN	–	10.22 (4 h6)	10.27 (7 h2)	–			
8 h1 r3/4	1797	Su Wai'bou Sanneh	GAM	–	10.21 (5 h3)	10.18 (8 h1)	–			
8 h2 r3/4	1360	Su Bingtian	CHN	–	10.19 (3 h6)	10.28 (8 h2)	–
