Pos	Nr	Athlete	NOC	R1	QF	SF	Final			
1	2165	Shelly-Ann Fraser	JAM	11.35 (1 h6)	11.06 (1 h1)	11.00 (1 h1)	10.78 (1)	Gold		
=2	2145	Sherone Simpson	JAM	11.48 (3 h9)	11.02 (1 h2)	11.11 (4 h1)	10.98 (=2)	Silver		
=2	2178	Kerron Stewart	JAM	11.28 (1 h10)	10.98 (1 h4)	11.05 (1 h2)	10.98 (=2)	Silver		
4	3257	Lauryn Williams	USA	11.38 (2 h2)	11.07 (2 h4)	11.10 (3 h1)	11.03 (4)			
5	3195	Muna Lee	USA	11.33 (1 h3)	11.08 (2 h2)	11.06 (2 h1)	11.07 (5)			
6	1790	Jeannette Kwakye	GBR	11.30 (2 h1)	11.18 (3 h1)	11.19 (3 h2)	11.14 (6)			
7	1094	Debbie Ferguson-McKenzie	BAH	11.17 (2 h8)	11.21 (1 h3)	11.22 (4 h2)	11.19 (7)			
8	3165	Torri Edwards	USA	11.26 (1 h1)	11.31 (1 h5)	11.18 (2 h2)	11.20 (8)			
5 h1 r3/4	1092	Chandra Sturrup	BAH	11.30 (1 h4)	11.16 (3 h2)	11.22 (5 h1)	–			
5 h2 r3/4	1172	Yuliya Nesterenko	BLR	11.40 (2 h5)	11.14 (4 h4)	11.26 (5 h2)	–			
6 h1 r3/4	2377	Lina Grinčikaitė	LTU	11.43 (3 h4)	11.33 (2 h5)	11.50 (6 h1)	–			
6 h2 r3/4	1129	Kim Gevaert	BEL	11.33 (1 h5)	11.10 (3 h4)	11.30 (6 h2)	–			
7 h1 r3/4	1264	Ivet Lalova	BUL	11.33 (1 h7)	11.40 (3 h5)	11.51 (7 h1)	–			
7 h2 r3/4	2748	Yevgeniya Polyakova	RUS	11.24 (1 h9)	11.13 (2 h1)	11.38 (7 h2)	–			
8 h1 r3/4	1927	Vida Anim	GHA	11.47 (2 h6)	11.32 (3 h3)	11.51 (8 h1)	–			
8 h2 r3/4	2512	Damola Osayomi	NGR	11.13 (1 h8)	11.28 (2 h3)	11.44 (8 h2)	–			
4 h1 r2/4	2869	Virgil Hodge	SKN	11.48 (4 h3)	11.45 (4 h1)	–	–			
4 h2 r2/4	1799	Montell Douglas	GBR	11.36 (2 h7)	11.38 (4 h2)	–	–			
4 h3 r2/4	1719	Christine Arron	FRA	11.37 (1 h2)	11.36 (4 h3)	–	–			
4 h5 r2/4	2538	Ezinne Okparaebo	NOR	11.32 (2 h10)	11.45 (4 h5)	–	–			
5 h1 r2/4	2064	LaVerne Jones	ISV	11.41 (3 h10)	11.55 (5 h1)	–	–			
5 h2 r2/4	1497	Virgen Benavides	CUB	11.45 (3 h7)	11.40 (5 h2)	–	–			
5 h3 r2/4	2592	Daria Korczyńska	POL	11.22 (3 h8)	11.41 (5 h3)	–	–			
5 h4 r2/4	2128	Tahesia Harrigan	IVB	11.46 (3 h2)	11.36 (5 h4)	–	–			
5 h5 r2/4	3325	Barbara Pierre	HAI	11.52 (4 h10)	11.56 (5 h5)	–	–			
6 h1 r2/4	1411	Myriam Mani	CMR	11.64 (3 h1)	11.65 (6 h1)	–	–			
6 h2 r2/4	3007	Kelly-Ann Baptiste	TTO	11.39 (2 h4)	11.42 (6 h2)	–	–			
6 h3 r2/4	2747	Nataliya Rusakova	RUS	11.61 (5 h3)	11.49 (6 h3)	–	–			
6 h4 r2/4	3015	Semoy Hackett	TTO	11.53 (4 h4)	11.46 (6 h4)	–	–			
6 h5 r2/4	2077	Anita Pistone	ITA	11.43 (2 h3)	11.56 (6 h5)	–	–			
7 h1 r2/4	2513	Franca Idoko	NGR	11.61 (4 h7)	11.66 (7 h1)	–	–			
7 h2 r2/4	2853	Nataliya Murinovich	RUS	11.55 (5 h10)	11.51 (7 h2)	–	–			
7 h3 r2/4	1420	Yomara Hinestroza	COL	11.39 (4 h8)	11.66 (7 h3)	–	–			
7 h4 r2/4	3290	Guzel Khubbiyeva	UZB	11.44 (3 h3)	11.49 (7 h4)	–	–			
7 h5 r2/4	1781	Ruddy Zang-Milama	GAB	11.62 (3 h6)	11.59 (7 h5)	–	–			
8 h1 r2/4	1108	Jade Bailey	BAR	11.46 (2 h9)	11.67 (8 h1)	–	–			
8 h2 r2/4	3066	Nataliya Pohrebniak	UKR	11.60 (4 h9)	11.55 (8 h2)	–	–			
8 h3 r2/4	3309	Vũ Thị Hương	VIE	11.65 (3 h5)	11.70 (8 h3)	–	–			
8 h4 r2/4	1211	Lucimar Moura	BRA	11.60 (4 h2)	11.67 (8 h4)	–	–			
8 h5 r2/4	3012	Sasha Springer-Jones	TTO	11.55 (5 h8)	11.71 (8 h5)	–	–	
AC	1279	Tezdzhan Naimova	BUL	11.70 (AC h9)	–	–	–		DQ	1
