Pos	Nr	Athlete	NOC	Preliminary Round	R1	SF	Final			
1	2197	Shelly-Ann Fraser-Pryce	JAM	–	11.00 (1 h6)	10.85 (1 h2)	10.75 (1)	Gold		
2	3299	Carmelita Jeter	USA	–	10.83 (1 h2)	10.83 (1 h1)	10.78 (2)	Silver		
3	2194	Veronica Campbell-Brown	JAM	–	10.94 (1 h3)	10.89 (2 h1)	10.81 (3)	Bronze		
4	3306	Tianna Madison	USA	–	10.97 (2 h4)	10.92 (2 h3)	10.85 (4)			
5	3287	Allyson Felix	USA	–	11.01w (1 h5)	10.94 (2 h2)	10.89 (5)			
6	3055	Kelly-Ann Baptiste	TTO	–	10.96 (1 h1)	11.00 (3 h2)	10.94 (6)			
7	1402	Murielle Ahouré	CIV	–	10.99 (1 h7)	11.01 (3 h3)	11.00 (7)			
8	2584	Blessing Okagbare	NGR	–	10.93 (1 h4)	10.92 (1 h3)	11.01 (8)			
3 h1 r3/4	1247	Rosângela Santos	BRA	–	11.07w (2 h5)	11.17 (3 h1)	–			
4 h1 r3/4	2125	LaVerne Jones	ISV	–	11.07 (2 h7)	11.22 (4 h1)	–			
4 h2 r3/4	2605	Ezinne Okparaebo	NOR	–	11.14 (4 h1)	11.10 (4 h2)	–			
4 h3 r3/4	2207	Kerron Stewart	JAM	–	11.08 (3 h7)	11.04 (4 h3)	–			
5 h1 r3/4	3179	Olesia Povkh	UKR	–	11.18 (2 h6)	11.30 (5 h1)	–			
5 h2 r3/4	2578	Gloria Asumnu	NGR	–	11.13 (3 h3)	11.21 (5 h2)	–			
5 h3 r3/4	1791	Myriam Soumaré	FRA	–	11.07 (2 h1)	11.13 (5 h3)	–			
6 h1 r3/4	1796	Ruddy Zang-Milama	GAB	–	11.14w (3 h5)	11.31 (6 h1)	–			
6 h2 r3/4	1268	Ivet Lalova	BUL	–	11.06 (2 h3)	11.31 (6 h2)	–			
6 h3 r3/4	1963	Verena Sailer	GER	–	11.12 (3 h1)	11.25 (6 h3)	–			
7 h1 r3/4	1869	Abi Oyepitan	GBR	–	11.22 (5 h3)	11.36 (7 h1)	–			
7 h2 r3/4	1114	Sheniqua Ferguson	BAH	–	11.35 (3 h2)	11.32 (7 h2)	–			
7 h3 r3/4	2433	Lina Grinčikaitė	LTU	–	11.19 (4 h3)	11.30 (7 h3)	–			
8 h2 r3/4	2277	Olga Bludova	KAZ	–	11.31 (2 h2)	11.39 (8 h2)	–			
8 h3 r3/4	3053	Michelle-Lee Ahye	TTO	–	11.28 (3 h4)	11.32 (8 h3)	–	
AC	3058	Semoy Hackett	TTO	–	11.04 (AC h6)	11.26 (AC h1)	–		DQ	1
