Pos	Nr	Athlete	NOC	Preliminary Round	R1	SF	Final			
1	903	Elaine Thompson	JAM	–	11.21 (1 h7)	10.88 (1 h3)	10.71 (1)	Gold		
2	1326	Tori Bowie	USA	–	11.13 (1 h3)	10.90 (1 h1)	10.83 (2)	Silver		
3	887	Shelly-Ann Fraser-Pryce	JAM	–	10.96 (1 h4)	10.88 (1 h2)	10.86 (3)	Bronze		
4	540	Marie-Josée Ta Lou	CIV	–	11.01 (2 h4)	10.94 (3 h2)	10.86 (4)			
5	1039	Dafne Schippers	NED	–	11.16 (1 h2)	10.90 (2 h2)	10.90 (5)			
6	1245	Michelle-Lee Ahye	TTO	–	11.00 (1 h6)	10.90 (2 h1)	10.92 (6)			
7	1343	English Gardner	USA	–	11.09 (1 h8)	10.90 (2 h3)	10.94 (7)			
8	905	Christania Williams	JAM	–	11.27 (2 h6)	10.96 (3 h1)	11.80 (8)			
3 h3 r3/4	1059	Blessing Okagbare	NGR	–	11.16 (2 h3)	11.09 (3 h3)	–			
4 h1 r3/4	539	Murielle Ahouré	CIV	–	11.17 (2 h1)	11.01 (4 h1)	–			
4 h2 r3/4	1323	Tianna Bartoletta	USA	–	11.23 (1 h5)	11.00 (4 h2)	–			
4 h3 r3/4	703	Desiree Henry	GBR	–	11.08 (1 h1)	11.09 (4 h3)	–			
5 h1 r3/4	613	Ángela Tenorio	ECU	–	11.35 (3 h3)	11.14 (5 h1)	–			
5 h2 r3/4	434	Rosângela Santos	BRA	–	11.25 (2 h7)	11.23 (5 h2)	–			
5 h3 r3/4	1249	Semoy Hackett	TTO	–	11.35 (3 h7)	11.20 (5 h3)	–			
6 h1 r3/4	1206	Mujinga Kambundji	SUI	–	11.19 (3 h4)	11.16 (6 h1)	–			
6 h2 r3/4	611	Narcisa Landázuri	ECU	–	11.38 (4 h4)	11.27 (6 h2)	–			
6 h3 r3/4	1163	Carina Horn	RSA	–	11.32 (2 h8)	11.20 (6 h3)	–			
7 h1 r3/4	1117	Ewa Swoboda	POL	–	11.24 (2 h5)	11.18 (7 h1)	–			
7 h2 r3/4	1300	Nataliya Pohrebniak	UKR	–	11.30 (3 h1)	11.32 (7 h2)	–			
7 h3 r3/4	771	Tatjana Pinto	GER	–	11.31 (2 h2)	11.32 (7 h3)	–			
8 h2 r3/4	718	Asha Philip	GBR	–	11.34 (3 h6)	11.33 (8 h2)	–
AC	1301	Olesia Povkh	UKR	–	11.39 (AC h5)	11.29 (AC h1)	–		DQ
