Pos	Nr	Athlete	NOC	R1	SF	Final			
1	1008	Taoufik Makhloufi	ALG	3:35.15 (1 h1)	3:42.24 (1 h1)	3:34.08 (1)	Gold		
2	3234	Leo Manzano	USA	3:37.00 (6 h1)	3:42.94 (4 h1)	3:34.79 (2)	Silver		
3	2456	Abdalaati Iguider	MAR	3:41.08 (2 h3)	3:33.99 (1 h2)	3:35.13 (3)	Bronze		
4	3210	Matt Centrowitz	USA	3:41.39 (5 h3)	3:34.90 (5 h2)	3:35.17 (4)			
5	2596	Henrik Ingebrigtsen	NOR	3:41.33 (4 h3)	3:43.26 (5 h1)	3:35.43 (5)			
6	1687	Mekonnen Gebremedhin	ETH	3:36.56 (2 h1)	3:42.93 (3 h1)	3:35.44 (6)			
7	2299	Silas Kiplagat	KEN	3:39.79 (2 h2)	3:34.60 (2 h2)	3:36.19 (7)			
8	3078	İlham Özbilen	TUR	3:39.70 (1 h2)	3:35.18 (6 h2)	3:36.72 (8)			
9	2612	Nick Willis	NZL	3:40.92 (1 h3)	3:34.70 (3 h2)	3:36.94 (9)			
10	1252	Belal Mansoor Ali	BRN	3:38.69 (10 h1)	3:35.40 (7 h2)	3:37.98 (10)			
11	2295	Nixon Chepseba	KEN	3:42.29 (9 h3)	3:34.89 (4 h2)	3:39.04 (11)			
12	2300	Asbel Kiprop	KEN	3:36.59 (3 h1)	3:42.92 (2 h1)	3:43.83 (12)			
6 h1 r2/3	2460	Mohamed Moustaoui	MAR	3:37.41 (8 h1)	3:43.33 (6 h1)	–			
7 h1 r2/3	1757	Yoann Kowal	FRA	3:41.12 (3 h3)	3:43.48 (7 h1)	–			
8 h2 r2/3	1800	Andy Baddeley	GBR	3:40.34 (4 h2)	3:36.03 (8 h2)	–			
8 h1 r2/3	3261	Andrew Wheating	USA	3:40.92 (5 h2)	3:44.88 (8 h1)	–			
9 h2 r2/3	2752	Mohamad Al-Garni	QAT	3:36.99 (5 h1)	3:36.78 (9 h2)	–			
9 h1 r2/3	1824	Ross Murray	GBR	3:36.74 (4 h1)	3:44.92 (9 h1)	–			
10 h1 r2/3	1044	Ryan Gregson	AUS	3:38.54 (9 h1)	3:51.86 (11 h1)	–			
10 h2 r2/3	2820	Yegor Nikolayev	RUS	3:38.92 (11 h1)	3:37.28 (10 h2)	–			
11 h2 r2/3	1922	Carsten Schlangen	GER	3:41.51 (6 h3)	3:38.23 (11 h2)	–			
12 h2 r2/3	1282	Nate Brannen	CAN	3:39.95 (3 h2)	3:39.26 (12 h2)	–			
13 h2 r2/3	1746	Florian Carvalho	FRA	3:37.05 (7 h1)	3:40.61 (13 h2)	–
