Pos	Nr	Athlete	NOC	R1	SF	Final			
1	1809	Kelly Holmes	GBR	4:05.58 (2 h2)	4:04.77 (2 h2)	3:57.90 (1)	Gold		
2	2949	Tatyana Tomashova	RUS	4:06.06 (1 h1)	4:06.80 (3 h1)	3:58.12 (2)	Silver		
3	2780	Maria Cioncan	ROU	4:06.68 (1 h3)	4:06.69 (1 h1)	3:58.39 (3)	Bronze		
4	2960	Nataliya Yevdokimova	RUS	4:05.55 (1 h2)	4:04.66 (1 h2)	3:59.05 (4)			
5	1292	Daniela Yordanova	BUL	4:05.87 (3 h2)	4:04.94 (5 h2)	3:59.10 (5)			
6	2686	Lidia Chojecka	POL	4:06.13 (6 h2)	4:04.83 (3 h2)	3:59.27 (6)			
7	2671	Anna Jakubczak	POL	4:06.37 (4 h1)	4:06.77 (2 h1)	4:00.15 (7)			
8	3142	Elvan Abeylegesse	TUR	4:06.42 (5 h1)	4:07.10 (4 h1)	4:00.67 (8)			
9	1310	Carmen Douma-Hussar	CAN	4:06.90 (2 h3)	4:05.09 (6 h2)	4:02.31 (9)			
10	1623	Natalia Rodríguez	ESP	4:07.19 (7 h3)	4:04.91 (4 h2)	4:03.01 (10)			
11	2957	Olga Yegorova	RUS	4:07.14 (6 h3)	4:05.57 (7 h2)	4:05.65 (11)			
12	2462	Hasna Benhassi	MAR	4:05.98 (5 h2)	4:07.39 (5 h1)	4:12.90 (12)			
6 h1 r2/3	3202	Nataliya Tobias	UKR	4:06.06 (2 h1)	4:07.55 (6 h1)	–			
7 h1 r2/3	2349	Nancy Langat	KEN	4:06.94 (4 h3)	4:07.57 (7 h1)	–			
8 h1 r2/3	1662	Kutre Dulecha	ETH	4:06.95 (5 h3)	4:07.63 (8 h1)	–			
8 h2 r2/3	1025	Nahida Touhami	ALG	4:06.41 (8 h2)	4:07.21 (8 h2)	–			
9 h1 r2/3	1579	Nuría Fernández	ESP	4:06.29 (3 h1)	4:07.68 (9 h1)	–			
9 h2 r2/3	3351	Carrie Tollefson	USA	4:06.46 (6 h1)	4:08.55 (9 h2)	–			
10 h1 r2/3	1583	Iris Fuentes-Pila	ESP	4:06.32 (7 h2)	4:07.69 (10 h1)	–			
10 h2 r2/3	2743	Carla Sacramento	POR	4:07.73 (8 h1)	4:10.85 (10 h2)	–			
11 h1 r2/3	1842	Hayley Tullett	GBR	4:07.27 (7 h1)	4:08.92 (11 h1)	–			
11 h2 r2/3	2672	Wioletta Janowska	POL	4:06.91 (3 h3)	4:11.41 (11 h2)	–			
12 h1 r2/3	1974	Konstantina Efedaki	GRE	4:06.73 (9 h2)	4:09.37 (12 h1)	–			
12 h2 r2/3	1757	Maria Martins	FRA	4:05.95 (4 h2)	4:12.76 (12 h2)	–
