Pos	Nr	Athlete	NOC	R1	SF	Final			
1	1259	Maryam Jamal	BRN	4:05.39 (3 h1)	4:02.18 (3 h2)	4:10.74 (1)	Gold		
2	2899	Tatyana Tomashova	RUS	4:05.10 (2 h1)	4:02.10 (2 h2)	4:10.90 (2)			
3	1697	Abeba Aregawi	ETH	4:04.55 (1 h1)	4:01.03 (1 h2)	4:11.03 (3)			
4	3314	Shannon Rowbury	USA	4:06.03 (7 h1)	4:05.47 (3 h1)	4:11.26 (4)			
5	2995	Lucia Klocová	SVK	4:07.79 (9 h1)	4:02.99 (6 h2)	4:12.64 (5)			
6	1854	Lisa Dobriskey	GBR	4:13.32 (1 h2)	4:05.35 (2 h1)	4:13.02 (6)			
7	1879	Laura Weightman	GBR	4:07.29 (3 h3)	4:02.99 (5 h2)	4:15.60 (7)			
8	2341	Hellen Obiri	KEN	4:05.40 (4 h1)	4:02.30 (4 h2)	4:16.57 (8)			
AC r3/3	3322	Morgan Uceny	USA	4:06.87 (1 h3)	4:05.34 (1 h1)	– (AC)			
4 h1 r2/3	1320	Hilary Stellingwerff	CAN	4:05.79 (6 h1)	4:05.57 (4 h1)	–			
5 h1 r2/3	1938	Corinna Harrer	GER	4:07.83 (10 h1)	4:05.70 (5 h1)	–			
6 h1 r2/3	1255	Mimi Belete	BRN	4:07.01 (2 h3)	4:05.91 (6 h1)	–			
7 h1 r2/3	1855	Hannah England	GBR	4:05.73 (5 h1)	4:06.35 (7 h1)	–			
7 h2 r2/3	2470	Siham Hilali	MAR	4:13.34 (2 h2)	4:04.79 (7 h2)	–			
8 h1 r2/3	1648	Nuría Fernández	ESP	4:13.72 (3 h2)	4:06.57 (8 h1)	–			
8 h2 r2/3	1071	Zoe Buckman	AUS	4:07.83 (5 h3)	4:05.03 (8 h2)	–			
9 h1 r2/3	2616	Lucy Van Dalen	NZL	4:07.04 (8 h1)	4:06.97 (9 h1)	–			
9 h2 r2/3	1317	Nicole Sifuentes	CAN	4:07.65 (4 h3)	4:06.33 (9 h2)	–			
10 h1 r2/3	1075	Kaila McKnight	AUS	4:13.80 (4 h2)	4:08.44 (10 h1)	–			
10 h2 r2/3	3316	Jenny Simpson	USA	4:13.81 (5 h2)	4:06.89 (10 h2)	–
AC	3083	Gamze Bulut	TUR	4:06.69 (AC h3)	4:01.18 (AC h2)	4:10.40 (AC)		DQ
AC	3188	Anzhelika Shevchenko	UKR	4:12.97 (AC h1)	–	–		DQ
AC	2872	Yekaterina Kostetskaya	RUS	4:06.94 (AC h3)	4:05.32 (AC h1)	4:12.90 (AC)		DQ
AC	1181	Nataliya Koreyvo	BLR	4:06.87 (AC h3)	4:02.37 (AC h2)	4:11.58 (AC)		DQ
AC	3084	Aslı Çakır	TUR	4:13.64 (AC h2)	4:05.11 (AC h1)	4:10.23 (AC)		DQ
AC	3175	Hanna Mishchenko	UKR	4:13.63 (AC h3)	–	–		DQ
AC	2878	Yekaterina Martynova	RUS	4:13.86 (AC h2)	–	–		DQ
