Pos	Nr	Athlete	NOC	R1	SF	Final			
1	2612	Usain Bolt	JAM	20.28 (1 h9)	19.78 (1 h2)	19.78 (1)	Gold		
2	2196	Andre De Grasse	CAN	20.09 (1 h10)	19.8 (2 h2)	20.02 (2)	Silver		
3	2427	Christophe Lemaître	FRA	20.28 (2 h8)	20.01 (2 h1)	20.12 (3)	Bronze		
4	2454	Adam Gemili	GBR	20.2 (2 h6)	20.08 (3 h2)	20.12 (4)			
5	2785	Churandy Martina	NED	20.29 (2 h7)	20.1 (2 h3)	20.13 (5)			
6	3090	LaShawn Merritt	USA	20.15 (1 h8)	19.94 (1 h1)	20.19 (6)			
7	2818	Alonso Edward	PAN	20.19 (1 h1)	20.07 (1 h3)	20.23 (7)			
8	3001	Ramil Guliyev	TUR	20.23 (2 h3)	20.09 (4 h2)	20.43 (8)			
3 h1 r2/3	2474	Danny Talbot	GBR	20.27 (2 h1)	20.25 (3 h1)	–			
3 h3 r2/3	3069	Justin Gatlin	USA	20.42 (1 h5)	20.13 (3 h3)	–			
4 h1 r2/3	2608	Nickel Ashmeade	JAM	20.15 (1 h6)	20.31 (4 h1)	–			
4 h3 r2/3	2361	Bruno Hortelano	ESP	20.12 (1 h2)	20.16 (4 h3)	–			
5 h1 r2/3	2986	Rondel Sorrillo	TTO	20.27 (3 h10)	20.33 (5 h1)	–			
5 h2 r2/3	2178	Salem Eid Yaqoob	BRN	20.19 (1 h3)	20.43 (5 h2)	–			
5 h3 r2/3	2466	Nethaneel Mitchell-Blake	GBR	20.24 (2 h10)	20.25 (5 h3)	–			
6 h1 r2/3	2262	Nery Brenes	CRC	20.2 (1 h7)	20.33 (6 h1)	–			
6 h2 r2/3	3104	Ameer Webb	USA	20.31 (3 h2)	20.43 (6 h2)	–			
6 h3 r2/3	2611	Yohan Blake	JAM	20.13 (2 h2)	20.37 (6 h3)	–			
7 h1 r2/3	2192	Aaron Brown	CAN	20.23 (3 h3)	20.37 (7 h1)	–			
7 h2 r2/3	2796	Divine Oduduru	NGR	20.34 (2 h9)	20.59 (7 h2)	–			
7 h3 r2/3	2537	Likourgos Tsakonas	GRE	20.31 (3 h1)	20.63 (7 h3)	–			
8 h1 r2/3	2759	José Carlos Herrera	MEX	20.29 (1 h4)	20.48 (8 h1)	–			
8 h2 r2/3	2288	Roberto Skyers	CUB	20.44 (2 h4)	20.60 (8 h2)	–			
8 h3 r2/3	2600	Matteo Galvan	ITA	20.58 (2 h5)	20.88 (8 h3)	–
