Pos	Nr	Walker	NOC	Time	Warnings			
1	2161	Ivano Brugnetti	ITA	1-19:40	0		Gold	
2	1578	Francisco Javier Fernández	ESP	1-19:45	1		Silver	
3	1056	Nathan Deakes	AUS	1-20:02	0		Bronze	
4	1544	Jefferson Pérez	ECU	1-20:38	1			
5	1606	Juan Manuel Molina	ESP	1-20:55	0			
6	1389	Zhu Hongjun	CHN	1-21:40	1			
7	2848	Vladimir Andreyev	RUS	1-21:53	0			
8	1894	André Höhne	GER	1-21:56	0			
9	2414	Aigars Fadejevs	LAT	1-22:08	1			
10	2752	João Vieira	POR	1-22:19	0			
11	3137	Hatem Ghoula	TUN	1-22:59	2			
12	2682	Beniamin Kuciński	POL	1-23:08	0			
13	2183	Marco Giungi	ITA	1-23:30	0			
14	1228	José Alessandro Bagio	BRA	1-23:33	0			
15	2297	Takayuki Tanii	JPN	1-23:38	1			
16	1050	Luke Adams	AUS	1-23:52	0			
17	1548	Rolando Saquipay	ECU	1-24:07	1			
18	2530	Omar Segura	MEX	1-24:35	2			
19	1185	Yevgeny Misyulya	BLR	1-25:10	0			
20	3343	Tim Seaman	USA	1-25:17	0			
21	3256	Kevin Eastler	USA	1-25:20	0			
22	2862	Viktor Burayev	RUS	1-25:36	0			
23	1203	Ivan Trotsky	BLR	1-25:53	1			
24	1415	Luis Fernando López	COL	1-26:34	0			
25	1366	Liu Yunfeng	CHN	1-27:21	1			
26	3318	John Nunn	USA	1-27:38	0			
27	2311	Valery Borisov	KAZ	1-27:39	0			
28	2442	Gintaras Andriuškevičius	LTU	1-27:56	0			
29	2393	Sin Ir-Yong	KOR	1-28:02	1			
30	2070	Gyula Dudás	HUN	1-28:18	1			
31	1009	Moussa Aouanouk	ALG	1-28:38	0			
32	3066	Matej Tóth	SVK	1-28:49	2			
33	2384	Lee Dae-Ro	KOR	1-28:59	1			
34	2495	Feodosiy Ciumacenco	MDA	1-29:06	0			
35	1201	Andrey Talashko	BLR	1-29:36	0			
36	2019	Lefteris Thanopoulos	GRE	1-30:15	2			
37	1574	José David Domínguez	ESP	1-30:16	0			
38	2919	Vladimir Parvatkin	RUS	1-31:13	0			
39	2982	Predrag Filipović	SCG	1-31:35	0			
40	1346	Han Yucheng	CHN	1-32:18	0			
41	2389	Park Chil-Seong	KOR	1-32:41	0
