Pos	Nr	Walker	NOC	Time	Warnings			
1	10	Liu Hong	CHN	1-28:35	1		Gold	
2	52	María Guadalupe González	MEX	1-28:37	1		Silver	
3	11	Lu Xiuzhi	CHN	1-28:42	1		Bronze	
4	38	Antonella Palmisano	ITA	1-29:03	0			
5	12	Qieyang Shenjie	CHN	1-29:04	0			
6	61	Ana Cabecinha	POR	1-29:23	0			
7	8	Érica Sena	BRA	1-29:29	2			
8	22	Beatriz Pascual	ESP	1-30:24	0			
9	2	Regan Lamble	AUS	1-30:28	2			
10	16	Anežka Drahotová	CZE	1-30:43	0			
11	39	Elisa Rigaudo	ITA	1-31:04	1			
12	63	Inês Henriques	POR	1-31:28	0			
13	26	Émilie Menuet	FRA	1-32:04	1			
14	56	Kimberly García	PER	1-32:09	0			
15	27	Antigoni Ntrismpioti	GRE	1-32:32	0			
16	40	Kumiko Okada	JPN	1-32:42	0			
17	4	Anastasiya Yatsevich	BLR	1-32:53	1			
18	5	Ángela Castro	BOL	1-32:54	0			
19	71	Nadiya Borovska	UKR	1-33:01	2			
20	21	Raquel González	ESP	1-33:03	0			
21	72	Inna Kashyna	UKR	1-33:15	0			
22	75	Maria Michta-Coffey	USA	1-33:36	0			
23	54	María Guadalupe Sánchez	MEX	1-33:44	2			
24	19	Paola Pérez	ECU	1-33:53	0			
25	33	Viktória Madarász	HUN	1-33:59	0			
26	1	Tanya Holliday	AUS	1-34:22	2			
27	17	Magaly Bonilla	ECU	1-34:54	1			
28	58	Paulina Buziak	POL	1-35:01	0			
29	51	Brigita Virbalytė-Dimšienė	LTU	1-35:11	0			
30	30	Mirna Ortíz	GUA	1-35:11	0			
31	6	Wendy Cornejo	BOL	1-35:17	2			
32	13	Sandra Arenas	COL	1-35:40	1			
33	23	Júlia Takács	ESP	1-35:45	0			
34	74	Miranda Melville	USA	1-35:48	0			
35	55	Alana Barber	NZL	1-35:55	0			
36	18	Maritza Guamán	ECU	1-35:56	0			
37	62	Daniela Cardoso	POR	1-36:13	0			
38	14	Yeseida Carrillo	COL	1-36:28	0			
39	45	Jeon Yeong-Eun	KOR	1-36:31	2			
40	3	Rachel Tallent	AUS	1-37:08	1			
41	53	Alejandra Ortega	MEX	1-37:33	0			
42	44	Grace Wanjiru	KEN	1-37:49	0			
43	7	Stefany Coronado	BOL	1-37:56	0			
44	60	Agnieszka Szwarnóg	POL	1-38:01	0			
45	64	Andreea Arsine	ROU	1-38:16	1			
46	73	Valentyna Myronchuk	UKR	1-38:20	1			
47	28	Panagiota Tsinopoulou	GRE	1-38:24	0			
48	68	Mária Czaková	SVK	1-38:29	1			
49	9	Cisiane Dutra	BRA	1-38:35	0			
50	65	Ana Rodean	ROU	1-38:42	0			
51	57	Jessica Hancco	PER	1-39:08	0			
52	31	Maritza Poncio	GUA	1-40:09	0			
53	48	Agnese Pastare	LAT	1-40:15	2			
54	35	Khushbir Kaur	IND	1-40:33	1			
55	69	Mária Gáliková	SVK	1-40:35	0			
56	50	Živilė Vaiciukevičiūtė	LTU	1-41:28	0			
57	66	Claudia Ștef	ROU	1-41:47	1			
58	32	Barbara Kovács	HUN	1-42:11	1			
59	34	Rita Récsei	HUN	1-42:41	1			
60	70	Chahinez Nasri	TUN	1-42:57	0			
61	25	Askale Tiksa	ETH	1-44:15	2			
62	41	Diana Aydosova	KAZ	1-44:49	1			
63	67	Anel Oosthuizen	RSA	1-45:06	1
