Pos	Nr	Athlete	NOC	R1	Final			
1	2285	Brimin Kipruto	KEN	8:23.53 (2 h1)	8:10.34 (1)	Gold		
2	1777	Mahiedine Mekhissi-Benabbad	FRA	8:16.95 (2 h2)	8:10.49 (2)	Silver		
3	2256	Richard Mateelong	KEN	8:19.87 (2 h3)	8:11.01 (3)	Bronze		
4	1682	Yacob Jarso	ETH	8:16.88 (1 h2)	8:13.47 (4)			
5	1768	Bob Tahri	FRA	8:23.42 (1 h1)	8:14.79 (5)			
6	1062	Youcef Abdi	AUS	8:17.97 (6 h2)	8:16.36 (6)			
7	2244	Ezekiel Kemboi	KEN	8:17.55 (4 h2)	8:16.38 (7)			
8	2697	Abubaker Ali Kamal	QAT	8:21.85 (4 h3)	8:16.59 (8)			
9	3053	Benjamin Kiplagat	UGA	8:20.22 (3 h3)	8:20.27 (9)			
10	2959	Mustafa Mohamed	SWE	8:17.80 (5 h2)	8:20.69 (10)			
11	1262	Tareq Mubarak Taher	BRN	8:23.66 (4 h1)	8:21.59 (11)			
12	2429	Ion Luchianov	MDA	8:18.97 (7 h2)	8:27.82 (12)			
13	3166	Anthony Famiglietti	USA	8:17.34 (3 h2)	8:31.21 (13)			
14	2731	Ruben Ramolefi	RSA	8:19.86 (1 h3)	8:34.58 (14)			
15	2398	Abdelkader Hachlaf	MAR	8:23.62 (3 h1)	9:02.06 (15)			
5 h1 r1/2	1667	Nahom Mesfin	ETH	8:23.82 (5 h1)	–			
5 h3 r1/2	1599	Eliseo Martín	ESP	8:23.19 (5 h3)	–			
6 h1 r1/2	2848	Ildar Minshin	RUS	8:26.85 (6 h1)	–			
6 h3 r1/2	2390	Hamid Ezzine	MAR	8:27.45 (6 h3)	–			
7 h1 r1/2	2615	Tomasz Szymkowiak	POL	8:29.37 (7 h1)	–			
7 h3 r1/2	1770	Vincent Zouaoui-Dandrieux	FRA	8:27.91 (7 h3)	–			
8 h1 r1/2	1017	Rabia Makhloufi	ALG	8:29.74 (8 h1)	–			
8 h2 r1/2	2874	Boštjan Buč	SLO	8:21.24 (8 h2)	–			
8 h3 r1/2	1666	Roba Gari	ETH	8:28.27 (8 h3)	–			
9 h1 r1/2	2208	Yoshitaka Iwamizu	JPN	8:29.80 (9 h1)	–			
9 h2 r1/2	2399	Brahim Taleb	MAR	8:23.09 (9 h2)	–			
9 h3 r1/2	3201	Josh McAdams	USA	8:33.26 (9 h3)	–			
10 h1 r1/2	2345	Valērijs Žolnerovičs	LAT	8:37.65 (10 h1)	–			
10 h2 r1/2	1852	Andrew Lemoncello	GBR	8:36.06 (10 h2)	–			
10 h3 r1/2	2850	Pavel Potapovich	RUS	8:36.29 (10 h3)	–			
11 h1 r1/2	2669	Alberto Paulo	POR	8:39.11 (11 h1)	–			
11 h2 r1/2	3275	Billy Nelson	USA	8:36.66 (11 h2)	–			
11 h3 r1/2	1121	Pieter Desmet	BEL	8:37.99 (11 h3)	–			
12 h1 r1/2	1598	Rubén Palomeque	ESP	8:58.50 (12 h1)	–			
12 h2 r1/2	1617	José Luis Blanco	ESP	8:37.37 (12 h2)	–			
12 h3 r1/2	3034	Halil Akkaş	TUR	8:44.70 (12 h3)	–			
13 h2 r1/2	2321	Ali Ahmed Al-Amri	KSA	9:09.73 (13 h2)	–			
13 h3 r1/2	2062	Itay Magidi	ISR	9:05.02 (13 h3)	–
