
Pos	Nr	Athlete	NOC	R1	Final			
1	2783	Gulnara Galkina	RUS	9:15.17 (1 h1)	8:58.81 (1)	Gold		
2	2258	Eunice Jepkorir	KEN	9:21.31 (1 h3)	9:07.41 (2)	Silver		
3	2782	Tatyana Petrova	RUS	9:28.85 (1 h2)	9:12.33 (3)	Bronze		
4	2702	Cristina Casandra	ROU	9:22.38 (4 h1)	9:16.85 (4)			
5	2266	Ruth Bosibori	KEN	9:19.75 (2 h1)	9:17.35 (5)			
6	1669	Zemzem Ahmed	ETH	9:25.63 (3 h3)	9:17.85 (6)			
7	2581	Wioletta Frankiewicz	POL	9:21.88 (3 h1)	9:21.76 (7)			
8	3138	Jenny Barringer	USA	9:29.20 (3 h2)	9:22.26 (8)			
9	3255	Anna Willard	USA	9:28.52 (5 h3)	9:25.63 (9)			
10	2079	Elena Romagnolo	ITA	9:27.48 (4 h3)	9:30.04 (10)			
11	1594	Zulema Fuentes-Pila	ESP	9:29.40 (4 h2)	9:35.16 (11)			
12	3030	Habiba Ghribi	TUN	9:25.50 (5 h1)	9:36.43 (12)			
13	2053	Roisin McGettigan	IRL	9:28.92 (2 h2)	9:55.89 (13)
AC	2760	Yekaterina Volkova	RUS	9:23.06 (AC h3)	9:07.64 (AC)		DQ
