Pos	Nr	Athlete	NOC	R1	Final			
1	3069	Habiba Ghribi	TUN	9:27.42 (2 h2)	9:08.37 (1)	Gold		
2	1699	Sofia Assefa	ETH	9:25.42 (1 h2)	9:09.84 (2)	Silver		
3	2328	Milcah Chemos Cheywa	KEN	9:27.09 (3 h1)	9:09.88 (3)	Bronze		
4	1700	Hiwot Ayalew	ETH	9:24.01 (1 h3)	9:12.98 (4)			
5	1707	Etenesh Diro	ETH	9:25.31 (2 h1)	9:19.89 (5)			
6	1952	Antje Möldner-Schmidt	GER	9:26.57 (3 h3)	9:21.78 (6)			
7	1945	Gesa Felicitas Krause	GER	9:24.91 (1 h1)	9:23.52 (7)			
8	3278	Emma Coburn	USA	9:27.51 (3 h2)	9:23.54 (8)			
9	2340	Mercy Njoroge	KEN	9:25.99 (2 h3)	9:26.73 (9)			
10	2723	Clarisse Cruz	POR	9:30.06 (4 h2)	9:32.44 (10)			
11	2401	Poļina Jeļizarova	LAT	9:27.21 (4 h1)	9:38.56 (11)			
12	3290	Bridget Franek	USA	9:29.86 (4 h3)	9:45.51 (12)
AC	1646	Marta Domínguez	ESP	9:29.71 (AC h2)	9:36.45 (AC)		DQ
AC	3101	Binnaz Uslu	TUR	10:31.00 (AC h1)	–		DQ
AC	3189	Svitlana Shmidt	UKR	10:01.09 (AC h3)	–		DQ
AC	2902	Yuliya Zaripova	RUS	9:25.68 (AC h3)	9:06.72 (AC)		DQ
AC	3096	Gülcan Mıngır	TUR	9:47.35 (AC h2)	–		DQ
