Pos	Nr	Athlete	NOC	R1	Final			
1	451	Ruth Jebet	BRN	9:12.62 (1 h1)	8:59.75 (1)	Gold		
2	947	Hyvin Kiyeng	KEN	9:24.61 (1 h3)	9:07.12 (2)	Silver		
3	1331	Emma Coburn	USA	9:18.12 (2 h2)	9:07.63 (3)	Bronze		
4	943	Beatrice Chepkoech	KEN	9:17.55 (1 h2)	9:16.05 (4)			
5	638	Sofia Assefa	ETH	9:18.75 (2 h1)	9:17.15 (5)			
6	760	Gesa Felicitas Krause	GER	9:19.70 (3 h1)	9:18.41 (6)			
7	325	Madeline Hills	AUS	9:24.16 (5 h2)	9:20.38 (7)			
8	1367	Colleen Quigley	USA	9:21.82 (4 h1)	9:21.10 (8)			
9	329	Genevieve LaCaze	AUS	9:26.25 (2 h3)	9:21.21 (9)			
10	826	Lalita Babar	IND	9:19.76 (4 h2)	9:22.74 (10)			
11	1342	Courtney Frerichs	USA	9:27.02 (3 h3)	9:22.87 (11)			
12	1254	Habiba Ghribi	TUN	9:18.71 (3 h2)	9:28.75 (12)			
13	955	Lydia Rotich	KEN	9:30.21 (5 h1)	9:29.90 (13)			
14	897	Aisha Praught	JAM	9:35.79 (8 h3)	9:34.20 (14)			
15	646	Etenesh Diro	ETH	9:34.70 (7 h3)	9:38.77 (15)			
16	481	Geneviève Lalonde	CAN	9:30.24 (4 h3)	9:41.88 (16)			
17	848	Sara Treacy	IRL	9:46.24 (12 h3)	9:52.70 (17)			
18	1212	Fabienne Schlumpf	SUI	9:30.54 (6 h2)	9:59.30 (18)	
