Pos	Nr	Athlete	NOC	R1	SF	Final			
1	3313	Sanya Richards-Ross	USA	51.78 (1 h4)	50.07 (1 h1)	49.55 (1)	Gold		
2	1866	Christine Ohuruogu	GBR	50.80 (2 h1)	50.22 (2 h1)	49.70 (2)	Silver		
3	3321	DeeDee Trotter	USA	50.87 (1 h3)	49.87 (1 h3)	49.72 (3)	Bronze		
4	1214	Amantle Montsho	BOT	50.40 (1 h2)	50.15 (1 h2)	49.75 (4)			
5	2213	Novlene Williams-Mills	JAM	50.88 (1 h6)	49.91 (2 h3)	50.11 (5)			
6	3307	Francena McCorory	USA	50.78 (1 h1)	50.19 (2 h2)	50.33 (6)			
7	2209	Rosemarie Whyte	JAM	50.90 (2 h3)	50.98 (3 h1)	50.79 (7)			
3 h2 r2/3	2154	Libania Grenot	ITA	52.13 (3 h6)	51.18 (3 h2)	–			
3 h3 r2/3	2585	Omolara Omotosho	NGR	52.11 (4 h3)	51.41 (3 h3)	–			
4 h1 r2/3	2104	Joanne Cuddihy	IRL	52.09 (4 h1)	51.88 (4 h1)	–			
4 h2 r2/3	2195	Christine Day	JAM	51.05 (2 h2)	51.19 (4 h2)	–			
4 h3 r2/3	3182	Nataliya Pyhyda	UKR	51.09 (2 h6)	51.41 (4 h3)	–			
5 h1 r2/3	2536	Tjipekapora Herunga	NAM	52.31 (3 h4)	52.53 (5 h1)	–			
5 h2 r2/3	2581	Regina George	NGR	51.24 (1 h7)	51.35 (5 h2)	–			
5 h3 r2/3	2750	Carol Rodríguez	PUR	52.19 (2 h4)	52.08 (5 h3)	–			
6 h1 r2/3	1313	Jenna Martin	CAN	51.98 (3 h3)	52.83 (6 h1)	–			
6 h2 r2/3	3172	Alina Lohvynenko	UKR	52.08 (1 h5)	51.38 (6 h2)	–			
6 h3 r2/3	1864	Lee McConnell	GBR	52.23 (2 h5)	52.24 (6 h3)	–			
7 h1 r2/3	2343	Joy Nakhumicha Sakari	KEN	51.85 (3 h1)	52.95 (7 h1)	–			
7 h2 r2/3	1851	Shana Cox	GBR	52.01 (3 h2)	52.58 (7 h2)	–			
7 h3 r2/3	2030	Marlena Wesh	HAI	51.98 (2 h7)	52.49 (7 h3)	–			
8 h2 r2/3	2026	Aliann Pompey	GUY	52.10 (4 h2)	52.58 (8 h2)	–
AC	3100	Pınar Saka	TUR	52.38 (AC h4)	–	–		DQ
AC	2873	Antonina Krivoshapka	RUS	50.75 (AC h5)	49.81 (AC h3)	50.17 (AC)		DQ
AC	2862	Yuliya Gushchina	RUS	51.54 (AC h7)	51.66 (AC h1)	–		DQ
