Pos	Nr	Athlete	NOC	R1	SF	Final			
1	3239	Angelo Taylor	USA	48.67 (1 h2)	47.94 (1 h1)	47.25 (1)	Gold		
2	3149	Kerron Clement	USA	49.42 (1 h4)	48.27 (1 h2)	47.98 (2)	Silver		
3	3183	Bershawn Jackson	USA	49.20 (1 h1)	48.02 (2 h1)	48.06 (3)	Bronze		
4	2150	Danny McFarlane	JAM	48.86 (2 h2)	48.33 (2 h2)	48.30 (4)			
5	2734	L. J. van Zyl	RSA	48.86 (2 h3)	48.57 (3 h1)	48.42 (5)			
6	2605	Marek Plawgo	POL	49.17 (3 h3)	48.75 (4 h1)	48.52 (6)			
7	2159	Markino Buckley	JAM	48.65 (1 h3)	48.50 (3 h2)	48.60 (7)			
8	1952	Periklis Iakovakis	GRE	49.50 (2 h4)	48.69 (4 h2)	49.96 (8)			
5 h1 r2/3	2153	Isa Phillips	JAM	49.55 (3 h4)	48.85 (5 h1)	–			
5 h2 r2/3	2733	Alwyn Myburgh	RSA	48.92 (3 h2)	49.16 (5 h2)	–			
6 h1 r2/3	2772	Aleksandr Derevyagin	RUS	49.19 (5 h2)	49.23 (6 h1)	–			
6 h2 r2/3	1142	Jonathan Williams	BIZ	49.61 (4 h1)	49.64 (6 h2)	–			
7 h1 r2/3	2727	Pieter de Villiers	RSA	49.24 (2 h1)	49.44 (7 h1)	–			
7 h2 r2/3	1234	Mahau Suguimati	BRA	49.45 (3 h1)	50.16 (7 h2)	–			
8 h1 r2/3	2681	Javier Culson	PUR	49.60 (4 h3)	49.85 (8 h1)	–			
8 h2 r2/3	2554	Bayano Kamani	PAN	49.05 (4 h2)	50.48 (8 h2)	–
