Pos	Nr	Athlete	NOC	R1	SF	Final			
1	1980	Fani Khalkia	GRE	53.85 (1 h4)	52.77 (1 h2)	52.82 (1)	Gold		
2	2801	Ionela Târlea-Manolache	ROU	54.41 (1 h3)	53.32 (2 h2)	53.38 (2)	Silver		
3	3200	Tetiana Tereshchuk-Antypova	UKR	54.63 (2 h1)	53.37 (3 h2)	53.44 (3)	Bronze		
4	3292	Sheena Johnson	USA	54.81 (2 h5)	54.32 (3 h1)	53.83 (4)			
5	1084	Jana Pittman	AUS	54.83 (1 h2)	54.05 (2 h1)	53.92 (5)			
6	2855	Yekaterina Bikert	RUS	54.95 (2 h2)	53.79 (4 h2)	54.18 (6)			
7	3348	Brenda Taylor	USA	54.72 (2 h3)	55.02 (4 h1)	54.97 (7)			
8	2921	Yuliya Pechyonkina	RUS	53.57 (1 h1)	53.31 (1 h1)	55.79 (8)			
5 h1 r2/3	2326	Nataliya Torshina-Alimzhanova	KAZ	55.22 (3 h2)	55.08 (5 h1)	–			
5 h2 r2/3	3251	Lashinda Demus	USA	54.66 (2 h4)	54.32 (5 h2)	–			
6 h1 r2/3	2692	Małgorzata Pskit	POL	54.75 (1 h5)	55.24 (6 h1)	–			
6 h2 r2/3	2854	Yekaterina Bakhvalova	RUS	55.16 (3 h4)	54.98 (6 h2)	–			
7 h1 r2/3	1942	Ulrike Urbansky	GER	55.15 (3 h1)	56.44 (7 h1)	–			
7 h2 r2/3	2238	Debbie-Ann Parris	JAM	55.21 (4 h4)	54.99 (7 h2)	–			
8 h1 r2/3	1487	Andri Sialou	CYP	55.02 (4 h5)	1:05.72 (8 h1)	–			
8 h2 r2/3	1349	Huang Xiaoxiao	CHN	54.83 (3 h5)	55.53 (8 h2)	–	
