Pos	Nr	Athlete	NOC	R1	Final			
1	2452	Mo Farah	GBR	13:25.25 (3 h1)	13:03.30 (1)	Gold		
2	3057	Paul Chelimo	USA	13:19.54 (1 h2)	13:03.90 (2)	Silver		
3	2396	Hagos Gebrhiwet	ETH	13:24.65 (1 h1)	13:04.35 (3)	Bronze		
4	2188	Mohammed Ahmed	CAN	13:21.00 (6 h2)	13:05.94 (4)			
5	3085	Bernard Lagat	USA	13:26.02 (5 h1)	13:06.78 (5)			
6	2444	Andy Butchart	GBR	13:20.08 (5 h2)	13:08.61 (6)			
7	2175	Albert Rop	BRN	13:24.95 (2 h1)	13:08.79 (7)			
8	3015	Joshua Kiprui Cheptegei	UGA	13:25.70 (4 h1)	13:09.17 (8)			
9	2162	Birhanu Balew	BRN	13:19.83 (4 h2)	13:09.26 (9)			
10	2343	Abrar Osman Adem	ERI	13:22.56 (8 h2)	13:09.56 (10)			
11	3089	Hassan Mead	USA	13:34.27 (13 h1)	13:09.81 (11)			
12	2395	Dejen Gebremeskel	ETH	13:19.67 (3 h2)	13:15.91 (12)			
13	2896	Elroy Gelant	RSA	13:22.00 (7 h2)	13:17.47 (13)			
14	2048	Brett Robinson	AUS	13:22.81 (9 h2)	13:32.30 (14)			
15	2825	David Torrence	PER	13:23.20 (10 h2)	13:43.12 (15)
