Pos	Nr	Athlete	NOC	R1	Final			
1	1703	Meseret Defar	ETH	14:58.70 (2 h1)	15:04.25 (1)	Gold		
2	2327	Vivian Cheruiyot	KEN	15:01.54 (2 h2)	15:04.73 (2)	Silver		
3	1706	Tirunesh Dibaba	ETH	14:58.48 (1 h1)	15:05.15 (3)	Bronze		
4	2336	Sally Kipyego	KEN	15:01.87 (3 h2)	15:05.79 (4)			
5	1702	Gelete Burka	ETH	15:01.44 (1 h2)	15:10.66 (5)			
6	2333	Viola Kibiwot	KEN	14:59.31 (3 h1)	15:11.59 (6)			
7	1871	Jo Pavey	GBR	15:02.84 (7 h2)	15:12.72 (7)			
8	1849	Julia Bleasdale	GBR	15:02.00 (4 h2)	15:14.55 (8)			
9	2859	Olga Golovkina	RUS	15:05.26 (4 h1)	15:17.88 (9)			
10	1258	Shitaye Eshete	BRN	15:05.48 (8 h2)	15:19.13 (10)			
11	3297	Molly Huddle	USA	15:02.26 (5 h2)	15:20.29 (11)			
12	1256	Tejitu Daba	BRN	15:05.59 (6 h1)	15:21.34 (12)			
13	2881	Yelena Nagovitsyna	RUS	15:02.80 (6 h2)	15:21.38 (13)			
14	3281	Julie Culley	USA	15:05.38 (5 h1)	15:28.22 (14)			
15	2159	Elena Romagnolo	ITA	15:06.38 (9 h2)	15:35.69 (15)
