Pos	Nr	Athlete	NOC	Qualifying	Final			
1	2496	Christoph Harting	GER	65.41 (3)	68.37 (1)	Gold		
2	2847	Piotr Małachowski	POL	65.89 (1)	67.55 (2)	Silver		
3	2503	Daniel Jasinski	GER	62.83 (11)	67.05 (3)	Bronze		
4	2380	Martin Kupper	EST	62.92 (10)	66.58 (4)			
5	2377	Gerd Kanter	EST	64.02 (5)	65.10 (5)			
6	2058	Lukas Weißhaidinger	AUT	65.86 (2)	64.95 (6)			
7	2555	Zoltán Kővágó	HUN	63.34 (9)	64.50 (7)			
8	2295	Apostolos Parellis	CYP	63.35 (8)	63.72 (8)			
9	2095	Philip Milanov	BEL	62.68 (12)	62.22 (9)			
10	2956	Axel Härstedt	SWE	63.58 (7)	62.12 (10)			
11	3067	Mason Finley	USA	63.68 (6)	62.05 (11)			
12	2733	Andrius Gudžius	LTU	65.18 (4)	60.66 (12)	
