Pos	Nr	Athlete	NOC	Qualifying	Final			
1	564	Sandra Perković	CRO	64.81 (3)	69.21 (1)	Gold		
2	685	Mélina Robert-Michon	FRA	62.59 (7)	66.73 (2)	Silver		
3	572	Denia Caballero	CUB	62.94 (6)	65.34 (3)	Bronze		
4	338	Dani Samuels	AUS	64.46 (4)	64.90 (4)			
5	528	Su Xinyue	CHN	65.14 (2)	64.37 (5)			
6	768	Nadine Müller	GER	63.67 (5)	63.13 (6)			
7	512	Chen Yang	CHN	61.44 (10)	63.11 (7)			
8	513	Feng Bin	CHN	62.01 (8)	63.06 (8)			
9	743	Julia Fischer	GER	61.83 (9)	62.67 (9)			
10	988	Zinaida Sendriūtė	LTU	60.79 (11)	61.89 (10)			
11	739	Shanice Craft	GER	60.23 (12)	59.85 (11)
