Pos	Nr	Athlete	NOC	Qualifying	Final			
1	2967	Dilshod Nazarov	TJK	76.39 (3)	78.68 (1)	Gold		
2	2119	Ivan Tikhon	BLR	76.51 (2)	77.79 (2)	Silver		
3	2848	Wojciech Nowicki	POL	77.64 (1)	77.73 (3)	Bronze		
4	2758	Diego del Real	MEX	75.19 (5)	76.05 (4)			
5	2953	Marcel Lomnický	SVK	74.16 (10)	75.97 (5)			
6	2879	Ashraf El-Seify	QAT	73.47 (12)	75.46 (6)			
7	2556	Krisztián Pars	HUN	75.49 (4)	75.28 (7)			
8	2408	David Söderberg	FIN	74.64 (7)	74.61 (8)			
9	2113	Sergey Kolomoyets	BLR	74.29 (8)	74.22 (9)			
10	2754	Serghei Marghiev	MDA	74.97 (6)	74.14 (10)			
11	3037	Yevhen Vynohradov	UKR	73.95 (11)	74.11 (11)			
12	2143	Wagner Domingos	BRA	74.17 (9)	72.28 (12)
