Pos	Nr	Athlete	NOC	Qualifying	Final			
1	1120	Anita Włodarczyk	POL	76.93 (1)	82.29 (1)	Gold		
2	535	Zhang Wenxiu	CHN	73.58 (2)	76.75 (2)	Silver		
3	704	Sophie Hitchon	GBR	70.37 (11)	74.54 (3)	Bronze		
4	750	Betty Heidler	GER	71.17 (6)	73.71 (4)			
5	1002	Zalina Marghiev	MDA	71.72 (5)	73.50 (5)			
6	1327	Amber Campbell	USA	71.09 (8)	72.74 (6)			
7	396	Anna Malyshchik	BLR	71.12 (7)	71.90 (7)			
8	1366	DeAnna Price	USA	70.79 (9)	70.95 (8)			
9	1096	Joanna Fiodorow	POL	71.77 (4)	69.87 (9)			
10	1398	Rosa Rodríguez	VEN	72.41 (3)	69.26 (10)			
11	686	Alexandra Tavernier	FRA	70.30 (12)	65.18 (11)
