Pos	Nr	Athlete	NOC	Qualifying	Final			
1	3230	Erik Kynard	USA	2.29 (=2)	2.33 (1)	Silver		
=2	2755	Mutaz Essa Barshim	QAT	2.26 (=7)	2.29 (=2)	Bronze		
=2	1286	Derek Drouin	CAN	2.29 (5)	2.29 (=2)	Bronze		
=2	1810	Robbie Grabarz	GBR	2.29 (1)	2.29 (=2)	Bronze		
5	3242	Jamie Nieto	USA	2.26 (6)	2.29 (5)			
6	3124	Bohdan Bondarenko	UKR	2.26 (=7)	2.29 (6)			
7	1295	Mike Mason	CAN	2.26 (=12)	2.29 (7)			
=8	1416	Wanner Miller	COL	2.26 (=12)	2.25 (=8)			
=8	3142	Andriy Protsenko	UKR	2.29 (4)	2.25 (=8)			
=8	3263	Jesse Williams	USA	2.29 (=2)	2.25 (=8)			
11	2832	Andrey Silnov	RUS	2.26 (=7)	2.25 (11)			
12	1510	Kyriakos Ioannou	CYP	2.26 (=7)	2.20 (=12)			
13	1753	Mickaël Hanany	FRA	2.26 (=7)	2.20 (=12)	
AC	2838	Ivan Ukhov	RUS	2.29 (AC)	2.38 (AC)		DQ
