Pos	Nr	Athlete	NOC	Qualifying	Final			
1	2197	Derek Drouin	CAN	2.29 (=1)	2.38 (1)	Gold		
2	2878	Mutaz Essa Barshim	QAT	2.29 (=1)	2.36 (2)	Silver		
3	3026	Bohdan Bondarenko	UKR	2.29 (=1)	2.33 (3)	Bronze		
=4	3032	Andriy Protsenko	UKR	2.29 (=7)	2.33 (=4)			
=4	2456	Robbie Grabarz	GBR	2.29 (=5)	2.33 (=4)			
6	3084	Erik Kynard	USA	2.29 (=5)	2.33 (6)			
=7	2961	Majed Ghazal	SYR	2.29 (=7)	2.29 (=7)			
=7	2294	Kyriakos Ioannou	CYP	2.26 (=12)	2.29 (=7)			
=7	2076	Donald Thomas	BAH	2.29 (9)	2.29 (=7)			
10	2182	Tikhomir Ivanov	BUL	2.29 (=1)	2.29 (10)			
11	2062	Trevor Barry	BAH	2.29 (=10)	2.25 (11)			
12	2293	Dimitrios Khondrokoukis	CYP	2.26 (=12)	2.25 (12)			
13	2871	Luis Castro	PUR	2.26 (=12)	2.25 (13)			
14	2297	Jaroslav Bába	CZE	2.26 (=12)	2.20 (14)			
15	2052	Brandon Starc	AUS	2.29 (=10)	2.20 (15)
